planner,replan_policy,replan_period_ms,n,failures_median,blocked_robot_ms_median,blocked_pct_median,blocked_pct_mean
prm,cycle,20.0,486,26.0,520.0,2.7463080168776353,3.7173471374508855
prm,cycle,50.0,486,11.0,550.0,2.9228442030636357,3.7681950130140045
prm,cycle,100.0,486,6.0,600.0,3.1565656565656557,3.7575129908816756
prm,event,20.0,486,17.0,340.0,1.5244469232199283,2.355408388733238
prm,event,50.0,486,7.0,350.0,1.6694537346711278,2.594819103762937
prm,event,100.0,486,4.0,400.0,1.952749636218873,2.8120582265064846
visibility,cycle,20.0,486,33.0,660.0,3.2366946778711463,4.221859144263701
visibility,cycle,50.0,486,13.5,675.0,3.233110057449641,4.172278981747499
visibility,cycle,100.0,486,7.0,700.0,3.461949375410912,4.340978828143886
visibility,event,20.0,486,26.5,530.0,2.3746867167919783,3.3145452508116384
visibility,event,50.0,486,11.0,550.0,2.5557297109021286,3.4475800533389407
visibility,event,100.0,486,6.0,600.0,2.7413467226478514,3.6537427969293743
voronoi,cycle,20.0,486,1.0,20.0,0.1274739202495859,0.27674293532739896
voronoi,cycle,50.0,486,0.0,0.0,0.0,0.27297936730417344
voronoi,cycle,100.0,486,0.0,0.0,0.0,0.2780659488057105
voronoi,event,20.0,486,0.0,0.0,0.0,0.1474357596456291
voronoi,event,50.0,486,0.0,0.0,0.0,0.1734861456732652
voronoi,event,100.0,486,0.0,0.0,0.0,0.1765597848125013
