scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0,0,450.9280846975254,680.7020006761659,450.9280846975254,0.0
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,0,0,5.606852313281308,743.7085701164372,5.606852313281308,0.0
random-s0-0000,voronoi,cycle,0.0,50.0,0.0,1,0,0,0,0,0,0,8.704961296627175,753.8224238749115,8.704961296627175,0.0
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,0,0,28.18795404240734,758.5595320852732,28.18795404240734,0.0
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,0,0,3.0841359284548275,773.570675011836,3.0841359284548275,0.0
random-s0-0000,voronoi,cycle,50.0,50.0,0.0,1,0,0,0,0,0,0,1.91633230063394,769.5647096848894,1.91633230063394,0.0
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,0,0,0,0,0,64.25159929978474,771.7866942290195,64.25159929978474,0.0
random-s0-0000,voronoi,cycle,100.0,20.0,0.0,1,0,0,0,0,0,0,8.198216555878133,815.5176791745048,8.198216555878133,0.0
random-s0-0000,voronoi,cycle,100.0,50.0,0.0,1,0,0,0,0,0,0,28.611808066567903,800.5715578366783,28.611808066567903,0.0
random-s0-0000,voronoi,cycle,100.0,100.0,0.0,1,0,0,0,0,0,0,67.89383580365046,132.16839997094502,67.89383580365046,0.0
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,0,0,257.7484380512226,769.2241402370984,257.7484380512226,0.0
random-s0-0000,voronoi,event,0.0,50.0,0.0,1,0,0,0,0,0,0,155.08982338162718,712.0090406887639,155.08982338162718,0.0
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,0,0,0,0,0,32.87052532948408,707.0727324714584,32.87052532948408,0.0
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,0,0,2.431662619170595,375.80359399156566,2.431662619170595,0.0
random-s0-0000,voronoi,event,50.0,50.0,0.0,1,0,0,0,0,0,0,17.12787881336149,788.5445987327997,17.12787881336149,0.0
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,0,0,0,0,0,93.37329610991247,808.3150576450889,93.37329610991247,0.0
random-s0-0000,voronoi,event,100.0,20.0,0.0,1,0,0,0,0,0,0,0.3226377643793512,56.34019040326885,0.3226377643793512,0.0
random-s0-0000,voronoi,event,100.0,50.0,0.0,1,0,0,0,0,0,0,32.38020225278987,108.34297413830076,32.38020225278987,0.0
random-s0-0000,voronoi,event,100.0,100.0,0.0,1,0,0,0,0,0,0,85.69851225955279,249.2388969565518,85.69851225955279,0.0
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,0,0,0,0,0,212.64804624184077,680.7020006761659,212.64804624184077,0.0
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,36.74820403456175,555.1760458114896,36.74820403456175,0.0
random-s0-0000,prm,cycle,0.0,50.0,30.0,1,0,0,0,0,0,0,37.19346959621592,549.0511558236659,37.19346959621592,0.0
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,61.62384194239198,792.4577705593571,61.62384194239198,0.0
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,33.75845634997398,363.35200349343233,33.75845634997398,0.0
random-s0-0000,prm,cycle,50.0,50.0,30.0,1,0,0,0,0,0,0,37.19346959621592,303.11886591191603,37.19346959621592,0.0
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,36.74820403456181,243.44301075344663,36.74820403456181,0.0
random-s0-0000,prm,cycle,100.0,20.0,30.0,1,0,0,0,0,0,0,34.9877255705737,83.77514231459571,34.9877255705737,0.0
random-s0-0000,prm,cycle,100.0,50.0,30.0,1,0,0,0,0,0,0,43.33185977887922,364.5745617716796,43.33185977887922,0.0
random-s0-0000,prm,cycle,100.0,100.0,30.0,1,0,0,0,0,0,0,93.1663388381644,374.9190053422851,93.1663388381644,0.0
