scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,completed,True,0,3560.0000000000027,3560.0000000000027,13.882900006137788,256.43057274964787,25121.943430832205,24699.52894534852,24532.51069962512,58.704761342755226,59.27079673745914,
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,completed,True,0,2700.000000000002,2700.000000000002,220.91220002039336,12.222050207053991,25121.943430832205,24971.67523933209,24532.51069962512,58.04255362259772,58.337056983530616,
random-s0-0000,voronoi,cycle,0.0,50.0,0.0,1,0,completed,True,0,2719.999999999998,2719.999999999998,101.48579999804495,26.80177916568029,25121.943430832205,24978.21626458095,24532.51069962512,58.87898319819343,59.640207525485074,
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,completed,True,0,2680.000000000001,2680.000000000001,53.15560000599362,50.41801803945049,25121.943430832205,25113.03394836313,24532.51069962512,58.67025368205282,59.08957277285893,
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,completed,True,0,2800.000000000002,2800.000000000002,376.31180000607856,7.440638321611955,25121.943430832205,25445.76501470796,24532.51069962512,58.43603533049539,59.57445393443079,
random-s0-0000,voronoi,cycle,50.0,50.0,0.0,1,0,completed,True,0,2789.999999999998,2789.999999999998,157.08140001515858,17.761491810811204,25121.943430832205,25466.134751794147,24532.51069962512,59.14478087219641,59.640207525485074,
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,completed,True,0,2800.0000000000014,2800.0000000000014,93.38229999411853,29.984268969348083,25121.943430832205,25615.544443786795,24532.51069962512,58.56998838088115,59.4388412969818,
random-s0-0000,voronoi,cycle,100.0,20.0,0.0,1,0,completed,True,0,2940.0000000000023,2940.0000000000023,472.77319998829626,6.218626605892177,25121.943430832205,25971.74225263581,24532.51069962512,58.36431834847206,58.6850071670156,
random-s0-0000,voronoi,cycle,100.0,50.0,0.0,1,0,completed,True,0,2849.9999999999977,2849.9999999999977,184.4489000213798,15.451433972605145,25121.943430832205,25929.596546156758,24532.51069962512,58.95438268573232,59.640207525485074,
random-s0-0000,voronoi,cycle,100.0,100.0,0.0,1,0,completed,True,0,3260.0000000000014,3260.0000000000014,96.934599976521,33.630922300082965,25121.943430832205,27183.821113057347,24532.51069962512,58.25356454721023,59.46409656396308,
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,completed,True,0,2760.000000000002,2760.000000000002,78.46180000342429,35.17635333218901,25121.943430832205,25353.485921450345,24532.51069962512,58.619072814848174,59.59266149208913,
random-s0-0000,voronoi,event,0.0,50.0,0.0,1,0,completed,True,0,2719.999999999998,2719.999999999998,46.10609999508597,58.9943630081464,25121.943430832205,24961.14936647361,24532.51069962512,58.84670828389554,59.640207525485074,
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,34.69040000345558,80.13744435702903,25121.943430832205,25176.3207852285,24532.51069962512,58.72484957835794,59.40026285413449,
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,completed,True,0,2900.0000000000023,2900.0000000000023,95.08520000963472,30.49896303216645,25121.943430832205,24900.755904762285,24532.51069962512,59.057227296545925,59.71341327747854,
random-s0-0000,voronoi,event,50.0,50.0,0.0,1,0,completed,True,0,2689.999999999998,2689.999999999998,66.63290000869893,40.37044762645509,25121.943430832205,25117.73491490465,24532.51069962512,59.22806080711748,59.78604518916274,
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,49.1887999814935,56.51693070467121,25121.943430832205,25501.88395241217,24532.51069962512,58.7977689288933,59.60738619135581,
random-s0-0000,voronoi,event,100.0,20.0,0.0,1,0,completed,True,0,3800.0000000000023,3800.0000000000023,143.83069999166764,26.419950679654228,25121.943430832205,26292.25170780169,24532.51069962512,58.96368073675203,59.71291620095549,
random-s0-0000,voronoi,event,100.0,50.0,0.0,1,0,completed,True,0,3699.999999999995,3699.999999999995,83.45460001146421,44.33548299904048,25121.943430832205,26134.68522063733,24532.51069962512,59.13199140567284,59.93638279565465,
random-s0-0000,voronoi,event,100.0,100.0,0.0,1,0,completed,True,0,3320.000000000002,3320.000000000002,74.97000001603737,44.28438040936104,25121.943430832205,26452.801571811066,24532.51069962512,58.96478362322332,59.74783261219101,
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,35.61679998529144,78.05305364738129,24813.34037345258,24415.98768194052,24532.51069962512,58.598671525453454,58.89973837184751,
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,443.2909000024665,6.181042741876173,24813.34037345258,24437.64964507926,24532.51069962512,58.795718293452126,59.854983258922914,
random-s0-0000,prm,cycle,0.0,50.0,30.0,1,0,completed,True,0,2739.999999999998,2739.999999999998,176.8854999972973,15.49024651563788,24813.34037345258,24453.753360057475,24532.51069962512,58.64020775183223,59.640207525485074,
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,completed,True,0,2660.000000000001,2660.000000000001,103.26260002329946,25.75956831805336,24813.34037345258,24631.19934272357,24532.51069962512,58.66376779926224,59.032780309091045,
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,completed,True,0,3020.0000000000023,3020.0000000000023,878.0599999881815,3.439400496595507,24813.34037345258,25983.07489709536,24532.51069962512,58.89363434589274,59.69818027211104,
random-s0-0000,prm,cycle,50.0,50.0,30.0,1,0,completed,True,0,2899.9999999999977,2899.9999999999977,365.7334000163246,7.929273071233187,24813.34037345258,24594.10868701955,24532.51069962512,58.79315424964316,59.640207525485074,
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,completed,True,0,2920.0000000000014,2920.0000000000014,174.1172000183724,16.77031332741332,24813.34037345258,24954.872349552163,24532.51069962512,58.75402989180344,59.77009289037799,
random-s0-0000,prm,cycle,100.0,20.0,30.0,1,0,completed,True,0,3220.0000000000023,3220.0000000000023,1105.5980999954045,2.9124507359531338,24813.34037345258,25666.942763916235,24532.51069962512,58.80732005073517,59.54770157309386,
random-s0-0000,prm,cycle,100.0,50.0,30.0,1,0,completed,True,0,2939.9999999999977,2939.9999999999977,358.27189998235554,8.20605802504966,24813.34037345258,24987.40269861333,24532.51069962512,58.99270689942815,59.64942556553066,
random-s0-0000,prm,cycle,100.0,100.0,30.0,1,0,completed,True,0,2920.0000000000014,2920.0000000000014,228.1885999836959,12.796432425671728,24813.34037345258,25854.15203356457,24532.51069962512,58.37201283011916,58.88178885051969,
random-s0-0000,prm,event,0.0,20.0,30.0,1,0,completed,True,0,2760.000000000002,2760.000000000002,152.93519999249838,18.04685906276241,24813.34037345258,24427.72124108417,24532.51069962512,58.94275095101707,59.92445176913294,
random-s0-0000,prm,event,0.0,50.0,30.0,1,0,completed,True,0,2769.999999999998,2769.999999999998,93.47669998533092,29.633052947255173,24813.34037345258,24437.6809648464,24532.51069962512,58.58810231447854,59.640207525485074,
random-s0-0000,prm,event,0.0,100.0,30.0,1,0,completed,True,0,2740.000000000001,2740.000000000001,68.24970000889152,40.14669661028599,24813.34037345258,24370.18272416686,24532.51069962512,58.65546588274534,59.43759059421139,
random-s0-0000,prm,event,50.0,20.0,30.0,1,0,completed,True,0,3180.0000000000023,3180.0000000000023,163.53849999723025,19.44496250151408,24813.34037345258,25017.19070699756,24532.51069962512,58.679570076487416,59.58429001001329,
random-s0-0000,prm,event,50.0,50.0,30.0,1,0,completed,True,0,2919.9999999999977,2919.9999999999977,117.95100002200344,24.75604275890225,24813.34037345258,24683.338824771407,24532.51069962512,58.94533445022186,59.68637774224658,
random-s0-0000,prm,event,50.0,100.0,30.0,1,0,completed,True,0,2960.0000000000014,2960.0000000000014,104.0799999900628,28.439661801331788,24813.34037345258,24756.33117668388,24532.51069962512,58.51790443009602,59.949251512223455,
random-s0-0000,prm,event,100.0,20.0,30.0,1,0,completed,True,0,3120.0000000000023,3120.0000000000023,205.8715999883134,15.155077243180282,24813.34037345258,26064.527304203453,24532.51069962512,58.62612892428428,59.88873865239477,
random-s0-0000,prm,event,100.0,50.0,30.0,1,0,completed,True,0,3039.9999999999973,3039.9999999999973,129.56339999800548,23.46341636640282,24813.34037345258,25188.520395073952,24532.51069962512,59.39570827116058,59.88066645223548,
random-s0-0000,prm,event,100.0,100.0,30.0,1,0,completed,True,0,4339.9999999999945,4339.9999999999945,99.2436000087764,43.73077961315586,24813.34037345258,28014.101318034816,24532.51069962512,58.42087349258855,58.81059003403391,
random-s0-0000,visibility,once,0.0,20.0,30.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,28.97299997857772,95.95140310135298,24559.54935681105,24204.46514158113,24532.51069962512,58.45322679217412,58.89973837184751,
random-s0-0000,visibility,cycle,0.0,20.0,30.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,1444.469299982302,1.8968904358393583,24559.54935681105,24209.82939168442,24532.51069962512,58.59663722112523,59.90228160300528,
