scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,323,0.215,6.0,0.0,0,8.219550014473498,18.639000016264617,8.743509499181528,1.3699250024122498,12.116199999582022,6195.5102040815855,6168.999999999953,35.23090499904356,186.8601155908018,26721.31314210343,26060.723433006784,74.50725129373537,-176.74322005615355,0.1,4.7125000128289685,1.3742357476585665,0.785,0.723-0.836,320.0000000000001,0.9909335033011961,3.9636500005144626,1.4488689797945216,0.0,0.0,0.0,0.0,0.0,0.19183131231757894,0.49,0.934384994727605
random,voronoi,cycle,0.0,20.0,0.0,kinematic,0,200,200,194,0.97,4,105,0.69,708.395,87.235,360,331.86024968745187,1162.9978997807484,465.98872250673594,0.49344945725782985,103.87200000695884,3030.515463917527,3295.400000000001,531.2189725003554,9.41983192745653,26721.31314210343,25195.06985629736,77.81457557904017,-175.6756207271649,0.16,4.241800008458085,127.16722689011767,0.31000000000000005,0.250-0.377,79.2999999999999,0.9288378529372769,0.053904154882464965,4.64332955539496,0.0,0.0,0.0,7.115,99.88559037553858,1.1620314659746955,7.67,0.9665171503312431
random,voronoi,cycle,0.0,50.0,0.0,kinematic,0,200,200,195,0.975,4,135,0.605,284.995,32.855,155,138.2870502275182,409.967699815752,179.7650539962342,0.4853140645460556,150.6144000159111,3065.999999999997,3195.099999999997,218.02040999769815,20.45822433133072,26721.31314210343,25243.970142440277,76.76774915120728,-172.06056993265608,0.185,4.3601500074146315,52.20308084050654,0.395,0.330-0.464,97.34999999999997,0.9220201107854179,0.05694694099479898,4.267979786299845,0.0,0.0,0.0,6.1,184.93639970084067,0.8733550272227473,5.425,0.9639740741513069
random,voronoi,cycle,0.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,130,0.56,142.96,14.37,78,71.47969988000114,218.6353999422863,82.85328999758349,0.4903814392547565,57.5941999850329,3065.102040816327,3059.6000000000004,106.76435649947962,38.012249286970466,26721.31314210343,25156.44152793624,74.54365775093468,-172.9040719943733,0.225,4.307249997509643,25.682771242457733,0.43999999999999995,0.373-0.509,108.89999999999998,0.9158519595193323,0.0568627518201872,3.7288131693813433,0.0,0.0,0.0,5.3,252.01419193258127,0.6112769984642493,3.65,0.9661141597888451
random,voronoi,cycle+pred50,50.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,34,0.865,722.895,106.525,518,501.0077998304041,1380.327600199962,560.1064484739618,0.6835127903272893,109.00980001315475,3235.4081632653074,3229.900000000001,628.8895830001275,7.102352730913273,26796.83498315467,25602.84956671597,74.52677092475534,-173.45249084677818,0.285,4.610450021573342,165.42803285548428,0.135,0.094-0.189,39.99999999999996,0.9352021734845309,0.05945982155410682,4.655906564113155,0.0,0.0,0.0,8.695,88.23828871785969,1.4432624324909178,8.77,0.9499087133087568
random,voronoi,cycle+pred50,50.0,50.0,0.0,kinematic,0,200,200,196,0.98,4,30,0.865,292.815,42.99,208,195.4351998429047,526.3632001006044,230.33064952192944,0.6918453799957429,38.71679998701438,3297.040816326527,3289.5999999999967,270.036817999644,16.372742533257846,26796.83498315467,25637.2520718873,74.64510039907384,-155.55030529691538,0.325,4.652800009353086,66.16785055326122,0.135,0.094-0.189,38.9499999999999,0.9360085357858525,0.06044493639936796,4.402521012979897,0.0,0.0,0.0,6.845,162.53746005907985,1.0422618103524848,6.395,0.9490721196715357
random,voronoi,cycle+pred50,50.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,43,0.8,148.345,21.295,102,101.20004990312736,255.08590013487265,117.26795649068663,0.692510304688015,115.75169998104684,3332.2448979591836,3324.6,143.3303865006019,30.12158181078425,26796.83498315467,25674.592336959395,74.49314596550447,-175.30965673244845,0.375,4.680750003899448,33.51888306397605,0.19999999999999996,0.150-0.261,51.7,0.9361582079316063,0.06183692487456723,4.024981118097994,0.0,0.0,0.0,6.02,239.83390517911002,0.825669304802118,5.275,0.9473009271222134
random,voronoi,cycle+pred100,100.0,20.0,0.0,kinematic,0,200,200,194,0.97,5,19,0.92,762.745,149.345,768,609.8272998206085,1580.6057004956529,717.2562340258446,0.8106743415656907,115.04809997859411,3475.670103092783,3608.5999999999995,792.4288339988561,6.2764817828524055,26859.20567834713,26284.678701042998,78.31080334011804,-93.97780760512079,0.4,5.032750006648712,184.82140252028464,0.07999999999999996,0.050-0.126,18.199999999999992,0.9411870158364053,0.06944722316829494,4.346331795601617,0.0,0.0,0.0,12.305,98.6274846815228,2.3967478604438774,16.945,0.9285409265034484
random,voronoi,cycle+pred100,100.0,50.0,0.0,kinematic,0,200,200,194,0.97,5,29,0.88,307.43,59.415,300,242.65120005293284,597.7190000703558,290.15838098624954,0.8208851353766023,86.08500001719221,3479.3814432989648,3607.4499999999957,334.61473300136277,14.457621776217795,26859.20567834713,26398.969736864063,78.08079015803082,-154.03168133427522,0.365,5.062799988081679,75.57008227899232,0.12,0.082-0.172,28.60000000000001,0.9419086071419706,0.06964016072104612,4.179579086791979,0.0,0.0,0.0,8.865,171.12757550832464,1.6353121292759707,11.66,0.9247743157486381
random,voronoi,cycle+pred100,100.0,100.0,0.0,kinematic,0,200,200,195,0.975,5,51,0.78,155.025,28.31,163,126.76134986395482,322.20049982424825,145.09678099566372,0.8297113900203096,110.02979998011142,3542.871794871793,3542.1999999999985,173.7707779997436,27.273037587921397,26859.20567834713,26372.456679008923,75.83487436496081,-175.85916465424123,0.36,4.887700008112006,39.01764252809412,0.21999999999999997,0.168-0.282,53.8,0.9362799165325237,0.07657428355065278,3.962409275186172,0.0,0.0,0.0,7.59,230.41098955980334,1.1671853832302639,8.12,0.9247203640650694
