planner,replan_policy,replan_period_ms,n,failures_median,blocked_ms_median,blocked_pct_median,blocked_pct_mean
prm,cycle,20.0,354,29.0,580.0,19.004248957431727,27.42127806810069
prm,cycle,100.0,354,6.0,600.0,20.339216767788187,27.156015869686964
prm,event,20.0,354,19.0,380.0,10.959684622255118,19.280927913830144
prm,event,100.0,354,5.0,500.0,14.736907421196344,20.324464100056034
visibility,cycle,20.0,354,35.0,700.0,21.1308166058394,29.873579660374048
visibility,cycle,100.0,354,8.0,800.0,22.346368715083788,29.940548466773016
visibility,event,20.0,354,30.0,600.0,17.111255692908344,23.70153697582085
visibility,event,100.0,354,6.0,600.0,19.345927642131517,25.662087732473275
voronoi,cycle,20.0,354,13.0,260.0,8.00943396226415,10.792501730038582
voronoi,cycle,100.0,354,2.0,200.0,7.083835139836747,8.76172732731915
voronoi,event,20.0,354,5.0,100.0,2.930442249892656,4.860834047142096
voronoi,event,100.0,354,1.0,100.0,3.134827044025156,4.651450184942849
