scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,once,0.0,20.0,30.0,1,0,0,0,0,0,0,450.9280846975254,680.7020006761659,450.9280846975254,0.0
random-s0-0000,voronoi,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,33.83590814854094,747.438120018283,33.83590814854094,0.0
random-s0-0000,voronoi,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,53.2669457878321,776.3006226506432,53.2669457878321,0.0
random-s0-0000,voronoi,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,45.15657518496008,779.5425519029034,45.15657518496008,0.0
random-s0-0000,voronoi,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,64.25159929978474,771.7866942290195,64.25159929978474,0.0
random-s0-0000,voronoi,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,148.5827899500028,175.11635037230735,148.5827899500028,0.0
random-s0-0000,voronoi,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,4.598349942536999,815.3303681406442,4.598349942536999,0.0
random-s0-0000,voronoi,event,0.0,20.0,30.0,1,0,0,0,0,0,0,32.870525329484025,798.4412278156549,32.870525329484025,0.0
random-s0-0000,voronoi,event,0.0,100.0,30.0,1,0,0,0,0,0,0,32.87052532948408,707.0727324714584,32.87052532948408,0.0
random-s0-0000,voronoi,event,50.0,20.0,30.0,1,0,0,0,0,0,0,9.922274360414292,403.32597890344994,9.922274360414292,0.0
random-s0-0000,voronoi,event,50.0,100.0,30.0,1,0,0,0,0,0,0,93.37329610991247,808.3150576450889,93.37329610991247,0.0
random-s0-0000,voronoi,event,150.0,20.0,30.0,1,0,0,0,0,0,0,43.96892085004632,336.6722736373446,43.96892085004632,0.0
random-s0-0000,voronoi,event,150.0,100.0,30.0,1,0,0,0,0,0,0,61.587737368144815,489.69592614081,61.587737368144815,0.0
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,0,0,0,0,0,212.64804624184077,680.7020006761659,212.64804624184077,0.0
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,36.74820403456175,555.1760458114896,36.74820403456175,0.0
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,61.62384194239198,792.4577705593571,61.62384194239198,0.0
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,33.75845634997398,363.35200349343233,33.75845634997398,0.0
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,36.74820403456181,243.44301075344663,36.74820403456181,0.0
random-s0-0000,prm,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,78.662716244411,220.905084809188,78.662716244411,0.0
random-s0-0000,prm,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,91.34681072853402,603.421627143335,91.34681072853402,0.0
random-s0-0000,prm,event,0.0,20.0,30.0,1,0,0,0,0,0,0,36.74820403456175,561.1969706419111,36.74820403456175,0.0
random-s0-0000,prm,event,0.0,100.0,30.0,1,0,0,0,0,0,0,36.74820403456181,619.5256540426228,36.74820403456181,0.0
random-s0-0000,prm,event,50.0,20.0,30.0,1,0,0,0,0,0,0,36.74820403456175,145.8759262897766,36.74820403456175,0.0
random-s0-0000,prm,event,50.0,100.0,30.0,1,0,0,0,0,0,0,36.74820403456181,296.25220901613403,36.74820403456181,0.0
random-s0-0000,prm,event,150.0,20.0,30.0,1,0,0,0,0,0,0,32.61825345035871,622.5821441194147,32.61825345035871,0.0
random-s0-0000,prm,event,150.0,100.0,30.0,1,0,0,0,0,0,0,91.34681072853402,603.421627143335,91.34681072853402,0.0
random-s0-0000,visibility,once,0.0,20.0,30.0,1,0,0,0,0,0,0,33.02659860948103,680.7020006761659,33.02659860948103,0.0
random-s0-0000,visibility,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,30.226972325478755,713.1136803063631,30.226972325478755,0.0
random-s0-0000,visibility,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,33.02659860948074,712.1171100450847,33.02659860948074,0.0
random-s0-0000,visibility,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,30.226972325478755,728.6393917496843,30.226972325478755,0.0
random-s0-0000,visibility,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,33.02659860948074,717.9413730740476,33.02659860948074,0.0
random-s0-0000,visibility,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,98.63249092588774,490.1489520387608,98.63249092588774,0.0
random-s0-0000,visibility,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,128.91168255430227,455.42677483129296,128.91168255430227,0.0
random-s0-0000,visibility,event,0.0,20.0,30.0,1,0,0,0,0,0,0,30.226972325478755,735.6696580359912,30.226972325478755,0.0
random-s0-0000,visibility,event,0.0,100.0,30.0,1,0,0,0,0,0,0,33.02659860948074,738.3870740221844,33.02659860948074,0.0
random-s0-0000,visibility,event,50.0,20.0,30.0,1,0,0,0,0,0,0,30.226972325478755,789.7720619410848,30.226972325478755,0.0
random-s0-0000,visibility,event,50.0,100.0,30.0,1,0,0,0,0,0,0,33.02659860948074,803.1364139272523,33.02659860948074,0.0
random-s0-0000,visibility,event,150.0,20.0,30.0,1,0,0,0,0,0,0,30.226972325478755,523.8105347820339,30.226972325478755,0.0
random-s0-0000,visibility,event,150.0,100.0,30.0,1,0,0,0,0,0,0,128.91168255430227,295.9702079896607,128.91168255430227,0.0
random-s0-0001,voronoi,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-147.90576513644925,201.2995062831088,-147.90576513644925,80.0
