scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0000,voronoi,once,0.0,20.0,30.0,1,0,completed,True,0,3560.0000000000027,3560.0000000000027,57.85150000883732,61.536865931845874,25121.943430832205,24699.52894534852,24532.51069962512,58.704761342755226,59.27079673745914,
random-s0-0000,voronoi,cycle,0.0,20.0,30.0,1,0,completed,True,0,2700.000000000002,2700.000000000002,1203.747200008365,2.242995871542828,25121.943430832205,25046.39567966701,24532.51069962512,58.319906808836976,59.43033808170703,
random-s0-0000,voronoi,cycle,0.0,100.0,30.0,1,0,completed,True,0,2760.000000000001,2760.000000000001,279.7152999992249,9.867175660422038,25121.943430832205,25141.4088593696,24532.51069962512,58.608516695000816,59.08957277285893,
random-s0-0000,voronoi,cycle,50.0,20.0,30.0,1,0,completed,True,0,2820.0000000000023,2820.0000000000023,1714.6490000013728,1.644651470941134,25121.943430832205,25497.79742720807,24532.51069962512,58.13475368782088,59.239841438429686,
random-s0-0000,voronoi,cycle,50.0,100.0,30.0,1,0,completed,True,0,2800.0000000000014,2800.0000000000014,285.8855999947991,9.794127441364443,25121.943430832205,25615.544443786795,24532.51069962512,58.56998838088115,59.4388412969818,
random-s0-0000,voronoi,cycle,150.0,20.0,30.0,1,0,completed,True,0,3320.0000000000027,3320.0000000000027,1073.544300001231,3.092559850577378,25121.943430832205,26950.08292731822,24532.51069962512,58.78776076095318,59.87273315874644,
random-s0-0000,voronoi,cycle,150.0,100.0,30.0,1,0,completed,True,0,3180.0000000000014,3180.0000000000014,211.0728999978164,15.065884820045108,25121.943430832205,26997.58359580894,24532.51069962512,58.49471977402272,59.341837971108895,
random-s0-0000,voronoi,event,0.0,20.0,30.0,1,0,completed,True,0,2720.000000000002,2720.000000000002,185.4609000001801,14.666164134851927,25121.943430832205,25089.870560518822,24532.51069962512,58.796542255517146,59.897512485371074,
random-s0-0000,voronoi,event,0.0,100.0,30.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,67.80250000883825,41.0014379947291,25121.943430832205,25176.3207852285,24532.51069962512,58.72484957835794,59.40026285413449,
random-s0-0000,voronoi,event,50.0,20.0,30.0,1,0,completed,True,0,2900.0000000000023,2900.0000000000023,179.6250999905169,16.14473701143718,25121.943430832205,24961.85802678757,24532.51069962512,58.60748939273439,59.59165884066648,
random-s0-0000,voronoi,event,50.0,100.0,30.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,87.77949999785051,31.67026469811375,25121.943430832205,25501.88395241217,24532.51069962512,58.7977689288933,59.60738619135581,
random-s0-0000,voronoi,event,150.0,20.0,30.0,1,0,completed,True,0,3180.0000000000023,3180.0000000000023,323.02789999812376,9.844350905969648,25121.943430832205,25824.602389479067,24532.51069962512,58.64063848334635,59.90533372652517,
random-s0-0000,voronoi,event,150.0,100.0,30.0,1,0,completed,True,0,3180.0000000000014,3180.0000000000014,351.46619999432005,9.047811710063137,25121.943430832205,26021.21383001092,24532.51069962512,59.20210332024854,59.88826466938307,
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,92.14639999845532,30.169382635095936,24813.34037345258,24415.98768194052,24532.51069962512,58.598671525453454,58.89973837184751,
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,1592.1243999910075,1.7209710497593516,24813.34037345258,24437.64964507926,24532.51069962512,58.795718293452126,59.854983258922914,
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,completed,True,0,2660.000000000001,2660.000000000001,203.9390999998432,13.043109438072673,24813.34037345258,24631.19934272357,24532.51069962512,58.66376779926224,59.032780309091045,
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,completed,True,0,3020.0000000000023,3020.0000000000023,1536.6303999908268,1.9653392253713255,24813.34037345258,25983.07489709536,24532.51069962512,58.89363434589274,59.69818027211104,
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,completed,True,0,2920.0000000000014,2920.0000000000014,230.66479999397416,12.659061981179107,24813.34037345258,24954.872349552163,24532.51069962512,58.75402989180344,59.77009289037799,
random-s0-0000,prm,cycle,150.0,20.0,30.0,1,0,completed,True,0,3000.0000000000023,3000.0000000000023,1022.7014000120108,2.933407541991015,24813.34037345258,27648.158069086585,24532.51069962512,58.95610312165993,59.62821122710406,
random-s0-0000,prm,cycle,150.0,100.0,30.0,1,0,completed,True,0,2940.0000000000014,2940.0000000000014,188.46809999377,15.59945688473108,24813.34037345258,25367.66995004972,24532.51069962512,58.30120033738709,58.81059003403391,
random-s0-0000,prm,event,0.0,20.0,30.0,1,0,completed,True,0,2760.000000000002,2760.000000000002,151.1292999930447,18.26250766811613,24813.34037345258,24427.72124108417,24532.51069962512,58.94275095101707,59.92445176913294,
random-s0-0000,prm,event,0.0,100.0,30.0,1,0,completed,True,0,2740.000000000001,2740.000000000001,72.6353000063682,37.72270507259935,24813.34037345258,24370.18272416686,24532.51069962512,58.65546588274534,59.43759059421139,
random-s0-0000,prm,event,50.0,20.0,30.0,1,0,completed,True,0,3180.0000000000023,3180.0000000000023,187.16250000579748,16.990583048962797,24813.34037345258,25017.19070699756,24532.51069962512,58.679570076487416,59.58429001001329,
random-s0-0000,prm,event,50.0,100.0,30.0,1,0,completed,True,0,2960.0000000000014,2960.0000000000014,114.55159999604804,25.839883511903107,24813.34037345258,24756.33117668388,24532.51069962512,58.51790443009602,59.949251512223455,
random-s0-0000,prm,event,150.0,20.0,30.0,1,0,completed,True,0,3380.0000000000027,3380.0000000000027,255.61500000185333,13.223011169045227,24813.34037345258,27088.41703210116,24532.51069962512,58.713297282569954,59.74405388936648,
random-s0-0000,prm,event,150.0,100.0,30.0,1,0,completed,True,0,2940.0000000000014,2940.0000000000014,118.61950000457,24.78513229179632,24813.34037345258,25367.66995004972,24532.51069962512,58.30120033738709,58.81059003403391,
random-s0-0000,visibility,once,0.0,20.0,30.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,37.62339999957476,73.89018536419948,24559.54935681105,24204.46514158113,24532.51069962512,58.45322679217412,58.89973837184751,
random-s0-0000,visibility,cycle,0.0,20.0,30.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,1606.7060000059428,1.7053524415729246,24559.54935681105,24209.82939168442,24532.51069962512,58.59663722112523,59.90228160300528,
random-s0-0000,visibility,cycle,0.0,100.0,30.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,431.10929999966174,6.448480698519337,24559.54935681105,24210.622661111647,24532.51069962512,58.44831937813003,59.78725784679763,
random-s0-0000,visibility,cycle,50.0,20.0,30.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,2579.6402000123635,1.0621636304112758,24559.54935681105,24258.30183501325,24532.51069962512,58.79030640350015,59.38376874819544,
