scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated
random-s0-0000,voronoi,1,0,completed,True,False,6,6,0,,15.004199973191135,2.5006999955318556,3560.0000000000027,57.85150000883732,61.536865931845874,178,0,0,0,25121.943430832205,24699.528945348517,58.704761342755226,59.27079673745914,450.9280846975254,20.0,kinematic,False,0,0.0,,,,random,once,0,0,15.004199973191135,14.408999995794147,3560.0000000000027,0.0,30.0,14.408999995794147,24532.51069962512,20.0,6,0,15.004199973191135,0,0,0,0,0,0,0,0.0,0.0,0.058982394702471234,0,680.7020006761659,450.9280846975254,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,698,0,,1031.8798999360297,1.4783379655243978,2700.000000000002,1203.7472000083653,2.2429958715428278,135,0,0,0,25121.943430832205,25046.39567966701,58.319906808836976,59.43033808170703,33.83590814854094,20.0,kinematic,False,0,0.0,,,,random,cycle,58,9,26.225399982649833,76.85959999798797,2700.000000000002,0.0,30.0,12.688000002526678,24532.51069962512,20.0,64,634,962.5392999732867,69.340599962743,0,0,0,58,0,5,87.16307058945841,750.0,0.7608203479008913,4,747.438120018283,33.83590814854094,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,143,0,,211.79369997116737,1.4810748249731984,2760.000000000001,279.71529999922495,9.867175660422038,138,0,0,0,25121.943430832205,25141.408859369596,58.608516695000816,59.08957277285893,53.2669457878321,20.0,kinematic,False,0,0.0,,,,random,cycle,12,1,13.999100003275089,18.266400002175942,2760.000000000001,0.0,30.0,14.329799989354797,24532.51069962512,100.0,18,125,196.44189997052308,15.351800000644289,0,0,0,12,0,4,232.86305378047962,670.0227509452296,0.40794808182420267,1,776.3006226506432,53.2669457878321,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,720,0,,1523.0949000251712,2.1154095833682933,2820.0000000000023,1714.6490000013728,1.644651470941134,141,0,0,0,25121.943430832205,25497.79742720807,58.134753687820876,59.239841438429686,45.156575184960076,20.0,kinematic,False,0,0.0,,,,random,cycle,96,5,17.38459999614861,24.581399993621744,2820.0000000000023,50.0,30.0,15.29679998930078,24532.51069962512,20.0,102,618,1453.7079999863636,69.38690003880765,0,0,0,96,0,5,78.17555087505777,750.0,0.6495460139376438,2,779.5425519029034,45.156575184960076,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,146,0,,234.8189999756869,1.608349314901965,2800.0000000000014,285.8855999947991,9.794127441364445,140,0,0,0,25121.943430832205,25615.544443786795,58.56998838088115,59.4388412969818,64.25159929978474,20.0,kinematic,False,0,0.0,,,,random,cycle,18,0,14.446699991822243,19.513300008838996,2800.0000000000014,50.0,30.0,10.563300005742349,24532.51069962512,100.0,24,122,224.30619996157475,10.512800014112145,0,0,0,18,0,5,225.82567782113045,750.0000000000001,0.6461976048608363,3,771.7866942290195,64.25159929978474,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,784,0,,967.547800304601,1.2341170922252562,3320.0000000000027,1073.544300001231,3.092559850577378,166,0,0,0,25121.943430832205,26950.08292731822,58.78776076095318,59.87273315874644,148.5827899500028,20.0,kinematic,False,0,0.0,,,,random,cycle,160,11,15.206200012471527,20.046000005095266,3320.0000000000027,150.0,30.0,11.474900005850941,24532.51069962512,20.0,166,618,935.2465000265511,32.301300278049894,0,0,0,160,0,52,196.43843797772882,750.0,5.77187176517089,27,175.11635037230735,148.5827899500028,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,153,0,,178.18259990599472,1.1645921562483315,3180.0000000000014,211.07289999781642,15.065884820045108,159,0,0,0,25121.943430832205,26997.58359580894,58.49471977402272,59.341837971108895,4.5983499425369985,20.0,kinematic,False,0,0.0,,,,random,cycle,24,2,6.199299983563833,12.84779999696184,3180.0000000000014,150.0,30.0,8.84599999699276,24532.51069962512,100.0,30,123,165.41179997147992,12.770799934514798,0,0,0,24,0,11,409.8978186092393,750.0,1.599578645387426,12,815.3303681406442,4.5983499425369985,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,684,0,,95.8483000722481,0.14012909367287732,2720.000000000002,185.46090000018012,14.666164134851929,136,0,0,0,25121.943430832205,25089.870560518822,58.796542255517146,59.897512485371074,32.870525329484025,20.0,kinematic,False,0,0.0,,,,random,event,6,4,5.8803000138141215,13.284899992868304,2720.000000000002,0.0,30.0,0.14500001270789653,24532.51069962512,20.0,12,672,55.658100041910075,40.19020003033802,5,0,1,0,0,6,417.0425661479128,608.2236433130932,0.3495926650621306,0,798.4412278156549,32.870525329484025,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,41.850200068438426,0.2989300004888459,2780.000000000001,67.80250000883825,41.0014379947291,139,0,0,0,25121.943430832205,25176.3207852285,58.72484957835794,59.40026285413449,32.87052532948408,20.0,kinematic,False,0,0.0,,,,random,event,4,0,7.620899996254593,8.451500005321577,2780.000000000001,0.0,30.0,0.13640000543091446,24532.51069962512,100.0,10,130,35.83799999614712,6.012200072291307,4,0,0,0,0,5,449.89903737553504,670.0227509452296,0.2925043276480545,0,707.0727324714584,32.87052532948408,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,698,0,,93.94209999300074,0.1345875358065913,2900.0000000000023,179.6250999905169,16.14473701143718,145,0,0,0,25121.943430832205,24961.858026787566,58.60748939273439,59.591658840666476,9.922274360414292,20.0,kinematic,False,0,0.0,,,,random,event,8,4,5.72870000905823,8.621799992397428,2900.0000000000023,50.0,30.0,0.10699999984353781,24532.51069962512,20.0,14,684,55.268399984925054,38.673700008075684,5,0,3,0,0,6,314.76411953143304,576.1291607062336,0.3657346560960196,0,403.32597890344994,9.922274360414292,0.0,0,0
