planner,h,period,mc_n,mc_diff,mc_lo,mc_hi,mc_p,mc_a_only,mc_b_only,safe_cycle,safe_event,safe_once,replans_cycle,replans_event,ms_cycle,ms_event,over_cycle,over_event,blocked_cycle,blocked_event,heading_cycle,heading_event
voronoi,0.0,20.0,196,1.02,-4.63,6.68,0.86,17,15,86.73,85.71,30.61,61.0,6.0,269.1,53.55,1.02,0.0,0.0,0.0,0.86,0.51
voronoi,0.0,100.0,196,4.08,-1.72,9.88,0.23,21,13,67.35,63.27,,13.0,4.0,59.6,24.56,0.0,0.0,0.0,0.0,0.57,0.44
voronoi,50.0,20.0,196,-0.51,-1.51,0.49,1.0,0,1,97.96,98.47,,100.0,12.5,410.49,67.79,1.02,0.51,0.15,0.08,1.28,0.69
voronoi,50.0,100.0,196,-2.55,-5.17,0.07,0.12,1,6,91.33,93.88,,19.0,6.0,81.92,31.84,0.51,0.0,0.0,0.0,0.74,0.54
voronoi,150.0,20.0,196,-1.53,-3.25,0.19,0.25,0,3,98.47,100.0,,170.5,48.0,593.3,98.48,1.53,1.02,0.41,0.15,2.59,1.31
voronoi,150.0,100.0,196,-3.06,-7.51,1.39,0.26,7,13,87.76,90.82,,34.0,15.0,119.33,47.42,0.0,0.0,0.43,0.29,1.34,1.02
prm,0.0,20.0,172,-0.58,-5.55,4.38,1.0,9,10,84.3,84.88,25.58,63.0,5.5,422.35,54.15,2.91,0.58,0.95,0.6,0.69,0.44
prm,0.0,100.0,172,1.74,-4.8,8.29,0.73,18,15,63.95,62.21,,11.0,3.0,84.98,33.14,1.16,0.58,1.55,1.14,0.34,0.29
prm,50.0,20.0,172,0.0,-3.6,3.6,1.0,5,5,90.12,90.12,,85.5,6.0,567.71,59.47,3.49,1.16,2.88,1.37,0.83,0.46
prm,50.0,100.0,172,-0.58,-5.8,4.64,1.0,10,11,78.49,79.07,,15.0,4.0,115.04,36.64,0.58,0.58,2.75,1.89,0.49,0.38
prm,150.0,20.0,172,-0.58,-3.6,2.43,1.0,3,4,81.4,81.98,,92.5,6.0,592.79,63.22,27.91,12.21,8.71,5.43,0.99,0.44
prm,150.0,100.0,172,1.74,-2.03,5.51,0.55,7,4,77.33,75.58,,17.0,4.0,121.41,35.64,11.05,4.07,8.03,5.71,0.54,0.35
visibility,0.0,20.0,172,1.74,-2.36,5.84,0.58,8,5,78.49,76.74,29.07,89.5,17.0,959.86,204.45,20.35,4.65,1.67,1.35,0.17,0.15
visibility,0.0,100.0,172,1.74,-2.36,5.84,0.58,8,5,65.12,63.37,,16.0,6.0,188.89,81.5,6.98,1.74,1.9,1.68,0.09,0.08
visibility,50.0,20.0,172,-2.33,-7.15,2.5,0.48,7,11,77.33,79.65,,113.5,18.0,1161.48,206.82,21.51,4.07,3.01,2.15,0.25,0.19
visibility,50.0,100.0,172,0.0,-6.03,6.03,1.0,14,14,68.6,68.6,,21.0,6.0,232.03,86.35,3.49,4.65,3.35,2.65,0.16,0.13
visibility,150.0,20.0,172,1.16,-4.65,6.97,0.85,14,12,73.84,72.67,,112.0,14.0,1021.68,170.42,11.63,5.81,9.13,6.34,0.39,0.24
visibility,150.0,100.0,172,5.23,-1.84,12.31,0.2,24,15,66.86,61.63,,22.5,7.0,227.27,82.39,5.23,4.07,8.49,6.29,0.24,0.18
