scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated
random-s0-0000,voronoi,1,0,completed,True,False,6,6,0,,10.345757000038702,1.7242928333397838,3560.0000000000027,21.14743599997837,168.34192097820483,178,0,0,0,25121.943430832205,24699.528945348517,58.704761342755226,59.27079673745914,450.9280846975254,20.0,kinematic,False,0,0.0,,,,random,once,0,0,10.345757000038702,9.942009999974744,3560.0000000000027,0.0,0.0,9.942009999974744,24532.51069962512,20.0,6,0,10.345757000038702,0,0,0,0,0,0,0,0.0,0.0,0.058982394702471234,0,680.7020006761659,450.9280846975254,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,695,0,,275.3913090004403,0.39624648777041765,2700.000000000002,313.54859699996496,8.611105346455444,135,0,0,0,25121.943430832205,24971.67523933209,58.04255362259772,58.337056983530616,5.606852313281308,20.0,kinematic,False,0,0.0,,,,random,cycle,57,0,4.16361300005974,19.90283200001386,2700.000000000002,0.0,0.0,3.8279139999986,24532.51069962512,20.0,63,632,257.8948729998274,17.496436000612903,0,0,0,57,0,5,93.2498180734254,750.0,0.7745332022831757,4,743.7085701164372,5.606852313281308,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,142,0,,57.43912700046394,0.40450089436946435,2680.000000000001,71.46677100001853,37.49994525426798,134,0,0,0,25121.943430832205,25113.033948363132,58.670253682052824,59.08957277285893,28.18795404240734,20.0,kinematic,False,0,0.0,,,,random,cycle,12,0,4.619510999987142,5.732695999995485,2680.000000000001,0.0,0.0,3.9806169999678787,24532.51069962512,100.0,18,124,53.956652000067606,3.4824750003963345,0,0,0,12,0,4,228.2292898940356,670.0227509452296,0.40733183240074505,1,758.5595320852732,28.18795404240734,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,717,0,,410.21776599973236,0.5721307754529042,2800.000000000002,452.7343359999918,6.184642465465779,140,0,0,0,25121.943430832205,25445.765014707962,58.43603533049539,59.57445393443079,3.0841359284548275,20.0,kinematic,False,0,0.0,,,,random,cycle,95,2,3.9386659999536278,5.307114999993701,2800.000000000002,50.0,0.0,3.9907739999875957,24532.51069962512,20.0,101,616,384.4163799997773,25.801385999955073,0,0,0,95,0,5,79.55797380102632,750.0,0.6491346266605135,2,773.570675011836,3.0841359284548275,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,146,0,,81.99888100011776,0.5616361712336833,2800.0000000000014,97.07688499997857,28.843117493939154,140,0,0,0,25121.943430832205,25615.544443786795,58.56998838088115,59.4388412969818,64.25159929978474,20.0,kinematic,False,0,0.0,,,,random,cycle,18,0,4.117009000026428,6.456381000020883,2800.0000000000014,50.0,0.0,3.9890410000111842,24532.51069962512,100.0,24,122,78.48117600008209,3.5177050000356758,0,0,0,18,0,5,225.82567782113045,750.0000000000001,0.6461976048608363,3,771.7866942290195,64.25159929978474,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,735,0,,317.13326299848177,0.4314738272088187,3100.0000000000023,361.7863439999951,8.568593180509998,155,0,0,0,25121.943430832205,25856.21461565661,58.70851886805937,59.57085657186951,75.93176315324413,20.0,kinematic,False,0,0.0,,,,random,cycle,116,2,4.104132999941612,4.60819300002413,3100.0000000000023,150.0,0.0,4.091162000008808,24532.51069962512,20.0,122,613,291.318580999814,25.814681998667766,0,0,0,116,0,11,77.90568966087845,750.0,1.281043997122627,5,293.8871923319277,75.93176315324413,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,152,0,,83.43578800025853,0.5489196578964377,3120.0000000000014,99.40135600004396,31.387901790782628,156,0,0,0,25121.943430832205,26227.862052490924,58.58362142847846,59.428200408698366,19.98293238691693,20.0,kinematic,False,0,0.0,,,,random,cycle,24,1,3.9471159999493466,4.162831999963146,3120.0000000000014,150.0,0.0,4.029823999985638,24532.51069962512,100.0,30,122,76.11599099999466,7.319797000263861,0,0,0,24,0,12,397.29726728680976,750.0,1.5720627739076862,9,613.9883110361723,19.98293238691693,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,693,0,,42.62491599945406,0.0615078152950275,2760.000000000002,83.7641819999817,32.949644276363905,138,0,0,0,25121.943430832205,25353.485921450345,58.619072814848174,59.59266149208913,257.7484380512226,20.0,kinematic,False,0,0.0,,,,random,event,5,0,3.956332999962342,3.865955999970083,2760.000000000002,0.0,0.0,0.04249500000241824,24532.51069962512,20.0,11,682,22.995775000026697,19.629140999427364,5,0,0,0,0,6,481.53191493795384,714.8449929897455,0.38989318455686034,2,769.2241402370984,257.7484380512226,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,23.608286999944994,0.16863062142817853,2780.000000000001,38.511155000037434,72.18687676329881,139,0,0,0,25121.943430832205,25176.3207852285,58.72484957835794,59.40026285413449,32.87052532948408,20.0,kinematic,False,0,0.0,,,,random,event,4,0,4.075455999952737,4.111547999968934,2780.000000000001,0.0,0.0,0.04558099999485421,24532.51069962512,100.0,10,130,19.790160999889395,3.8181260000555994,4,0,0,0,0,5,463.47920422869504,670.0227509452296,0.2925043276480545,0,707.0727324714584,32.87052532948408,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,694,0,,68.17268999958515,0.09823154178614574,2900.0000000000023,111.99512399997502,25.893984455971932,145,0,0,0,25121.943430832205,24900.755904762285,59.057227296545925,59.71341327747854,2.431662619170595,20.0,kinematic,False,0,0.0,,,,random,event,9,2,3.889503000038985,4.417689000035807,2900.0000000000023,50.0,0.0,0.046920999977828615,24532.51069962512,20.0,15,679,39.77918700002192,28.393502999563225,6,0,3,0,0,7,284.8260345816872,547.1373565825818,0.3783407024283441,0,375.80359399156566,2.431662619170595,0.0,0,0
