scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,323,0.215,6.0,0.0,0,7.8752789999612105,12.66609399999652,6.938880334985242,1.3125464999935352,9.942009999974744,6195.5102040815855,6168.999999999953,25.037305964999064,252.04096135193973,26721.31314210343,26060.723433006784,74.50725129373537,-176.74322005615355,0.1,4.072790500060819,1.0968500783984905,0.785,0.723-0.836,320.0000000000001,0.9887170788050349,3.9145420000465947,1.1472557683920253,0.0,0.0,0.0,0.0,0.0,0.19183131231757894,0.49,0.934384994727605
random,voronoi,cycle,0.0,20.0,0.0,kinematic,0,200,200,194,0.97,4,105,0.69,708.395,87.235,360,267.22874149987774,804.0707070013013,370.6933183101131,0.39188127583511967,38.211304000014934,3030.515463917527,3295.400000000001,414.44984206500266,11.694825698167056,26721.31314210343,25195.069856297356,77.81457557904017,-175.6756207271649,0.16,3.977178000013737,98.65798646986457,0.31000000000000005,0.250-0.377,79.2999999999999,0.9327948274907687,0.04049629117502315,3.709497504747761,0.0,0.0,0.0,7.115,99.88559037553858,1.1620314659746955,7.67,0.9665171503312431
random,voronoi,cycle,0.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,130,0.56,142.96,14.37,78,57.4202670001398,150.17416599960143,64.19825493499502,0.4066200315954187,8.957384000041202,3065.102040816327,3059.6000000000004,79.8680150550021,48.48415221590693,26721.31314210343,25156.44152793624,74.54365775093468,-172.9040719943733,0.225,3.966531499941084,19.90920532735402,0.43999999999999995,0.373-0.509,108.89999999999998,0.920148022011375,0.041810273550096706,2.9027959358731037,0.0,0.0,0.0,5.3,252.01419193258127,0.6112769984642493,3.65,0.9661141597888451
random,voronoi,cycle+pred50,50.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,34,0.865,722.895,106.525,518,405.9022415005984,919.7351780014742,433.28044157506156,0.5623873371866526,62.23868199992921,3235.4081632653074,3229.900000000001,478.78239766999855,8.83959244885588,26796.83498315467,25602.84956671597,74.52677092475534,-173.45249084677818,0.285,4.049584999961553,128.09911976279443,0.135,0.094-0.189,39.99999999999996,0.9353215109637238,0.04591150623379406,3.602120059419725,0.0,0.0,0.0,8.695,88.23828871785969,1.4432624324909178,8.77,0.9499087133087568
random,voronoi,cycle+pred50,50.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,43,0.8,148.345,21.295,102,80.79428450025716,197.50168700147697,91.92848655490565,0.5509213875821766,18.863022000005003,3332.2448979591836,3324.6,109.18211679999898,38.1461319114844,26796.83498315467,25674.592336959395,74.49314596550447,-175.30965673244845,0.375,4.0517230000318705,26.256379993357413,0.19999999999999996,0.150-0.261,51.7,0.9387824404509284,0.04648251094351113,3.1641007866168565,0.0,0.0,0.0,6.02,239.83390517911002,0.825669304802118,5.275,0.9473009271222134
random,voronoi,cycle+pred150,150.0,20.0,0.0,kinematic,0,200,200,195,0.975,4,16,0.94,797.735,187.265,1190,591.61949749722,1323.1993199977978,653.6715230548467,0.7433843833128086,61.874385999999504,3696.615384615383,3819.499999999998,709.4211801599948,6.807678802837887,26952.952603170514,27101.83027240602,75.65939934013124,-141.49471221002227,0.405,4.160037499957525,161.78577718350525,0.06000000000000005,0.035-0.102,18.899999999999807,0.9357891042907877,0.0694351171978972,3.1654049991455917,0.0,0.0,0.0,16.135,105.24138699231013,3.26664827042321,24.645,0.9012248922940845
random,voronoi,cycle+pred150,150.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,41,0.835,162.51,35.775,225,118.18796399950315,269.3408240027111,129.41882364989937,0.7260938492055757,9.89304900008392,3737.7551020408127,3724.6999999999966,149.4619977399921,30.189518888944068,26952.952603170514,27106.292978197765,74.42878005399518,-177.13024522318773,0.43,4.144130499980747,32.842176695932636,0.16500000000000004,0.120-0.223,37.69999999999999,0.9359705417940998,0.0686233875197547,2.9010227874494396,0.0,0.0,0.0,8.86,244.4162139632851,1.5125275330568773,11.51,0.9008373057952546
random,voronoi,event,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,83,0.72,722.47,8.13,216,53.352154001288454,101.7438760013647,57.89589413516296,0.07467303555554927,16.219603999843457,3369.4897959183663,3358.299999999999,105.95283447999351,32.71854390840468,26721.31314210343,25168.310283887247,74.50756102685203,-150.16024541367034,0.135,0.0434714999641983,17.61287402884452,0.28,0.222-0.346,61.699999999999854,0.5484641890296226,0.03690506170616061,2.2504482370649916,7.97,0.0,0.14,6.67,383.39213943815344,0.6059332161356958,3.51,0.965820840747823
random,voronoi,event,0.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,140,0.535,148.17,4.81,55,24.497528499750842,46.31820800045716,26.277259449939265,0.16509269843850383,9.081070999855001,3453.9795918367317,3441.399999999997,44.59793000999866,80.60634257667412,26721.31314210343,25172.775510705364,74.55130396667026,-173.51642582385136,0.18,0.05150549998234055,7.780760357707436,0.46499999999999997,0.397-0.534,107.19999999999999,0.7943388186947807,0.03933769267679608,1.9344807442076941,4.78,0.0,0.03,5.075,372.7007071076342,0.485142053466312,2.9,0.9653845555688981
random,voronoi,event+pred50,50.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,30,0.865,757.06,15.095,313,67.2986314984314,124.34301599955688,70.06822554983046,0.08684910170693161,39.61994200005847,3683.0612244897916,3672.399999999996,121.97180688998998,31.325922827151377,26796.83498315467,25593.101240711032,74.51321594573996,-145.00371487901612,0.245,0.046568000016122824,19.600983095732996,0.135,0.094-0.189,40.69999999999972,0.5827518807498083,0.039723411930766235,1.9374799629876855,13.395,0.0,1.56,7.935,266.2126924682932,0.8326781699064715,5.01,0.9506973155875993
