planner,policy,horizon_ms,period_ms,n,collision_free_pct,ci95_lo,ci95_hi,collision_free_all_obstacle_pct,collision_free_unfiltered_pct,teammate_clean_pct,completion_pct,planning_ms_median,planning_ms_per_sim_s,max_call_ms_median,over_budget_pct,time_to_goal_s_median,replans_median
prm,cycle,0.0,20.0,181,94.5,90.1,97.0,60.8,53.0,85.1,100.0,706.1,247.08,19.22,92.3,2.84,56.0
prm,cycle,0.0,100.0,181,84.0,77.9,88.6,58.6,38.7,62.4,100.0,131.3,46.95,17.26,55.8,2.82,9.0
prm,cycle,50.0,20.0,181,96.1,92.2,98.1,71.3,65.7,92.8,100.0,937.6,318.22,19.48,96.1,3.04,85.0
prm,cycle,50.0,100.0,181,95.0,90.8,97.4,66.3,53.6,78.5,100.0,195.9,62.96,17.58,64.6,3.04,15.0
prm,cycle,150.0,20.0,181,93.4,88.8,96.2,66.3,59.1,88.4,80.7,1065.6,313.42,26.71,93.4,3.32,101.0
prm,cycle,150.0,100.0,181,91.7,86.8,94.9,62.4,51.4,82.3,80.7,223.2,65.74,18.81,68.0,3.37,19.0
prm,event,0.0,20.0,181,92.8,88.1,95.8,64.6,55.2,84.5,100.0,93.2,29.13,16.91,51.9,3.02,6.0
prm,event,0.0,100.0,181,85.1,79.2,89.5,57.5,36.5,59.7,100.0,58.7,18.25,13.92,32.0,2.98,4.0
prm,event,50.0,20.0,181,94.5,90.1,97.0,68.0,62.4,92.8,100.0,113.0,31.28,16.97,50.8,3.36,8.0
prm,event,50.0,100.0,181,94.5,90.1,97.0,62.4,53.6,82.3,100.0,72.1,19.28,15.58,42.0,3.32,5.0
prm,event,150.0,20.0,181,91.7,86.8,94.9,61.9,56.4,89.5,80.7,119.8,28.33,17.11,54.1,4.11,8.0
prm,event,150.0,100.0,181,89.0,83.5,92.7,56.9,47.0,83.4,80.7,69.8,17.27,15.29,39.2,3.77,5.0
prm,once,0.0,20.0,181,44.2,37.2,51.5,25.4,12.2,33.7,100.0,15.9,3.69,8.85,16.0,4.38,0.0
visibility,cycle,0.0,20.0,181,87.3,81.7,91.4,48.1,37.0,79.0,100.0,848.4,297.95,17.91,82.3,2.9,69.0
visibility,cycle,0.0,100.0,181,81.2,74.9,86.2,47.5,32.6,71.3,100.0,170.4,57.16,16.61,47.0,2.92,13.0
visibility,cycle,50.0,20.0,181,87.3,81.7,91.4,50.3,43.1,83.4,100.0,1047.3,344.57,17.28,71.3,3.04,93.0
visibility,cycle,50.0,100.0,181,87.8,82.3,91.8,49.7,38.1,73.5,100.0,220.0,72.94,16.33,40.9,3.04,18.0
visibility,cycle,150.0,20.0,181,90.6,85.5,94.1,47.0,38.1,78.5,80.7,1103.4,336.35,15.98,24.3,3.48,111.0
visibility,cycle,150.0,100.0,181,85.6,79.8,90.0,47.0,35.9,75.1,80.7,247.4,70.95,15.16,13.8,3.54,22.0
visibility,event,0.0,20.0,181,87.8,82.3,91.8,48.6,39.2,81.8,100.0,234.0,76.98,17.32,67.4,2.94,18.0
visibility,event,0.0,100.0,181,81.2,74.9,86.2,46.4,33.1,71.8,100.0,91.9,29.07,15.94,40.3,2.96,6.0
visibility,event,50.0,20.0,181,85.6,79.8,90.0,46.4,40.9,87.8,100.0,244.3,73.12,16.27,35.9,3.18,20.0
visibility,event,50.0,100.0,181,86.7,81.0,90.9,47.0,37.6,74.6,100.0,108.0,31.26,15.79,28.2,3.2,8.0
visibility,event,150.0,20.0,181,88.4,82.9,92.3,45.3,36.5,77.3,80.7,191.5,50.42,14.86,12.7,3.74,16.0
visibility,event,150.0,100.0,181,80.7,74.3,85.8,44.2,34.3,73.5,80.7,103.1,28.04,14.35,14.9,3.7,8.0
visibility,once,0.0,20.0,181,45.3,38.2,52.6,28.2,13.8,44.2,100.0,18.1,4.87,10.86,7.7,3.46,0.0
voronoi,cycle,0.0,20.0,181,94.5,90.1,97.0,59.7,51.9,84.0,100.0,325.4,110.15,7.27,0.0,3.0,68.0
voronoi,cycle,0.0,100.0,181,87.8,82.3,91.8,59.1,43.1,70.2,100.0,73.2,23.96,6.88,0.0,3.06,15.0
voronoi,cycle,50.0,20.0,181,100.0,97.9,100.0,77.3,76.2,98.9,100.0,537.6,161.22,7.32,0.0,3.26,111.0
voronoi,cycle,50.0,100.0,181,99.4,96.9,99.9,69.6,63.5,91.2,100.0,113.4,34.09,7.01,0.0,3.28,22.0
voronoi,cycle,150.0,20.0,181,100.0,97.9,100.0,84.5,84.5,100.0,97.2,815.1,200.97,7.51,0.0,3.78,200.0
voronoi,cycle,150.0,100.0,181,98.3,95.2,99.4,77.3,67.4,87.3,97.2,166.5,41.39,7.26,0.6,3.92,42.0
voronoi,event,0.0,20.0,181,95.0,90.8,97.4,58.0,48.6,85.1,100.0,68.3,20.22,6.8,0.0,3.26,8.0
voronoi,event,0.0,100.0,181,84.5,78.6,89.1,50.3,36.5,66.3,100.0,31.1,9.27,5.84,0.0,3.28,6.0
voronoi,event,50.0,20.0,181,100.0,97.9,100.0,70.2,69.1,98.9,100.0,82.6,21.49,6.89,0.0,3.58,15.0
voronoi,event,50.0,100.0,181,95.0,90.8,97.4,62.4,58.0,94.5,100.0,38.5,9.69,6.45,0.0,3.52,7.0
voronoi,event,150.0,20.0,181,98.9,96.1,99.7,74.0,74.0,100.0,97.2,127.8,27.83,7.13,0.0,4.58,59.0
voronoi,event,150.0,100.0,181,98.3,95.2,99.4,76.2,67.4,89.5,97.2,57.5,12.31,6.88,0.0,4.41,18.0
voronoi,once,0.0,20.0,181,47.0,39.8,54.2,21.5,7.7,37.6,100.0,7.2,1.17,4.07,0.0,6.5,0.0
