scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,611,0.075,6.0,0.0,0,7.2222000162582844,17.57789996918291,7.9648159991484135,1.203700002709714,7.748300005914643,6195.5102040815855,6168.999999999953,52.60212550012511,123.26421792667972,26721.31314210343,26060.723433006784,74.50725129373537,-178.45904096242788,0.055,4.061250001541339,1.2551462049187208,0.925,0.880-0.954,699.1000000000003,0.988376442084649,4.6289750025607646,1.316427508210234,0.0,0.0,0.0,0.0,0.0,0.19183131231757894,0.49,0.934384994727605
random,voronoi,cycle,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,228,0.525,708.695,86.39,495,330.3498000605032,1126.7700996249914,403.62893299839925,0.4829794892644824,8.932800003094599,3143.6734693877556,3144.7000000000007,484.951694500196,8.58962642261175,26721.31314210343,25326.13314248334,74.52700492430624,-173.9139809911082,0.17,3.8866499962750822,120.50384225689653,0.475,0.407-0.544,175.99999999999991,0.9238957047056815,0.0498404178091768,4.037144500294017,0.0,0.0,0.0,8.795,101.48267833483897,1.2038464181705273,6.855,0.959080381042047
random,voronoi,cycle,0.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,209,0.43,145.335,16.865,105,72.3223999957554,177.8605000290554,83.60479799375753,0.5060636352345265,10.356999991927296,3150.30612244898,3150.2000000000007,118.28923750043032,32.416746830056134,26721.31314210343,25443.943747623205,74.54308181348333,-172.85732940191187,0.22,3.917349997209385,25.119796988369007,0.5700000000000001,0.501-0.637,169.5,0.9247088367956665,0.051389521515334546,3.3841144890936397,0.0,0.0,0.0,5.9,251.66944583236932,0.7044850381102747,4.12,0.9549210914473444
random,voronoi,cycle+pred50,50.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,58,0.765,743.045,126.93,797,532.0548003946897,1300.199699937366,578.9495154980978,0.7211381733303897,11.16550000733696,3454.591836734693,3448.6999999999994,668.9895765000256,6.509787167260282,26993.850779997894,25965.097429250673,74.52046291437006,-173.55131655967963,0.405,4.44999999308493,159.31193411581773,0.235,0.182-0.298,97.0999999999997,0.9354267539702316,0.061272750298005996,4.074673583590579,0.0,0.0,0.0,10.245,83.98289424819158,1.5749754784908032,9.415,0.9369784146481109
random,voronoi,cycle+pred50,50.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,92,0.64,152.285,25.16,163,112.7700998185901,257.1335000102408,119.32763501521549,0.7396952419319598,8.89110000571236,3477.4489795918357,3473.099999999999,157.32008050050354,26.294948116534506,26993.850779997894,26084.86395633715,74.50354529721395,-172.85732940191187,0.42,4.40919998800382,32.78847852135288,0.36,0.297-0.429,135.60000000000002,0.9360710784730764,0.06296988744794339,3.5869989723935256,0.0,0.0,0.0,6.785,232.01252866967405,0.9240124572926922,5.88,0.9328328340896515
random,voronoi,cycle+pred150,150.0,20.0,0.0,kinematic,0,200,200,191,0.955,9,39,0.84,819.3,208.635,1763,794.431149988668,1601.15800058702,816.127024046873,0.9752143705987708,15.726099984021857,3941.047120418844,3924.999999999996,921.2375974997121,5.303330123969181,27344.811413851337,27577.32699262886,88.08370660711384,-172.84734873838002,0.67,5.434099992271513,199.93465550774067,0.16000000000000003,0.116-0.217,67.59999999999943,0.9263294202101473,0.09942708247540176,3.523008868088787,0.0,0.0,0.0,17.94,100.47969312647145,3.379179492790361,24.545,0.8872143932875697
random,voronoi,cycle+pred150,150.0,100.0,0.0,kinematic,0,200,200,191,0.955,9,84,0.69,169.435,42.69,350,164.5944501942722,304.5427000615746,172.0318610018876,0.9673312700687247,17.266999988351017,4036.963350785334,4019.9999999999936,216.7362895005499,21.869875939569003,27344.811413851337,27854.801369019515,88.03966534931082,-174.8531933890576,0.545,5.494600016390905,41.28212178795876,0.31000000000000005,0.250-0.377,108.1,0.9294250528316977,0.10051444243292437,3.2868891253040324,0.0,0.0,0.0,10.245,239.0736669792247,1.76060004153274,13.625,0.8769995209254899
random,voronoi,event,0.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,160,0.495,737.92,10.825,294,68.23159998748451,124.11160010378808,70.75905750054517,0.09085339717701825,8.199800009606406,3431.326530612244,3430.799999999999,159.2429205001099,22.338151077485758,26721.31314210343,25401.027628141655,74.50795075164295,-172.85732940191176,0.175,0.05669999518431723,20.748862611293863,0.505,0.436-0.574,156.9999999999998,0.563059188528074,0.042874603916541576,2.3708144895726444,10.59,0.0,0.225,7.54,363.68529495363697,0.6955433090377393,3.89,0.9566216222296863
random,voronoi,event,0.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,239,0.37,151.11,6.085,77,31.040850022691302,59.71009985660203,32.86683050871943,0.20320066223121003,8.320099994307384,3526.122448979589,3524.399999999997,70.75044799945317,53.040742280012374,26721.31314210343,25398.279376487935,74.50282264864207,-172.85732940191187,0.175,0.07449999975506216,9.404211349621669,0.63,0.561-0.694,228.2,0.7998726861420369,0.04730519259761209,2.1789705763766647,6.025,0.0,0.055,5.665,350.4098786845389,0.5713691191862789,3.595,0.956660380004474
random,voronoi,event+pred50,50.0,20.0,0.0,kinematic,0,200,200,196,0.98,4,76,0.69,782.94,21.195,440,82.61650023632683,158.44310028478503,87.80768100856221,0.1016394028748292,10.00670000212267,3851.3265306122394,3840.3999999999946,183.0408525004168,21.97575512151642,26993.850779997894,26029.442422448246,74.52819422829093,-175.4103057635415,0.325,0.0586500100325793,23.344735068853687,0.31000000000000005,0.250-0.377,122.89999999999965,0.5989555855890187,0.0465948806981867,1.9353413430615325,19.435,0.0,1.565,9.2,270.4196988844171,0.9536592482349956,5.59,0.9345207765223289
