planner,prediction_horizon_ms,replan_period_ms,scenarios,cycle_over_event_planning_time_median,collision_free_event_%,collision_free_cycle_%,only_event_safe,only_cycle_safe,mcnemar_exact_p,planning_time_wilcoxon_p
prm,0.0,20.0,146,6.869852861920895,54.109589041095894,53.42465753424658,13,12,1.0,1.0443629063707008e-25
prm,0.0,100.0,146,2.35863991005359,36.986301369863014,37.67123287671233,8,9,1.0,1.0443629063707008e-25
prm,50.0,20.0,146,7.7770889284991025,63.013698630136986,65.75342465753424,10,14,0.5412561893463135,1.0443629063707008e-25
prm,50.0,100.0,146,2.662400244024603,54.794520547945204,54.109589041095894,11,10,1.0,1.0661628619102965e-25
prm,150.0,20.0,146,8.326467577621484,60.273972602739725,63.6986301369863,10,15,0.42435622215270996,1.0443629063707008e-25
prm,150.0,100.0,146,3.0948675727065504,50.68493150684932,54.794520547945204,8,14,0.28627872467041016,1.0443629063707008e-25
visibility,0.0,20.0,146,3.3136340042161008,41.0958904109589,38.35616438356164,7,3,0.34375,1.0443629063707008e-25
visibility,0.0,100.0,146,1.684497815171763,35.61643835616438,34.93150684931507,4,3,1.0,1.678009066136938e-25
visibility,50.0,20.0,146,4.328284080755315,41.78082191780822,43.83561643835616,6,9,0.6072387695312499,1.0443629063707008e-25
visibility,50.0,100.0,146,1.9226977709814839,40.41095890410959,39.04109589041096,13,11,0.8388197422027588,1.2319194941287754e-25
visibility,150.0,20.0,146,5.60906298797758,40.41095890410959,40.41095890410959,17,17,1.0,1.0443629063707008e-25
visibility,150.0,100.0,146,2.4363808082451572,36.3013698630137,38.35616438356164,14,17,0.720100131817162,1.9377602370606945e-25
voronoi,0.0,20.0,191,4.7310984912416085,49.73821989528796,53.403141361256544,18,25,0.3603776529357674,4.361578227817199e-33
voronoi,0.0,100.0,191,2.108428764701579,37.696335078534034,43.97905759162304,7,19,0.028959274291992188,1.2305790089616807e-32
voronoi,50.0,20.0,191,5.769619065548921,69.10994764397905,75.91623036649214,9,22,0.029449373483657837,4.2933246803821906e-33
voronoi,50.0,100.0,191,2.6362212103975637,57.59162303664922,63.87434554973822,8,20,0.03569813817739487,5.026432958078234e-33
voronoi,150.0,20.0,191,5.51453255303687,73.29842931937172,83.7696335078534,7,27,0.0008213953115046024,4.2933246803821906e-33
voronoi,150.0,100.0,191,2.587974716027929,67.5392670157068,68.58638743455498,14,16,0.8555355519056321,4.361578227817199e-33
