planner,prediction_horizon_ms,replan_period_ms,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median
prm,0.0,20.0,146,53.42465753424658,100.0,14.383561643835616,63.43835616438356,474.2270044994257,166.66865193781703,6.54564099977506,2.054794520547945,2.820000000000002
prm,0.0,100.0,146,37.67123287671233,100.0,20.54794520547945,10.897260273972602,89.1346199985037,31.86395425046853,6.624926500080619,1.36986301369863,2.820000000000001
prm,50.0,20.0,146,65.75342465753424,100.0,35.61643835616438,90.28082191780823,670.0956094987305,225.62437262734102,6.572065999989718,6.8493150684931505,3.0400000000000023
prm,50.0,100.0,146,54.109589041095894,100.0,36.986301369863014,16.643835616438356,135.18676050125578,43.312190756413294,6.596159999844531,3.4246575342465753,3.090000000000001
prm,150.0,20.0,146,63.6986301369863,100.0,46.57534246575342,115.93150684931507,785.6387795027331,224.51628554302903,6.162374000041382,41.78082191780822,3.320000000000003
prm,150.0,100.0,146,54.794520547945204,100.0,41.0958904109589,22.315068493150687,161.1166069983483,48.41486506360552,6.330280999918614,17.123287671232877,3.370000000000002
visibility,0.0,20.0,146,38.35616438356164,100.0,15.753424657534246,92.5,850.2853309914826,291.1299426307624,11.577655500332185,39.726027397260275,2.920000000000002
visibility,0.0,100.0,146,34.93150684931507,100.0,17.80821917808219,16.71232876712329,175.02758449950306,60.22118653746975,11.601434500107644,6.164383561643835,2.9200000000000013
visibility,50.0,20.0,146,43.83561643835616,100.0,26.027397260273972,114.73972602739725,1141.4203034989896,354.8888252049056,11.138163499936127,32.19178082191781,3.0600000000000023
visibility,50.0,100.0,146,39.04109589041096,100.0,21.232876712328768,20.910958904109588,241.04102500200497,71.58545261754719,11.189417000196045,8.904109589041095,3.090000000000001
visibility,150.0,20.0,146,40.41095890410959,100.0,19.17808219178082,133.71917808219177,1263.7505940037954,357.55022111347375,10.174485499874208,21.232876712328768,3.4800000000000026
visibility,150.0,100.0,146,38.35616438356164,100.0,21.91780821917808,26.356164383561644,262.915552999857,74.71114909238783,10.28972849985621,6.8493150684931505,3.540000000000002
voronoi,0.0,20.0,191,53.403141361256544,100.0,17.801047120418847,86.4869109947644,312.350942003377,108.90553777070949,4.29984600032185,0.5235602094240838,3.000000000000002
voronoi,0.0,100.0,191,43.97905759162304,100.0,23.036649214659686,16.837696335078533,73.07122499514662,23.825531879321474,4.315428000154498,0.0,3.0600000000000014
voronoi,50.0,20.0,191,75.91623036649214,100.0,40.31413612565445,127.51832460732984,515.0869390040498,152.62984852985446,4.363827999895875,1.0471204188481675,3.2800000000000025
voronoi,50.0,100.0,191,63.87434554973822,100.0,41.361256544502616,25.387434554973822,107.82926799947744,31.00191994043315,4.363396999906399,0.0,3.2800000000000016
voronoi,150.0,20.0,191,83.7696335078534,100.0,67.01570680628272,211.3193717277487,779.6877849900739,198.08303786138455,4.470035999929678,1.5706806282722512,3.820000000000002
voronoi,150.0,100.0,191,68.58638743455498,100.0,53.92670157068062,43.230366492146594,165.24601100309155,40.18558912951034,4.473590000088734,1.5706806282722512,3.9400000000000017
