planner,replan_policy,replan_period_ms,n,failures_median,blocked_ms_median,blocked_pct_median,blocked_pct_mean
prm,cycle,20.0,438,32.5,650.0,20.378845664886846,29.863389956092714
prm,cycle,100.0,438,7.0,700.0,23.068995810244616,30.261089742685805
prm,event,20.0,438,22.0,440.0,12.651654010648503,19.29350849558267
prm,event,100.0,438,5.5,550.0,14.973416180898102,23.30906646143789
visibility,cycle,20.0,438,39.5,790.0,25.19704586358839,33.022344471333575
visibility,cycle,100.0,438,8.0,800.0,24.399924399924387,32.36022835823965
visibility,event,20.0,438,36.0,720.0,20.703627599715844,26.758747606933813
visibility,event,100.0,438,8.0,800.0,23.622047244094478,28.252369968073552
voronoi,cycle,20.0,438,3.0,60.0,1.4510808534531159,2.5877861349105444
voronoi,cycle,100.0,438,0.0,0.0,0.0,2.5677456150435183
voronoi,event,20.0,438,1.0,20.0,0.5814739688979036,1.3049559115339036
voronoi,event,100.0,438,0.0,0.0,0.0,1.671000483359053
