scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,1,1,0,-40.19323126347044,680.7020006761659,-40.19323126347044,259.99999999999994
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,156.87319637073887,492.0387621552528,156.87319637073887,0.0
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,137.77480367313092,586.7061780294972,137.77480367313092,0.0
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,200.9251094074537,437.2367578307334,200.9251094074537,0.0
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,0,0,0,183.4657693350069,219.6135418144444,183.4657693350069,0.0
random-s0-0000,voronoi,cycle,150.0,20.0,0.0,1,0,0,0,0,133.36988999581274,267.4545687170624,133.36988999581274,0.0
random-s0-0000,voronoi,cycle,150.0,100.0,0.0,1,0,0,0,0,82.99998032669976,107.45241397944562,82.99998032669976,0.0
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,125.26476522160992,416.6284122470538,125.26476522160992,0.0
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,0,0,0,137.77480367313092,301.13900086711726,137.77480367313092,0.0
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,157.22860151735256,310.3094239678043,157.22860151735256,0.0
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,1,1,0,-40.98034253700661,804.5875755797097,-40.98034253700661,340.0
random-s0-0000,voronoi,event,150.0,20.0,0.0,1,0,0,0,0,134.32857611316592,267.4545687170624,134.32857611316592,0.0
random-s0-0000,voronoi,event,150.0,100.0,0.0,1,0,0,0,0,83.07518100611128,116.0088676819077,83.07518100611128,0.0
random-s0-0000,prm,once,0.0,20.0,0.0,1,0,0,0,0,137.77480367313098,680.7020006761659,137.77480367313098,0.0
random-s0-0000,prm,cycle,0.0,20.0,0.0,1,0,0,0,0,110.77916443909396,492.75557706620566,110.77916443909396,0.0
random-s0-0000,prm,cycle,0.0,100.0,0.0,1,0,0,0,0,137.77480367313092,584.191881404422,137.77480367313092,0.0
random-s0-0000,prm,cycle,50.0,20.0,0.0,1,0,0,0,0,59.269366660572274,372.5328672902472,59.269366660572274,0.0
random-s0-0000,prm,cycle,50.0,100.0,0.0,1,0,0,0,0,176.58311079507132,380.2802820973424,176.58311079507132,0.0
random-s0-0000,prm,cycle,150.0,20.0,0.0,1,0,0,0,0,155.11236734956083,540.1227402250136,155.11236734956083,0.0
random-s0-0000,prm,cycle,150.0,100.0,0.0,1,0,0,0,0,190.60890064701303,658.0934532424193,190.60890064701303,0.0
random-s0-0000,prm,event,0.0,20.0,0.0,1,0,0,0,0,110.77916443909396,547.7889403458196,110.77916443909396,0.0
random-s0-0000,prm,event,0.0,100.0,0.0,1,0,0,0,0,137.77480367313092,549.9300832801114,137.77480367313092,0.0
random-s0-0000,prm,event,50.0,20.0,0.0,1,0,0,0,0,49.94840659903517,291.133610879386,49.94840659903517,0.0
random-s0-0000,prm,event,50.0,100.0,0.0,1,0,0,0,0,176.58311079507132,380.2802820973424,176.58311079507132,0.0
random-s0-0000,prm,event,150.0,20.0,0.0,1,0,0,0,0,120.35664659555516,622.5821441194147,120.35664659555516,0.0
random-s0-0000,prm,event,150.0,100.0,0.0,1,0,0,0,0,109.6219851885682,658.0934532424193,109.6219851885682,0.0
random-s0-0000,visibility,once,0.0,20.0,0.0,1,0,0,0,0,82.76418901321057,680.7020006761659,82.76418901321057,0.0
random-s0-0000,visibility,cycle,0.0,20.0,0.0,1,0,0,0,0,145.40148061158112,710.5196920695024,145.40148061158112,0.0
random-s0-0000,visibility,cycle,0.0,100.0,0.0,1,0,0,0,0,122.89787332554096,713.3712403759331,122.89787332554096,0.0
