scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,completed,True,0,3560.0000000000027,3560.0000000000027,28.37203099988983,125.47568413462632,25121.943430832205,24699.52894534852,24532.51069962512,58.704761342755226,59.27079673745914,
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,completed,True,0,2720.000000000002,2720.000000000002,288.9033419996849,9.41491358726812,25121.943430832205,24648.829437213004,24532.51069962512,58.5752742151584,59.85959166527332,
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,completed,True,0,2840.0000000000014,2840.0000000000014,80.11013499981345,35.45119478336436,25121.943430832205,24983.6644886539,24532.51069962512,58.53192096494275,59.36336700821727,
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,completed,True,0,2900.0000000000023,2900.0000000000023,441.4029740000842,6.569960264924379,25098.644610592088,24839.366258091995,24532.51069962512,58.6524753557701,59.82407553251406,
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,completed,True,0,2940.0000000000014,2940.0000000000014,103.85111900041012,28.30975754809528,25098.644610592088,25091.88601476252,24532.51069962512,59.106722216052674,59.87736808755944,
random-s0-0000,voronoi,cycle,150.0,20.0,0.0,1,0,completed,True,0,4419.999999999994,4419.999999999994,609.12677000033,7.256289195757394,25075.413153749298,27415.88226182601,24532.51069962512,58.523963415207454,59.92726367267007,
random-s0-0000,voronoi,cycle,150.0,100.0,0.0,1,0,completed,True,0,4379.999999999994,4379.999999999994,317.3432319999847,13.80209047596832,25075.413153749298,32221.9914465975,24532.51069962512,58.47673313933481,59.6495952913906,
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,133.42940899974565,20.535203000151377,25121.943430832205,24876.61559965925,24532.51069962512,58.86721207816255,59.75034314501956,
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,completed,True,0,2860.0000000000014,2860.0000000000014,60.33000500019625,47.4059301004649,25121.943430832205,25100.83399825029,24532.51069962512,58.31551359293902,58.935152752896094,
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,completed,True,0,3000.0000000000023,3000.0000000000023,146.3220780001393,20.50271593325203,25098.644610592088,25265.750855015605,24532.51069962512,58.815694439611775,59.68745744374634,
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,completed,True,0,3680.000000000002,3680.000000000002,72.87365000001955,50.49836257685754,25098.644610592088,27154.125123326987,24532.51069962512,58.18922945100193,58.94640416810556,
random-s0-0000,voronoi,event,150.0,20.0,0.0,1,0,completed,True,0,4399.9999999999945,4399.9999999999945,280.126866000046,15.707168908244851,25075.413153749298,28827.476624225696,24532.51069962512,58.48070399829592,59.10379749355029,
random-s0-0000,voronoi,event,150.0,100.0,0.0,1,0,completed,True,0,4319.9999999999945,4319.9999999999945,138.46856700001808,31.198416316386307,25075.413153749298,31582.57133377343,24532.51069962512,58.50438419425751,59.7238528775401,
random-s0-0000,prm,once,0.0,20.0,0.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,32.466241999827616,85.62740338148045,24813.34037345258,24415.98768194052,24532.51069962512,58.598671525453454,58.89973837184751,
random-s0-0000,prm,cycle,0.0,20.0,0.0,1,0,completed,True,0,2700.000000000002,2700.000000000002,389.2200180002874,6.936950503912695,24813.34037345258,24382.28549683433,24532.51069962512,58.71506817991297,59.80076570516383,
random-s0-0000,prm,cycle,0.0,100.0,0.0,1,0,completed,True,0,2660.000000000001,2660.000000000001,97.40052899996954,27.309913275736243,24813.34037345258,24356.805641985015,24532.51069962512,58.54193796567879,59.0073030172619,
random-s0-0000,prm,cycle,50.0,20.0,0.0,1,0,completed,True,0,2880.0000000000023,2880.0000000000023,577.2310900001685,4.989336246596076,24813.34037345258,24574.13270647637,24532.51069962512,58.50953259801158,59.092410330421,
random-s0-0000,prm,cycle,50.0,100.0,0.0,1,0,completed,True,0,2860.0000000000014,2860.0000000000014,162.97719500016683,17.548467440472724,24813.34037345258,24868.330760135075,24532.51069962512,58.87206664326933,59.77009289037799,
random-s0-0000,prm,cycle,150.0,20.0,0.0,1,0,completed,True,0,2880.0000000000023,2880.0000000000023,403.378617999806,7.139694251224261,24813.34037345258,25646.574926809604,24532.51069962512,58.66444807052944,59.48939366067461,
random-s0-0000,prm,cycle,150.0,100.0,0.0,1,0,completed,True,0,2900.0000000000014,2900.0000000000014,109.91999100042447,26.38282603197085,24813.34037345258,25859.320763172454,24532.51069962512,58.72954305012777,59.87367720802764,
random-s0-0000,prm,event,0.0,20.0,0.0,1,0,completed,True,0,2740.000000000002,2740.000000000002,105.09057500030394,26.072747246763825,24813.34037345258,24367.61720482149,24532.51069962512,58.63728125201644,59.334044137784645,
random-s0-0000,prm,event,0.0,100.0,0.0,1,0,completed,True,0,2740.000000000001,2740.000000000001,48.3442719996674,56.676828229388825,24813.34037345258,24309.012501835947,24532.51069962512,58.67387123983208,59.43759059421139,
random-s0-0000,prm,event,50.0,20.0,0.0,1,0,completed,True,0,2880.0000000000023,2880.0000000000023,133.24786799967114,21.613854264498325,24813.34037345258,24850.8147240496,24532.51069962512,58.1967076943192,59.15684745956676,
random-s0-0000,prm,event,50.0,100.0,0.0,1,0,completed,True,0,2860.0000000000014,2860.0000000000014,62.013447000026645,46.11902963560101,24813.34037345258,24657.56291367153,24532.51069962512,58.901926413576895,59.949251512223455,
random-s0-0000,prm,event,150.0,20.0,0.0,1,0,completed,True,0,3020.0000000000023,3020.0000000000023,196.22808500025712,15.390253642826128,24813.34037345258,28569.321439141797,24532.51069962512,58.97426351343929,59.947041710862976,
