scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,6.570341000497137,6.570341000497137,6.146450999949593,6.146450999949593,6.570341000497137,0.0,0,0,0,0,0,0,0.0,0.0,0.0589823947024712,0
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,45,4,49,80.0,2.9411764705882333,True,51,621,672,228.9901199974338,4.463112999928853,4.335278000326071,4.196073999992223,194.27013799986528,34.71998199756854,0,0,0,45,0,6,97.14481791384593,750.0,0.5184285029301068,1
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,10,1,11,100.0,3.5211267605633787,True,16,124,140,54.15585599666883,4.392103000100178,4.278049999811628,4.201854999791976,46.39685499932966,7.759000997339172,0,0,0,10,0,5,218.59712843769853,745.5255646516817,0.3510983422767917,2
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,81,3,84,60.0,2.0689655172413777,True,87,608,695,377.3172269943643,4.338090999681299,5.676715999925364,4.218846999719972,346.8738570018104,30.44336999255393,0,0,0,81,0,7,66.57526607260594,750.0,0.761970659351064,3
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,15,1,16,100.0,3.4013605442176855,True,21,120,141,76.90391700225518,4.311596000661666,5.225028000040766,4.236860000219167,68.92329800166408,7.980619000591105,0,0,0,15,0,6,230.9382108084311,644.3877839637541,0.427095730349277,0
random-s0-0000,voronoi,cycle,150.0,20.0,0.0,1,0,170,9,179,180.0,4.072398190045255,True,176,656,832,523.1231500001741,4.235351999795967,4.726431000108278,4.371501000150602,464.59023599891225,58.532914001261815,0,0,0,170,0,16,89.0305405002285,750.0,2.54941418979092,15
random-s0-0000,voronoi,cycle,150.0,100.0,0.0,1,0,52,2,54,200.0,4.566210045662107,True,58,133,191,263.8618039991343,4.727645000457414,24.662093999722856,8.407458999954542,242.35586599797895,21.5059380011553,0,0,0,52,0,20,354.5554573935654,750.0,3.2513058539856483,33
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,5,5,10,100.0,3.649635036496348,True,11,662,673,68.09381599578046,4.360454000561731,4.842519000249013,0.0524470001437293,25.903816001118685,42.189999994661775,5,0,0,0,0,6,426.5162618238677,597.6688902126402,0.3069151265585059,0
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,4,1,5,100.0,3.496503496503495,True,10,130,140,29.800062999129292,4.318258000239439,4.5359040000221285,0.0676099998599966,21.478416000718425,8.32164699841087,4,0,0,0,0,5,381.4355308162459,467.0198383333749,0.2504784386093581,0
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,11,1,12,20.0,0.6666666666666662,True,17,687,704,77.17100300396851,4.30287699919063,4.349895999894216,0.0543730002391384,51.09011899867255,26.08088400529596,6,5,0,0,0,7,267.603897247703,510.44131150300376,0.5719359121909934,2
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,7,0,7,0.0,0.0,False,13,143,156,38.7666249994254,4.372905999844079,4.352145999746426,4.201706000003469,34.16720099949089,4.599423999934516,6,1,0,0,0,6,367.32925749583046,748.5532048401783,0.4128791554095501,0
random-s0-0000,voronoi,event,150.0,20.0,0.0,1,0,95,6,101,120.0,2.7272727272727306,True,101,773,874,177.1062379916657,4.277717000150005,4.553560000204016,0.0714930001777247,126.29088999847228,50.81534799319343,75,17,0,0,3,13,112.44969219263042,750.0,2.1850595539207123,16
