planner,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,scenarios,cycle_over_event_planning_time_median,collision_free_event_%,collision_free_cycle_%,only_event_safe,only_cycle_safe,mcnemar_exact_p,planning_time_wilcoxon_p
prm,0.0,20.0,0.0,157,7.271775181943958,70.70063694267516,69.42675159235668,9,7,0.803619384765625,1.628958993624077e-27
prm,0.0,20.0,20.0,157,7.682748680936548,78.98089171974523,78.343949044586,7,6,1.0,1.628958993624077e-27
prm,0.0,20.0,40.0,157,7.657027521071792,82.16560509554141,81.52866242038218,6,5,1.0,1.628958993624077e-27
prm,0.0,20.0,60.0,157,7.642655353561581,81.52866242038218,81.52866242038218,7,7,1.0,1.628958993624077e-27
prm,0.0,20.0,90.0,157,8.097120832007768,84.71337579617835,82.16560509554141,8,4,0.3876953125,1.628958993624077e-27
prm,100.0,20.0,0.0,157,7.820563630735341,75.79617834394905,80.2547770700637,2,9,0.0654296875,1.628958993624077e-27
prm,100.0,20.0,20.0,157,8.43978654120799,75.79617834394905,80.89171974522293,3,11,0.057373046875,1.628958993624077e-27
prm,100.0,20.0,40.0,157,8.053661767183495,75.15923566878982,78.343949044586,5,10,0.30175781249999994,1.628958993624077e-27
prm,100.0,20.0,60.0,157,8.777465315382601,77.07006369426752,77.70700636942675,6,7,1.0,1.628958993624077e-27
prm,100.0,20.0,90.0,157,8.729607904277158,74.52229299363057,78.343949044586,6,12,0.237884521484375,1.628958993624077e-27
visibility,0.0,20.0,0.0,157,3.499652202279056,64.96815286624204,61.146496815286625,10,4,0.1795654296875,1.628958993624077e-27
visibility,0.0,20.0,20.0,157,4.327259924617447,66.87898089171973,64.96815286624204,9,6,0.6072387695312499,1.628958993624077e-27
visibility,0.0,20.0,40.0,157,4.232470031759642,64.96815286624204,63.05732484076433,10,7,0.629058837890625,1.628958993624077e-27
visibility,0.0,20.0,60.0,157,4.508864828352542,64.3312101910828,64.96815286624204,7,8,1.0,1.628958993624077e-27
visibility,0.0,20.0,90.0,157,4.549963695765583,63.05732484076433,68.15286624203821,4,12,0.076812744140625,1.628958993624077e-27
visibility,100.0,20.0,0.0,157,5.057396566307377,70.06369426751591,69.42675159235668,10,9,1.0,1.628958993624077e-27
visibility,100.0,20.0,20.0,157,5.428399978528672,69.42675159235668,67.51592356687898,10,7,0.629058837890625,1.628958993624077e-27
visibility,100.0,20.0,40.0,157,5.485725472998186,68.78980891719745,67.51592356687898,7,5,0.7744140625,1.628958993624077e-27
visibility,100.0,20.0,60.0,157,5.538474110029798,70.06369426751591,65.60509554140127,17,10,0.24778856337070465,1.628958993624077e-27
visibility,100.0,20.0,90.0,157,5.371306061916643,65.60509554140127,66.87898089171973,15,17,0.860050065908581,1.628958993624077e-27
voronoi,0.0,20.0,0.0,107,4.462777337489801,85.04672897196261,80.37383177570094,10,5,0.30175781249999994,2.832279654071229e-18
voronoi,0.0,20.0,20.0,107,4.6608450738792495,83.17757009345794,82.2429906542056,9,8,1.0,2.336713396120079e-18
voronoi,0.0,20.0,40.0,107,4.3630215794553,83.17757009345794,85.04672897196261,6,8,0.79052734375,1.5028499758580225e-18
voronoi,0.0,20.0,60.0,107,4.492745306497115,82.2429906542056,83.17757009345794,7,8,1.0,1.2041285063805206e-18
voronoi,0.0,20.0,90.0,107,4.514000786673263,81.30841121495327,85.98130841121495,5,10,0.30175781249999994,2.608327570832747e-18
voronoi,100.0,20.0,0.0,107,4.61200470812816,90.65420560747664,93.45794392523365,1,4,0.375,1.6328199087917263e-18
voronoi,100.0,20.0,20.0,107,4.988483495939291,91.58878504672897,94.39252336448598,1,4,0.375,1.6785626318448768e-18
voronoi,100.0,20.0,40.0,107,5.662572434127788,92.5233644859813,95.32710280373831,2,5,0.453125,1.7255703494258535e-18
voronoi,100.0,20.0,60.0,107,5.263521912520356,93.45794392523365,96.26168224299066,1,4,0.375,2.5376351260542986e-18
voronoi,100.0,20.0,90.0,107,5.318951203040066,92.5233644859813,95.32710280373831,2,5,0.453125,3.624385354498101e-18
