planner,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median
prm,0.0,20.0,0.0,157,69.42675159235668,100.0,39.490445859872615,30.579617834394906,149.92669199887132,56.27331166550671,4.548615999965477,1.2738853503184715,2.620000000000002
prm,0.0,20.0,20.0,157,78.343949044586,100.0,45.22292993630573,35.59235668789809,153.7938189999295,61.025833801769366,4.482368000026327,0.6369426751592357,2.640000000000002
prm,0.0,20.0,40.0,157,81.52866242038218,100.0,52.86624203821656,39.50955414012739,167.87400700104627,69.29657819527111,4.54502700000603,1.910828025477707,2.640000000000002
prm,0.0,20.0,60.0,157,81.52866242038218,100.0,71.3375796178344,41.63057324840764,179.0641099996435,67.17846260484453,4.59192300002087,0.6369426751592357,2.660000000000002
prm,0.0,20.0,90.0,157,82.16560509554141,100.0,76.43312101910828,48.47133757961783,207.07027599996763,76.04837192332066,4.47836399996504,1.2738853503184715,2.680000000000002
prm,100.0,20.0,0.0,157,80.2547770700637,100.0,70.70063694267516,47.0,214.4742199997154,77.14020187952542,4.50894399997992,1.910828025477707,2.720000000000002
prm,100.0,20.0,20.0,157,80.89171974522293,100.0,74.52229299363057,49.29936305732484,210.50987100056773,76.70598956837652,4.528085999936593,1.2738853503184715,2.720000000000002
prm,100.0,20.0,40.0,157,78.343949044586,100.0,72.61146496815286,51.4140127388535,228.2765429997653,82.83703140654514,4.454865000013797,1.2738853503184715,2.760000000000002
prm,100.0,20.0,60.0,157,77.70700636942675,100.0,72.61146496815286,58.29936305732484,247.04993300065323,84.60614143857981,4.462844000045152,1.910828025477707,2.880000000000002
prm,100.0,20.0,90.0,157,78.343949044586,100.0,73.24840764331209,62.05732484076433,268.89717900024834,85.07085000103494,4.42512299991904,1.910828025477707,2.980000000000002
visibility,0.0,20.0,0.0,157,61.146496815286625,100.0,40.12738853503185,48.29936305732484,250.03895199972703,97.30995359859655,7.28200100002141,2.547770700636943,2.680000000000002
visibility,0.0,20.0,20.0,157,64.96815286624204,100.0,43.31210191082803,51.98089171974522,260.80094500014184,99.42214800030335,7.207309000023088,6.369426751592357,2.740000000000002
visibility,0.0,20.0,40.0,157,63.05732484076433,100.0,49.681528662420384,57.93630573248408,296.6708110006948,106.09356653818527,7.060223000053156,1.2738853503184715,2.760000000000002
visibility,0.0,20.0,60.0,157,64.96815286624204,100.0,54.77707006369427,59.15923566878981,315.2750499978083,114.24774059851453,7.026059000054374,3.821656050955414,2.780000000000002
visibility,0.0,20.0,90.0,157,68.15286624203821,100.0,57.961783439490446,64.5859872611465,359.1106250006533,126.0397669874726,6.895846000020356,3.1847133757961785,2.820000000000002
visibility,100.0,20.0,0.0,157,69.42675159235668,100.0,51.59235668789809,59.0,374.26760299973694,128.89754194618678,6.909332999839535,1.2738853503184715,2.820000000000002
visibility,100.0,20.0,20.0,157,67.51592356687898,100.0,53.503184713375795,61.48407643312102,397.3935369990613,134.84490833349548,6.804455000064991,2.547770700636943,2.840000000000002
visibility,100.0,20.0,40.0,157,67.51592356687898,100.0,56.68789808917197,67.02547770700637,403.6892980003586,135.16595531405295,6.7002229998252005,0.6369426751592357,2.920000000000002
visibility,100.0,20.0,60.0,157,65.60509554140127,100.0,59.23566878980891,67.47770700636943,397.47982100129775,131.0229030767336,6.6933060000451405,2.547770700636943,2.980000000000002
visibility,100.0,20.0,90.0,157,66.87898089171973,100.0,58.59872611464968,71.94267515923566,417.77175900034536,135.86672945175687,6.520302000012634,1.910828025477707,3.1200000000000023
voronoi,0.0,20.0,0.0,107,80.37383177570094,100.0,49.532710280373834,45.570093457943926,98.5194470002284,36.45030039726246,3.0995689999997467,0.0,2.8000000000000016
voronoi,0.0,20.0,20.0,107,82.2429906542056,100.0,51.4018691588785,44.429906542056074,90.43196499601436,33.3775743477877,3.1335740000031365,0.0,2.8000000000000016
voronoi,0.0,20.0,40.0,107,85.04672897196261,100.0,53.271028037383175,42.794392523364486,87.72555200084753,32.167303691375395,3.0843019999906574,0.0,2.820000000000002
voronoi,0.0,20.0,60.0,107,83.17757009345794,100.0,59.813084112149525,43.299065420560744,89.7475230000282,32.24681652544177,3.084090000015749,0.0,2.840000000000002
voronoi,0.0,20.0,90.0,107,85.98130841121495,100.0,60.747663551401864,43.626168224299064,91.26028499963468,32.85199125901053,3.080546999967737,0.0,2.880000000000002
voronoi,100.0,20.0,0.0,107,93.45794392523365,100.0,87.85046728971963,66.99065420560747,148.72613000079582,47.14228987336496,3.2508200000052057,0.0,3.0400000000000023
voronoi,100.0,20.0,20.0,107,94.39252336448598,100.0,89.7196261682243,62.80373831775701,141.84475199996882,45.94426808506283,3.189366999890808,0.9345794392523363,3.0600000000000023
voronoi,100.0,20.0,40.0,107,95.32710280373831,100.0,91.58878504672897,62.401869158878505,144.29177200065624,48.097257333552044,3.243366999981845,0.0,3.0800000000000023
voronoi,100.0,20.0,60.0,107,96.26168224299066,100.0,89.7196261682243,62.532710280373834,142.48822500005076,48.28964542869987,3.272887999855812,0.0,3.1000000000000023
voronoi,100.0,20.0,90.0,107,95.32710280373831,100.0,88.78504672897196,63.22429906542056,140.6687050000528,48.50645000001817,3.3358630000748235,0.0,3.1200000000000023
