planner,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median
prm,0.0,20.0,0.0,157,70.70063694267516,100.0,39.490445859872615,3.171974522292994,17.16855800123085,6.376926984601245,0.0221400000555149,0.0,2.680000000000002
prm,0.0,20.0,20.0,157,78.98089171974523,100.0,45.85987261146497,2.9936305732484074,16.561260998514626,6.284383203247752,0.0222500000006675,0.0,2.660000000000002
prm,0.0,20.0,40.0,157,82.16560509554141,100.0,54.14012738853503,3.070063694267516,18.78802100009125,6.799894240754539,0.0229639999815844,0.0,2.680000000000002
prm,0.0,20.0,60.0,157,81.52866242038218,100.0,73.88535031847134,3.0636942675159236,21.240734000002703,7.019523809548989,0.0228900000820431,0.0,2.680000000000002
prm,0.0,20.0,90.0,157,84.71337579617835,100.0,77.70700636942675,3.3312101910828025,21.94743700022173,7.06258455886487,0.0232810000397876,0.0,2.8000000000000016
prm,100.0,20.0,0.0,157,75.79617834394905,100.0,64.96815286624204,3.605095541401274,23.138197002253943,7.210045384340441,0.0275959999953556,0.6369426751592357,2.920000000000002
prm,100.0,20.0,20.0,157,75.79617834394905,100.0,67.51592356687898,3.656050955414013,24.046140001928507,7.3734244845042225,0.0270890000138024,0.6369426751592357,2.960000000000002
prm,100.0,20.0,40.0,157,75.15923566878982,100.0,68.15286624203821,3.789808917197452,24.53575200047453,7.127356122378716,0.0319419999925685,0.0,3.000000000000002
prm,100.0,20.0,60.0,157,77.07006369426752,100.0,71.3375796178344,4.210191082802548,25.973316998033624,7.531592171914656,0.0342130000490215,0.6369426751592357,3.2400000000000024
prm,100.0,20.0,90.0,157,74.52229299363057,100.0,69.42675159235668,4.019108280254777,27.69612899919593,7.565379899771599,0.043407000021034,1.2738853503184715,3.5200000000000027
visibility,0.0,20.0,0.0,157,64.96815286624204,100.0,40.76433121019109,8.73248407643312,52.97203499924308,17.465084454215674,0.0277930000720516,1.2738853503184715,2.700000000000002
visibility,0.0,20.0,20.0,157,66.87898089171973,100.0,50.955414012738856,8.464968152866241,50.57538500159353,16.53837412554884,0.026641999994581,1.910828025477707,2.740000000000002
visibility,0.0,20.0,40.0,157,64.96815286624204,100.0,55.4140127388535,9.006369426751592,54.78824400029225,18.35753735282623,0.0330910002048767,0.6369426751592357,2.780000000000002
visibility,0.0,20.0,60.0,157,64.3312101910828,100.0,58.59872611464968,9.789808917197453,54.618754999182784,17.849347647009314,0.031527999908576,1.2738853503184715,2.820000000000002
visibility,0.0,20.0,90.0,157,63.05732484076433,100.0,57.961783439490446,9.707006369426752,57.96607299947709,17.688349704290424,0.0338770000212207,0.0,2.940000000000002
visibility,100.0,20.0,0.0,157,70.06369426751591,100.0,52.86624203821656,9.121019108280255,56.79173799944692,17.1470710657838,0.0442770000290693,0.6369426751592357,2.860000000000002
visibility,100.0,20.0,20.0,157,69.42675159235668,100.0,56.68789808917197,8.86624203821656,59.69027699893559,18.75227126822494,0.0450200000159384,0.0,2.920000000000002
visibility,100.0,20.0,40.0,157,68.78980891719745,100.0,55.4140127388535,9.070063694267516,59.43704500077729,19.377501562578544,0.0447079999617017,0.6369426751592357,2.960000000000002
visibility,100.0,20.0,60.0,157,70.06369426751591,100.0,59.23566878980891,9.171974522292993,60.35661000191794,18.56237126018217,0.0471129999368713,0.0,3.0600000000000023
visibility,100.0,20.0,90.0,157,65.60509554140127,100.0,57.324840764331206,10.152866242038217,59.58561900138193,18.5614099663476,0.0482899999951769,0.0,3.2600000000000025
voronoi,0.0,20.0,0.0,107,85.04672897196261,100.0,51.4018691588785,4.177570093457944,18.53760000034299,6.097894736954927,0.0352479999037314,0.0,2.820000000000002
voronoi,0.0,20.0,20.0,107,83.17757009345794,100.0,54.20560747663551,3.635514018691589,16.937002999156903,5.637123758719682,0.0364200000149139,0.0,2.960000000000002
voronoi,0.0,20.0,40.0,107,83.17757009345794,100.0,60.747663551401864,2.953271028037383,17.061581997495523,5.54175189569932,0.0377999999727762,0.0,2.980000000000002
voronoi,0.0,20.0,60.0,107,82.2429906542056,100.0,63.55140186915887,3.1682242990654204,16.55177299994648,5.507015734352289,0.0381039999410859,0.0,2.940000000000002
voronoi,0.0,20.0,90.0,107,81.30841121495327,100.0,62.616822429906534,3.2429906542056073,17.570979000424813,5.553054545224547,0.0404979998620547,0.0,3.0600000000000023
voronoi,100.0,20.0,0.0,107,90.65420560747664,100.0,76.63551401869158,16.53271028037383,28.08899599995129,7.239431958750327,0.0411040000471985,0.0,3.2800000000000025
voronoi,100.0,20.0,20.0,107,91.58878504672897,100.0,84.11214953271028,14.121495327102803,24.03578500093317,6.403074844537769,0.0421679999931257,0.0,3.3400000000000025
voronoi,100.0,20.0,40.0,107,92.5233644859813,100.0,85.04672897196261,13.121495327102803,23.07899699906102,6.325190189809459,0.0428999999257939,0.0,3.3800000000000026
voronoi,100.0,20.0,60.0,107,93.45794392523365,100.0,86.91588785046729,12.588785046728972,24.05467399898953,6.145013355905611,0.0439599999708661,0.0,3.4200000000000026
voronoi,100.0,20.0,90.0,107,92.5233644859813,100.0,87.85046728971963,12.158878504672897,24.390752997987875,6.391217803094614,0.0454749999789783,0.0,3.6000000000000028
