scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,1,0,completed,True,False,3,422,0,,16.03750100022694,0.038003556872575686,4219.999999999998,59.88912000000823,70.46354997367499,211,0,0,0,18130.274030111064,15724.80837212799,58.751709409666,59.16635580827475,140.2894305235393,20.0,kinematic,False,0,0.0,,,,random,event,0,0,5.475771999982726,5.405081999981576,4219.999999999998,0.0,0.0,0.032580000009829746,14555.329011589882,20.0,3,419,5.475771999982726,10.561729000244213,0,0,0,0,0,1,0.0,0.0,0.08549550275982512,0,528.9010975197878,140.2894305235393,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,436,0,,14.502141999884088,0.0332617935777158,4499.999999999992,60.61999700000342,74.23293010060257,225,0,0,0,18130.274030111064,15792.030188031484,58.474737516111645,59.16635580827475,147.21924826191037,20.0,kinematic,False,0,0.0,,,,random,event,0,0,3.516950000005181,3.453100000001541,4499.999999999992,0.0,20.0,0.03189399998859699,14555.329011589882,20.0,3,433,3.516950000005181,10.985191999878907,0,0,0,0,0,1,0.0,0.0,0.08617128974692888,0,412.29567924404853,147.21924826191037,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,535,0,,24.222453999726667,0.045275614952760126,6479.99999999995,88.55015500000718,73.17886682411142,324,0,0,0,18130.274030111064,16708.441483640046,58.65467713181744,59.16635580827475,122.10279458065213,20.0,kinematic,False,0,0.0,,,,random,event,2,4,3.18452400000524,3.4511960000145336,6479.99999999995,0.0,40.0,0.04176099997721394,14555.329011589882,20.0,5,530,9.79222800003754,14.430225999689128,2,0,0,0,0,1,558.4319811731227,731.2795555996167,0.2626097170396305,1,260.2870576589044,122.10279458065213,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,538,0,,25.543996999914498,0.04747954832697862,6539.999999999948,93.01515599997856,70.311122200359,327,0,0,0,18130.274030111064,16720.729244735925,58.60418284406875,59.16635580827475,133.0052409001621,20.0,kinematic,False,0,0.0,,,,random,event,2,4,3.9629610000133653,3.892802000024176,6539.999999999948,0.0,60.0,0.03957699999546094,14555.329011589882,20.0,5,533,10.884748000023592,14.659248999890906,2,0,0,0,0,1,558.4319811731227,731.2795555996167,0.2626536762732125,1,260.2870576589044,133.0052409001621,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,542,0,,25.037790999817844,0.04619518634652739,6619.999999999947,89.93249799999603,73.61076526530198,331,0,0,0,18130.274030111064,16735.021723007372,58.54681502372184,59.16635580827475,159.17745919926375,20.0,kinematic,False,0,0.0,,,,random,event,2,4,3.6749080000220147,3.6144510000042374,6619.999999999947,0.0,90.0,0.03758200000447687,14555.329011589882,20.0,5,537,10.231579000020474,14.80621199979737,2,0,0,0,0,1,558.4319811731227,731.2795555996167,0.2627039842933013,1,260.2870576589044,159.17745919926375,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,369,0,,12.381687000157626,0.03355470731750034,3160.0000000000023,48.03496600001722,65.78541140216211,158,0,0,0,16646.374343769436,14456.078290336758,58.775089400085676,59.16635580827475,132.42190267048397,20.0,kinematic,False,0,0.0,,,,random,event,0,0,3.376212999995687,3.310844999987239,3160.0000000000023,100.0,0.0,0.03150499998127998,14555.329011589882,20.0,3,366,3.376212999995687,9.00547400016194,0,0,0,0,0,1,0.0,0.0,0.03544928263557308,0,1735.930925111596,132.42190267048397,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,371,0,,12.409774000047946,0.03344952560659824,3200.0000000000023,48.58883099998934,65.85875671717034,160,0,0,0,16646.374343769436,14459.312784469861,58.62351010855991,59.16635580827475,156.01211890580566,20.0,kinematic,False,0,0.0,,,,random,event,0,0,3.078129000016361,3.0264850000207844,3200.0000000000023,100.0,20.0,0.03443699998229022,14555.329011589882,20.0,3,368,3.078129000016361,9.331645000031585,0,0,0,0,0,1,0.0,0.0,0.035561310762475304,0,1735.930925111596,156.01211890580566,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,372,0,,13.211334000033048,0.03551433870976626,3220.0000000000023,50.11003799998548,64.25858228247473,161,0,0,0,16646.374343769436,14460.832655629805,58.5546936172056,59.16635580827475,165.07715176096076,20.0,kinematic,False,0,0.0,,,,random,event,0,0,3.448428999973885,3.392759999996997,3220.0000000000023,100.0,40.0,0.033517000019855914,14555.329011589882,20.0,3,369,3.448428999973885,9.762905000059163,0,0,0,0,0,1,0.0,0.0,0.03561422779530282,0,1735.930925111596,165.07715176096076,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,374,0,,14.575819999947726,0.03897278074852333,3260.0000000000023,56.005432000006294,58.20863947625001,163,0,0,0,16646.374343769436,14463.703309751105,58.42529522737746,59.16635580827475,174.1340883323814,20.0,kinematic,False,0,0.0,,,,random,event,0,5,3.443266999994421,3.3701209999890125,3260.0000000000023,100.0,60.0,0.047343000005639624,14555.329011589882,20.0,3,371,3.443266999994421,11.132552999953305,0,0,0,0,0,1,0.0,0.0,0.03571418589444507,0,1735.930925111596,174.1340883323814,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,420,0,,30.021434999667918,0.07147960714206647,4179.999999999999,78.5060949999945,53.244273581564485,209,0,0,0,16646.374343769436,14819.726576357807,58.79072105004184,59.16635580827475,98.46849045289792,20.0,kinematic,False,0,0.0,,,,random,event,20,6,3.6735439999517894,10.50952100001723,4179.999999999999,100.0,90.0,0.04789300001561969,14555.329011589882,20.0,23,397,7.969225999943319,22.0522089997246,20,0,0,0,0,2,44.56258498653642,610.165649292878,0.30664589661472597,1,1735.930925111596,98.46849045289792,0.0
