scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,event,0.0,20.0,0.0,kinematic,0,200,200,199,0.995,1,73,0.77,368.83,5.905,147,19.48977199975843,59.7973969998975,24.416410689970864,0.05367188475191224,7.507875000101194,3081.206030150753,3077.0999999999995,62.371596314994804,51.417829777596765,13326.580524011995,12645.041360309342,69.13729136236542,-141.59415534301593,0.425,0.03624549998448856,7.865167823627323,0.22999999999999998,0.177-0.293,78.09999999999997,0.5088442522440147,0.033318313144083206,1.3959719370810104,5.845,0.0,0.04,3.27,294.6404470233473,0.6146625237130215,1.715,0.9614187852981949
random,voronoi,event,0.0,20.0,20.0,kinematic,0,200,200,180,0.9,20,66,0.79,361.58,4.66,923,17.101531999742292,37.1885339994833,19.538417995015607,0.04966769706329006,7.460602000037397,3171.777777777777,3147.2999999999993,57.41173430500524,56.50722729336598,12949.618782946842,12327.027933246232,195.84654008986044,-141.59415534301593,0.43,0.03820549997612943,6.144171257145831,0.20999999999999996,0.159-0.272,71.2999999999999,0.4934606413616468,0.027955984746633702,1.2753227877000453,4.565,0.0,0.09,2.39,288.5102904283352,0.464183134835233,1.255,1.0003955125234594
random,voronoi,event,0.0,20.0,40.0,kinematic,0,200,200,158,0.79,46,63,0.81,346.72,3.375,1508,16.1301374999141,34.614214997873205,17.664559800110453,0.046636944106823175,8.554329999924448,3220.886075949366,3117.799999999999,54.2081138500049,60.30378820231204,12379.121561373477,11742.642276537425,378.4611560593416,-152.3496261666974,0.515,0.039020500025799265,5.535059281499961,0.18999999999999995,0.142-0.250,57.199999999999946,0.45991669093138493,0.028012431652599534,1.3220872074900516,3.26,0.0,0.11,1.875,280.3484205331054,0.37675816357945274,1.03,1.0979978708632663
random,voronoi,event,0.0,20.0,60.0,kinematic,0,200,200,151,0.755,55,55,0.795,345.295,3.535,2007,15.488502999971843,33.61114200015436,17.1059312700325,0.04583928636146692,7.37313600006928,3260.132450331124,3163.499999999998,54.07975462000067,61.57035315734118,12196.951219639242,11582.194740188183,438.45531392872437,-152.44633351836043,0.565,0.03927450003970989,5.324887707364991,0.20499999999999996,0.155-0.266,64.4999999999999,0.4388762600221859,0.028311366466718998,1.1992631214039016,3.39,0.0,0.135,1.7,252.16887352004127,0.3447985393533932,0.91,1.131160720386595
random,voronoi,event,0.0,20.0,90.0,kinematic,0,200,200,131,0.655,82,51,0.8,333.995,3.295,2627,14.865396000061537,36.70906900151749,16.84090563003579,0.04475025419854846,8.71665399995436,3383.0534351144997,3234.6999999999966,53.3949612549948,64.69476731257805,11620.463721154485,10997.022405360587,626.371777692792,-161.41612043204725,0.585,0.04006499997899482,5.054729796874431,0.19999999999999996,0.150-0.261,63.19999999999986,0.43871347760706214,0.028809159595960008,1.2554515335608079,3.075,0.0,0.2,1.53,242.5088172939935,0.33896619132662487,0.84,1.2757858922052978
random,voronoi,event+pred100,100.0,20.0,0.0,kinematic,0,200,200,194,0.97,6,25,0.895,408.92,16.6,208,27.821873001244057,78.41590600116888,33.8018937651465,0.06932810770967407,10.028041999930792,3657.2164948453546,3629.999999999994,78.2381278100003,49.06503142314299,13626.427210589347,13102.13786600695,102.5477957299834,-130.49105079831136,0.77,0.04113850002340769,9.30508877358528,0.10499999999999998,0.070-0.155,39.599999999999824,0.5797514002079043,0.03648439328399638,1.0013640899347223,15.69,0.0,0.85,4.91,213.01544597525063,1.128305382022336,3.735,0.9363705076665609
random,voronoi,event+pred100,100.0,20.0,20.0,kinematic,0,200,200,180,0.9,21,26,0.895,398.935,13.805,1516,22.842016498486828,59.23881100170547,27.11692095992177,0.05943241925195866,9.934310000005553,3661.3333333333276,3613.7999999999947,70.58017240000012,53.665992173951835,13327.943606212779,12777.178232107799,211.34068389703222,-125.22030198352289,0.815,0.04215200002022357,7.512344767501441,0.10499999999999998,0.070-0.155,41.99999999999974,0.5635244094485873,0.03096491448956228,0.9150327467068223,12.98,0.0,0.79,3.58,210.60138689152808,0.8717623064167729,2.775,0.9754479575811508
random,voronoi,event+pred100,100.0,20.0,40.0,kinematic,0,200,200,164,0.82,39,28,0.895,387.18,11.99,2036,20.79410450244268,55.82338699537104,25.501600155130433,0.055713830402527614,9.022428999969634,3712.9268292682864,3565.3999999999955,67.67792498499716,56.14246186821596,12984.150425112057,12353.78890943648,319.27724482708976,-161.41612043204725,0.825,0.04268799995088557,7.080568994233201,0.10499999999999998,0.070-0.155,43.99999999999975,0.5447646961558823,0.031175339219173714,0.9389909739775891,11.185,0.0,0.795,3.02,193.6487692918792,0.7509161998977831,2.295,1.0400951292277114
random,voronoi,event+pred100,100.0,20.0,60.0,kinematic,0,200,200,150,0.75,53,23,0.905,385.205,10.41,2451,20.846171499215416,61.18970700003956,25.46991125491132,0.055296910833226895,12.111295999972072,3872.3999999999905,3663.499999999993,68.0317993049988,57.79552448714189,12704.259203575126,12157.879605322934,411.42642832400287,-161.41612043204725,0.835,0.043832500011831144,6.874078753166512,0.09499999999999997,0.062-0.144,37.79999999999982,0.525159987450478,0.032505867279248785,1.0175563541265895,9.58,0.0,0.805,2.675,202.26396420939858,0.678730373310839,2.09,1.0706359237495613
random,voronoi,event+pred100,100.0,20.0,90.0,kinematic,0,200,200,138,0.69,69,31,0.885,381.765,9.935,3069,20.46468999958506,61.3457430008566,24.984073359910607,0.05525965762782041,10.50952100001723,4078.695652173901,3745.299999999991,67.65451047000127,59.039459873761906,12385.195593057448,11936.932011707779,514.471483665208,-161.41612043204725,0.825,0.04487349997361889,637581.5326010094,0.11499999999999999,0.078-0.167,50.29999999999976,0.5313794807907972,0.03171409068837847,1.0544895893588948,8.96,0.0,0.93,2.39,201.76154021013258,0.6418834032162191,1.955,1.1224553437604354
random,voronoi,cycle,0.0,20.0,0.0,kinematic,0,200,200,199,0.995,1,90,0.76,355.605,42.645,297,97.68215200003283,450.4220019994136,142.74123593991874,0.2858315669463618,7.986680000044544,2862.613065326634,2859.6000000000013,177.44060102500057,26.90518954026667,13326.580524011995,12612.797404860245,69.09040133458652,-144.4658675284077,0.415,3.088434000005691,44.278975521696545,0.24,0.186-0.304,96.4,0.9123218542100824,0.040376451841250466,2.8533292954633094,0.0,0.0,0.0,3.615,79.21573228624008,0.9824590122772147,2.75,0.9624232873982186
random,voronoi,cycle,0.0,20.0,20.0,kinematic,0,200,200,180,0.9,20,80,0.775,344.955,39.1,1650,79.05165900058364,420.3256179998789,127.5786851650004,0.24120886907255323,18.212876999996297,2875.666666666668,2854.800000000001,161.55933742500665,30.854313847192767,12949.618782946842,12205.464054075921,195.84808000482943,-143.41809889739363,0.43,3.051750000025777,39.27491027768338,0.22499999999999998,0.173-0.288,93.8,0.9347337435773668,0.027484554405905866,2.8393357615466446,0.0,0.0,0.0,2.54,71.3550826689152,0.7715265290845679,2.18,1.0100237176504059
random,voronoi,cycle,0.0,20.0,40.0,kinematic,0,200,200,158,0.79,46,52,0.84,329.29,35.0,2483,66.26524200027006,399.52842799976906,120.8125646049703,0.22334580238052515,10.731416999988141,2901.265822784811,2833.700000000001,153.4132931099954,34.18078288503643,12379.121561373477,11637.060940255893,378.46511511575613,-147.66656842157983,0.485,2.993838500003676,36.74586216651815,0.16000000000000003,0.116-0.217,51.9,0.9363780986682931,0.026366373027332354,2.995134750861594,0.0,0.0,0.0,2.035,67.30495390975598,0.6344102828915574,1.705,1.1060534173387064
random,voronoi,cycle,0.0,20.0,60.0,kinematic,0,200,200,151,0.755,55,51,0.815,326.22,34.6,3328,66.97587899850532,412.39523700039626,120.28025834497384,0.219387264110098,11.801458999798342,2942.649006622518,2856.700000000001,152.9538729650021,36.01277750152031,12196.951219639242,11477.020616229382,438.4569308036509,-152.44633351836043,0.545,2.9889605000334996,35.900877509845344,0.18500000000000005,0.137-0.245,53.900000000000006,0.9354437947935063,0.026877713494550773,3.0144788025442892,0.0,0.0,0.0,1.86,62.24110501319458,0.5991152907758035,1.6,1.1394285510894482
random,voronoi,cycle,0.0,20.0,90.0,kinematic,0,200,200,131,0.655,82,48,0.83,312.715,33.145,4270,51.348045500276385,443.2497600001284,115.84028997499288,0.17707896578627208,11.364160999960404,3010.229007633588,2867.3000000000006,147.60986209000293,40.67948670031349,11620.463721154485,10888.696134237614,626.4066528938026,-161.41612043204725,0.56,0.06406700003935839,33.243769698618735,0.17000000000000004,0.124-0.228,56.39999999999999,0.9327869432849392,0.02811026059635428,3.023766895061273,0.0,0.0,0.0,1.58,61.427235421161065,0.5388928414965287,1.365,1.285364680909991
random,voronoi,cycle+pred100,100.0,20.0,0.0,kinematic,0,200,200,194,0.97,6,22,0.915,376.79,69.4,425,175.29880700084277,550.7412669998075,210.78651930019063,0.46461730424675174,13.421665999999277,3160.927835051547,3139.2000000000007,249.34004221000353,20.894232106119077,13626.427210589347,12947.097996042932,102.5098177834384,-115.64358684717774,0.835,3.322610999987319,61.441878928825865,0.08499999999999996,0.054-0.132,34.29999999999992,0.9300071851175356,0.04846443014617038,2.708760224887293,0.0,0.0,0.0,5.295,72.63112112530077,1.6600067285842066,5.14,0.9457686480193219
random,voronoi,cycle+pred100,100.0,20.0,20.0,kinematic,0,200,200,180,0.9,21,19,0.915,367.715,63.695,2180,140.99614050012121,474.513591997038,193.04686476992075,0.40714792128917815,18.900438999992275,3157.0000000000005,3131.8000000000006,230.5731823299989,23.338211452594933,13327.943606212779,12614.219153177302,211.24782884665535,-125.22030198352289,0.84,3.23430250000456,55.642310458414265,0.08499999999999996,0.054-0.132,23.0,0.9534727656899854,0.029827934279663376,2.76415269650033,0.0,0.0,0.0,3.835,71.21176728780881,1.3311692817233751,4.25,0.9848606928406893
random,voronoi,cycle+pred100,100.0,20.0,40.0,kinematic,0,200,200,164,0.82,39,19,0.92,358.49,60.865,3297,131.03447600030904,545.671777999587,190.2266023601095,0.3979127004340145,15.36922399998275,3236.7073170731705,3139.9,227.26057228500022,25.830668593549873,12984.150425112057,12249.22617243577,319.23160981393875,-161.41612043204725,0.865,3.259456500018132,53.52384635707265,0.07999999999999996,0.050-0.126,28.499999999999954,0.9507893254732614,0.031752185791569895,2.840669435291956,0.0,0.0,0.0,3.215,57.86023128315573,1.1371309610242941,3.635,1.0473459016238704
random,voronoi,cycle+pred100,100.0,20.0,60.0,kinematic,0,200,200,150,0.75,53,20,0.92,352.405,59.6,4189,126.25656250017414,521.4420900001642,186.2050602548895,0.388563629400577,11.357430000003887,3273.2,3150.9,222.7508707199985,27.578439341390027,12704.259203575126,11974.187086186115,411.382539218737,-161.41612043204725,0.85,3.1721010000183014,51.49140786796854,0.07999999999999996,0.050-0.126,27.900000000000006,0.9513464153845282,0.03123226688364917,2.841830698643606,0.0,0.0,0.0,2.87,53.85120872530425,1.0272329142095686,3.165,1.083095296550397
