group,planner,prediction_horizon_ms,n,collision_free_%,completed_%,replans,plan_ms_median,ttg_s_median
perturbed,prm,0.0,51,92.2,100.0,4.2,54.3,3.2
perturbed,prm,100.0,51,100.0,100.0,3.4,43.3,3.0
perturbed,prm,250.0,51,98.0,100.0,3.3,45.9,3.4
perturbed,prm,500.0,51,66.7,100.0,2.7,43.9,3.5
perturbed,visibility,0.0,51,0.0,100.0,45.0,398.6,3.6
perturbed,visibility,100.0,51,0.0,100.0,41.6,388.3,3.6
perturbed,visibility,250.0,51,3.9,100.0,39.5,358.7,3.7
perturbed,visibility,500.0,51,2.0,100.0,31.0,317.2,3.6
perturbed,voronoi,0.0,57,96.5,94.7,25.9,46.5,3.3
perturbed,voronoi,100.0,57,87.7,96.5,23.6,45.6,3.5
perturbed,voronoi,250.0,57,82.5,94.7,58.2,64.8,4.1
perturbed,voronoi,500.0,57,57.9,93.0,129.5,133.5,4.7
random,prm,0.0,178,89.3,100.0,1.5,19.3,2.6
random,prm,100.0,178,94.4,100.0,2.1,20.2,2.7
random,prm,250.0,178,91.0,100.0,2.0,21.3,2.8
random,prm,500.0,178,85.4,100.0,1.6,24.1,2.8
random,visibility,0.0,178,69.7,100.0,7.3,44.5,2.7
random,visibility,100.0,178,73.0,100.0,6.8,44.3,2.8
random,visibility,250.0,178,68.0,100.0,5.2,35.0,2.9
random,visibility,500.0,178,68.5,100.0,4.8,32.3,2.9
random,voronoi,0.0,196,89.3,100.0,2.5,20.0,2.7
random,voronoi,100.0,196,98.5,100.0,9.5,25.3,2.8
random,voronoi,250.0,196,98.5,100.0,34.0,38.8,3.2
random,voronoi,500.0,196,90.3,100.0,102.6,101.9,4.1
