scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
22.11.24.08.2026,voronoi,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,410.0,11.0,0,32.078434996037686,32.078434996037686,32.078434996037686,0.07824008535618948,9.39807299982931,2533.3333333333294,2533.3333333333294,46.78003299977718,54.15415874857113,12878.180226426794,8799.259113161977,59.12519605739931,5.502527676276287,0.0,0.058024999816552736,12.662540130014897,0.8185790977865847
22.11.24.08.2026,voronoi,event+pred500,kinematic,0,1,1,1,1.0,0,2,0.0,467.0,79.0,1,85.14920500374501,85.14920500374501,85.14920500374501,0.18233234476176663,5.631783999888285,2833.333333333328,2833.333333333328,103.54662100007772,27.36287583282125,12878.180226426794,9539.510900840614,59.05747015777524,-79.06840486902617,0.0,0.08303599997816491,30.052660589557117,0.7550585832873048
22.11.24.08.2026,prm,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,448.0,3.0,7,79.32108600198262,79.32108600198262,79.32108600198262,0.1770559955401398,18.360021999797027,2799.999999999995,2799.999999999995,98.27356300002066,28.491894610551633,11717.760041041183,10682.67162731324,58.913946796442644,6.024954612149031,0.0,0.060290999954304425,28.328959286422418,0.6742591963255999
22.11.24.08.2026,prm,event+pred500,kinematic,0,1,1,1,1.0,0,1,0.0,496.0,0.0,179,35.40849799856005,35.40849799856005,35.40849799856005,0.07138810080354849,6.809216999954515,3133.333333333327,3133.333333333327,52.271068999743875,59.9439306157806,11717.760041041183,10436.413443760142,58.468883598418024,-52.528402674410486,0.0,0.06450099999710801,11.300584467625571,0.6901690532727094
22.11.24.08.2026,visibility,event+pred100,kinematic,0,1,1,1,1.0,0,3,0.0,549.0,38.0,26,516.9736829961948,516.9736829961948,516.9736829961948,0.9416642677526318,26.781627999753255,3799.9999999999914,3799.9999999999914,545.2308760000051,6.969524594568184,7326.983218079929,7130.855831763733,58.50292129608679,-19.047689556640023,0.0,10.76775000001362,136.04570605163053,1.010101698306382
22.11.24.08.2026,visibility,event+pred500,kinematic,0,1,1,1,1.0,0,3,0.0,559.0,39.0,77,451.4274030048,451.4274030048,451.4274030048,0.8075624382912343,11.332333000154904,3799.9999999999914,3799.9999999999914,470.9603930000412,8.068619052642202,7326.983218079929,7141.156579563556,58.62217011408558,-19.047689556640023,0.0,10.28090499994505,118.79668500126343,1.0086446790223904
22.11.24.08.2026~perturbed,voronoi,event+pred100,kinematic,0,20,20,18,0.9,1,426,0.95,542.15,30.55,6,42.718077507061025,113.16795301263483,48.51619060179928,0.08422793489430908,7.390475000192964,3351.851851851845,4631.66666666666,69.08194445006757,60.63235079698724,11607.036766486486,9114.1807728991,94.37523859347829,-2.686114832615033,0.0,0.054865000038262224,13.28571168231241,0.8110809622379751
22.11.24.08.2026~perturbed,voronoi,event+pred500,kinematic,0,20,20,17,0.85,1,397,0.55,700.95,120.6,109,121.17194899769856,3159.879559993442,283.805043899315,0.21944639366897983,19.636183999864443,4240.196078431363,6711.666666666659,312.8682129500248,32.793775318530784,11607.036766486486,11458.708292286705,96.63598939384828,-136.991424949082,0.0,0.07326649983951938,33.36693010886425,0.6891669094094252
22.11.24.08.2026~perturbed,prm,event+pred100,kinematic,0,20,20,16,0.8,4,1,0.95,389.25,1.4,238,37.54481499981921,92.13509799837993,37.524866598528206,0.08615877135770703,21.59658699974898,2852.083333333328,2742.4999999999955,51.318529749937625,57.61456132036926,11367.15029164275,8824.18756949863,205.26101588391225,-5.345864600135485,0.0,0.04155950023232435,13.73265385910629,0.8748774866438177
22.11.24.08.2026~perturbed,prm,event+pred500,kinematic,0,20,20,16,0.8,4,4,0.8,444.15,1.9,1630,42.407259499668726,187.5453390034636,51.821286402014266,0.09234571890284823,30.21740999975009,3611.4583333333253,3368.333333333326,69.50804599998719,54.52435779355456,11367.15029164275,12033.548018263666,205.31169954787902,-117.62211643947565,0.0,0.06317449992820912,15.51690340244176,0.7108946527306851
22.11.24.08.2026~perturbed,visibility,event+pred100,kinematic,0,20,20,16,0.8,4,46,0.0,484.35,36.35,845,379.38814099766205,1179.866049004886,448.3359467496939,0.8255220713389184,49.06711000012365,3594.791666666659,3491.6666666666592,466.61760444999345,8.843263200711855,6851.821937220906,6724.920469440016,205.4788809848721,-152.555286861501,0.0,10.56992949997948,124.5572860956216,1.0917909837630422
22.11.24.08.2026~perturbed,visibility,event+pred500,kinematic,0,20,20,16,0.8,4,50,0.0,486.05,31.3,1969,341.81811350003954,742.9607950034551,376.53650779950567,0.7844074454205473,19.539870000244264,3745.833333333325,3612.499999999992,394.4153268500031,11.172296616143571,6851.821937220906,6824.288571239817,205.4533253774311,-175.75869522720978,0.0,10.315356500086637,101.06985426651715,1.078432313239437
crowded,voronoi,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,862.0,1.0,0,48.365237002599315,48.365237002599315,48.365237002599315,0.056108163576101294,4.93150100010098,7233.333333333313,7233.333333333313,80.7350889999725,89.5934273799559,22854.683707277938,15988.049523122192,59.36835542849179,0.288954442116534,0.0,0.050895000185846584,6.686438295290246,0.25323504721610374
crowded,voronoi,event+pred500,kinematic,0,1,1,1,1.0,0,0,1.0,1011.0,134.0,45,479.1334709934745,479.1334709934745,479.1334709934745,0.4739203471745544,9.244452000075398,7933.33333333331,7933.33333333331,517.2597689997929,15.337232487022371,22854.683707277938,25055.578962216823,58.602074920361524,0.5775341366036457,0.0,4.845431999910943,60.39497533531208,0.16159013854705342
crowded,prm,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,694.0,6.0,42,78.75930100772166,78.75930100772166,78.75930100772166,0.11348602450680355,7.302517999960401,4383.333333333323,4383.333333333323,103.97828299983303,42.15623884980253,11572.025797384194,13563.435283175304,59.53093388137125,0.44730053286707516,0.0,0.05930399993303581,17.96790137058293,0.29850361588730295
crowded,prm,event+pred500,kinematic,0,1,1,1,1.0,0,0,1.0,752.0,5.0,221,77.4848170021869,77.4848170021869,77.4848170021869,0.10303832048163152,7.616018000135227,5033.333333333321,5033.333333333321,104.53866099987863,48.14805628072054,11572.025797384194,18398.760694127606,58.63727686310702,1.2523917820977033,0.0,0.06830400025137351,15.39433450374578,0.2200547386419076
crowded,visibility,event+pred100,kinematic,0,1,1,1,1.0,0,5,0.0,660.0,56.0,154,419.0965229959147,419.0965229959147,419.0965229959147,0.634994731811992,7.92554999998174,3899.999999999991,3899.999999999991,442.88274300015473,8.805942569766437,5743.219306469773,5389.500367974684,58.776038646623114,-58.33154602111412,0.0,6.7278870001246105,107.46064692202965,0.7512263103161683
crowded,visibility,event+pred500,kinematic,0,1,1,1,1.0,0,3,0.0,676.0,20.0,305,183.05044900534995,183.05044900534995,183.05044900534995,0.27078468787773663,8.36576400024569,4083.333333333324,4083.333333333324,206.96586999974897,19.72950097201184,5743.219306469773,6330.120396787195,59.15087017309789,-62.039438625146204,0.0,0.09691000013845041,44.828681389065395,0.6395983365397218
crowded~perturbed,voronoi,event+pred100,kinematic,0,20,20,17,0.85,2,7,0.8,951.5,26.6,43,59.81945199778238,1511.7472220117634,148.05274379907587,0.07569829654555567,9.194048999688675,7283.333333333331,8234.999999999996,184.69774354987294,68.19461554718985,22687.644296904164,17262.874042159718,91.4656881296011,-57.274759796901776,0.0,0.05324249991645047,13.293659833338705,0.24952128018225245
crowded~perturbed,voronoi,event+pred500,kinematic,0,20,20,16,0.8,2,339,0.5,1278.9,172.9,792,449.4243775009181,3566.3195479933165,562.9195644490892,0.3509399821769474,12.51636300003156,9022.916666666713,10843.333333333369,612.2630403999892,24.328295593716216,22687.644296904164,24944.308177211256,91.3641206426955,-102.98495286876023,0.05,4.706890500074223,49.412782456250724,0.17429269951659507
crowded~perturbed,prm,event+pred100,kinematic,0,20,20,15,0.75,5,0,1.0,587.55,5.75,427,69.40738600451368,272.63769699129625,75.09980659888242,0.10891751766087704,16.32573200004117,4399.999999999989,4287.49999999999,96.07727904999592,52.95063104374505,10679.526705567852,10305.408678220763,147.41704453430833,0.04411010428862028,0.0,0.04999749990020064,16.570415742930418,0.4241179648404609
crowded~perturbed,prm,event+pred500,kinematic,0,20,20,15,0.75,5,3,0.85,611.9,4.25,3200,71.94801850687327,181.09947400125748,79.4232987499754,0.10448886479992286,31.945332999839593,4973.333333333324,4674.166666666657,101.69270825006151,52.59670444175424,10679.526705567852,14042.606749274764,147.4605595785974,-166.37673999355854,0.05,0.06666599983873311,16.914556717159535,0.342205639320842
crowded~perturbed,visibility,event+pred100,kinematic,0,20,20,15,0.75,5,96,0.0,573.1,46.5,3304,369.69762750140944,616.7347810082902,360.80197695127936,0.6295468782892129,26.66557400016245,3966.666666666658,3924.9999999999914,381.865596750049,11.493413528199792,4789.4571763679,4652.113142129312,147.49944457119148,-149.6484593492598,0.0,6.74469050022708,91.34104393548702,0.8973535760685039
crowded~perturbed,visibility,event+pred500,kinematic,0,20,20,15,0.75,5,103,0.0,569.75,29.5,5543,218.5779599963098,491.9960299966988,244.039232598152,0.43941996934991956,11.78295399995477,4071.1111111111018,3939.9999999999914,264.83974540001327,21.188563230082814,4789.4571763679,4823.680282444296,147.4191804975866,-155.69517626095717,0.0,6.418651999865688,61.6922401387464,0.8850990998279984
snapshot_1787566435,voronoi,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,491.0,15.0,0,47.649363010805246,47.649363010805246,47.649363010805246,0.09704554584685386,4.509466999934375,3449.9999999999927,3449.9999999999927,65.15519799995673,52.95049521608827,14135.051375600542,10574.418907226705,59.238343325510634,1.9783441292636041,0.0,0.05756799964728998,13.811409568349376,0.68116174035057
snapshot_1787566435,voronoi,event+pred500,kinematic,0,1,1,1,1.0,0,0,1.0,623.0,64.0,6,105.06384100972355,105.06384100972355,105.06384100972355,0.16864179937355303,5.057648000274639,4866.666666666655,4866.666666666655,127.76143600012801,38.091828168413656,14135.051375600542,14758.93098633287,58.988895190520076,5.937228974040352,0.0,0.06928399989192258,21.588460481450095,0.4880359961512501
snapshot_1787566435,prm,event+pred100,kinematic,0,1,1,1,1.0,0,0,1.0,394.0,6.0,27,69.03605900424736,69.03605900424736,69.03605900424736,0.17521842386864814,10.191892999955598,2466.666666666663,2466.666666666663,82.79155999980503,29.79369716759138,11164.864366004127,8434.95426249992,59.39999366633478,1.553456874402542,0.0,0.06853200011391891,27.987591488208434,0.8539334490603094
snapshot_1787566435,prm,event+pred500,kinematic,0,1,1,1,1.0,0,1,0.0,417.0,0.0,85,30.113011008324975,30.113011008324975,30.113011008324975,0.07221345565545557,6.810193000092113,2466.666666666663,2466.666666666663,44.191101000251365,55.818176303247846,11164.864366004127,8727.423750463156,58.54265440013187,-92.85404335545314,0.0,0.05957099983788794,12.207977435807441,0.825316816507307
