scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
22.11.24.08.2026,voronoi,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,16.830535000053715,16.830535000053715,16.830535000053715,5.6101783333512385,7.538129000067784,5019.999999999981,5019.999999999981,21.585413999900993,232.56445301549493,12878.180226426794,12033.337139118448,59.49473732355597,97.94324804543578
22.11.24.08.2026,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,476.0,153.0,11,720.0940750033169,720.0940750033169,720.0940750033169,1.5128026785783968,7.2287789998881635,3583.3333333333253,3583.3333333333253,737.7857799999674,4.856875031304457,12878.180226426794,9355.717066595065,58.945182700739934,30.41520646695983
22.11.24.08.2026,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,529.0,2.0,9,40.86180900094405,40.86180900094405,40.86180900094405,0.07724349527588667,4.603251999924396,3449.9999999999927,3449.9999999999927,57.13371899992126,60.38465656339906,12878.180226426794,10226.0707672293,58.223754300693,19.021638833167515
22.11.24.08.2026,prm,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,28.990297000063947,28.990297000063947,28.990297000063947,9.663432333354649,15.94338300014897,3380.0000000000027,3380.0000000000027,32.094154000105846,105.31512997628339,12914.686524285436,12343.449017652492,58.5664751518268,47.04234174041946
22.11.24.08.2026,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,413.0,114.0,0,766.9778589997804,766.9778589997804,766.9778589997804,1.857089246972834,7.986054999946646,2616.6666666666624,2616.6666666666624,783.0593219998718,3.341594427333937,12914.686524285436,9151.862552642553,58.49126964657838,30.728776827306405
22.11.24.08.2026,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,418.0,0.0,0,26.56067600219103,26.56067600219103,26.56067600219103,0.06354228708658141,6.349445000068954,2633.333333333329,2633.333333333329,38.771296000049915,67.91966235356018,12914.686524285436,9600.945348765144,59.20701144274232,33.748419050909376
22.11.24.08.2026,visibility,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,31.55695200007358,31.55695200007358,31.55695200007358,10.518984000024526,10.770026000045618,3800.0000000000027,3800.0000000000027,34.90072899990082,108.88024717222386,7509.028691093707,7251.103296070778,59.68993589738218,-10.18510659924928
22.11.24.08.2026,visibility,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,596.0,254.0,92,2580.8840950007834,2580.8840950007834,2580.8840950007834,4.330342441276482,16.68018200007282,3816.666666666658,3816.666666666658,2602.9960340001708,1.4662591171148929,7509.028691093707,7306.236310019696,58.657554144996595,-3.6517326970002557
22.11.24.08.2026,visibility,event,kinematic,0,1,1,1,1.0,0,1,0.0,558.0,19.0,62,234.2304779956521,234.2304779956521,234.2304779956521,0.4197678817126382,13.912018999917564,3816.666666666658,3816.666666666658,251.2569389998589,15.190293577001674,7509.028691093707,7291.34937763901,58.98499498276147,-2.4877880144187543
22.11.24.08.2026~perturbed,voronoi,once,kinematic,0,20,20,20,1.0,0,7,0.75,3.0,0.0,0,13.602507499854255,23.900641999944128,14.241499499917154,4.534169166618085,9.364731000005122,5173.999999999977,5173.999999999977,19.343886050000947,274.1859413474577,11813.858864154794,11061.588602786356,58.68040798370313,-114.27962275191547
22.11.24.08.2026~perturbed,voronoi,cycle,kinematic,0,20,20,17,0.85,0,112,0.95,695.8,306.0,1789,661.3099895009782,10634.426727998743,1514.8379801998203,1.4645717023191018,22.773517000132415,3049.0196078431313,7091.6666666666615,1545.1278890499907,7.242767366937099,11813.858864154794,10308.744135372603,112.79567930816219,-2.6572700778724823
22.11.24.08.2026~perturbed,voronoi,event,kinematic,0,20,20,19,0.95,0,114,0.85,537.75,7.35,1620,37.02863199782769,120.77385599855006,42.71000249993904,0.07441237835687717,7.665509999924325,3047.3684210526253,4394.9999999999945,61.55135744996869,62.54583967092378,11813.858864154794,9154.281591105708,59.2489190134001,-2.6311921442388666
22.11.24.08.2026~perturbed,prm,once,kinematic,0,20,20,16,0.8,4,5,0.9,3.0,0.0,0,19.07094299963319,48.35026000000653,20.800978199974907,6.35698099987773,28.311776999998983,4254.999999999994,4321.999999999994,24.872712350008896,184.80605350631689,12619.071251732867,11970.853155775276,205.27295085789848,-60.36158738828486
22.11.24.08.2026~perturbed,prm,cycle,kinematic,0,20,20,16,0.8,4,0,1.0,365.9,87.6,152,660.6939899971849,1321.196440999529,627.6794357500762,1.7138084261889364,24.200493999842365,2627.083333333329,2544.1666666666624,642.8641555500235,4.53065948911791,12619.071251732867,8344.941384330563,205.44377211055817,18.14841492446527
22.11.24.08.2026~perturbed,prm,event,kinematic,0,20,20,16,0.8,4,1,0.95,419.85,2.35,77,31.441056501193998,69.32318999520248,41.18923505033081,0.07878776575706953,8.705785000074684,2979.166666666661,3061.6666666666606,54.23784340000566,61.83792767519418,12619.071251732867,9571.302678154483,205.42170682081255,-16.14851184427414
