planner,policy,n,completed_%,collision_free_%,collisions_per_run,replans_per_run,planner_calls_per_run,planning_ms_per_run_median,planning_ms_per_run_iqr,max_call_ms_median,runs_with_call_over_16.7ms_%,time_to_goal_s_median,travelled_m_mean,min_clearance_mm_median,near_miss_free_%,p95_call_ms_median,planning_ms_per_sim_s_median,path_efficiency_mean
Voronoi,Plan once,3,100.0,66.66666666666666,0.3333333333333333,0.0,3.0,14.953483000226695,"15.0 [14.3, 15.6]",5.032217000007222,0.0,5.9799999999999605,15.697289674072337,97.94324804543578,66.66666666666666,5.032217000007222,2.281957525028291,0.4415992013367814
Voronoi,Every cycle,3,100.0,66.66666666666666,0.3333333333333333,121.66666666666667,431.3333333333333,280.80422300035934,"280.8 [270.5, 785.0]",4.98135399993771,0.0,2.2999999999999967,9.701952468500686,1.3711680940215558,0.0,4.491679000238946,122.08879260885206,0.6948946803972342
Voronoi,Event-triggered,3,100.0,100.0,0.0,1.0,557.3333333333334,34.15283800222824,"34.2 [30.6, 41.4]",4.625347000001057,0.0,2.6833333333333287,11.162847810778583,1.978344129263604,0.0,0.0501710001117317,10.114513416167656,0.6348059215480429
Voronoi,Every cycle + prediction,3,66.66666666666666,100.0,0.0,738.6666666666666,1038.3333333333333,606.2267059919577,"606.2 [501.2, 5241.8]",4.905971999960457,33.33333333333333,3.2083333333333273,16.36266423226612,1.403597586206672,0.0,4.690481000125146,176.5708852403764,0.5324806377307799
Voronoi,Event + prediction,3,100.0,100.0,0.0,25.333333333333332,794.3333333333334,63.34013299601793,"63.3 [56.3, 152.1]",4.793057000370027,0.0,4.166666666666657,16.731508266254018,1.078063144973413,0.0,0.0581660001444106,15.201631919044337,0.5146838633105134
PRM,Plan once,3,100.0,33.33333333333333,0.6666666666666666,0.0,3.0,22.632632999830093,"22.6 [21.2, 25.4]",8.179011999800423,0.0,3.5200000000000027,10.770364388131124,-56.192951325806206,0.0,8.179011999800423,5.6300082089129555,0.5710306561311467
PRM,Every cycle,3,100.0,66.66666666666666,0.3333333333333333,101.66666666666667,422.0,724.0717000036057,"724.1 [661.3, 838.3]",11.3117890000467,0.0,2.466666666666663,9.05485601639221,1.139371793012117,0.0,6.619641999805026,293.5425810825433,0.6858007340340242
PRM,Event-triggered,3,100.0,100.0,0.0,2.6666666666666665,500.6666666666667,49.38461999927313,"49.4 [45.2, 52.9]",7.310640000014246,0.0,3.4499999999999926,10.294633992775047,2.8744813368030293,0.0,0.0311489998239267,14.314382608484994,0.598290226119947
PRM,Every cycle + prediction,3,100.0,100.0,0.0,85.33333333333333,443.3333333333333,534.0169659984895,"534.0 [453.2, 675.8]",7.797820000178035,0.0,2.5999999999999956,11.135240205356945,3.7273304239879215,0.0,6.369211000219366,205.39114076865013,0.5806437603114573
PRM,Event + prediction,3,100.0,100.0,0.0,3.0,567.0,41.45698100546724,"41.5 [39.5, 61.5]",6.877651000195328,0.0,3.21666666666666,12.763303098812065,1.141081594341955,0.0,0.0633979998383438,13.89619475043597,0.5282231279567866
Visibility graph,Plan once,3,100.0,0.0,4.0,0.0,3.0,31.85204400006114,"31.9 [26.3, 32.8]",10.797259000355552,0.0,3.7800000000000025,6.506889299894284,-18.849065154575925,0.0,10.797259000355552,8.94859576717901,0.9299974511600287
Visibility graph,Every cycle,3,100.0,0.0,4.333333333333333,283.0,569.6666666666666,3080.241896996995,"3080.2 [2438.0, 3149.6]",16.57940699988103,33.33333333333333,3.799999999999992,6.59118228581034,-36.03397531216211,0.0,10.423120000268682,847.0842244708526,0.918204049515666
Visibility graph,Event-triggered,3,100.0,0.0,3.0,44.333333333333336,574.0,421.05724700604696,"421.1 [413.6, 435.9]",11.24999800003934,0.0,3.799999999999992,6.539149093569115,-19.047689556640023,0.0,9.448428999803582,118.6294207892199,0.9253887126498629
Visibility graph,Every cycle + prediction,3,100.0,0.0,4.0,225.66666666666666,617.3333333333334,2611.1790199938696,"2611.2 [1803.6, 2743.7]",11.393461999887222,33.33333333333333,3.799999999999992,6.928796295212145,-63.42870780639548,0.0,9.584127999914926,725.3275055538543,0.8735939640563872
Visibility graph,Event + prediction,3,100.0,0.0,3.3333333333333335,45.0,572.3333333333334,463.3005309956389,"463.3 [428.3, 489.2]",10.465406000093935,33.33333333333333,3.799999999999992,6.644004025587346,-58.33154602111412,0.0,9.49255599971366,135.53640578971996,0.91092778162125
