scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_time_ms_p95_call,straight_line_mm
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,3,0,,16.248438999809878,5.4161463332699595,5019.999999999981,21.18109100001675,237.00384460819376,251,0,0,0,12878.180226426794,12033.337139118448,59.49473732355597,59.670131773265595,97.94324804543578,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,16.248438999809878,7.093160999829706,5019.999999999981,0.0,7.093160999829706,7202.889586042515
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,370,0,,280.80422300035934,0.7589303324334036,2299.999999999997,294.55698199990366,7.80833638498085,138,0,1,1,12878.180226426794,8190.277608364213,59.077591988479554,59.520867857719146,-1.073349719274347,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,59,0,13.553448000493518,4.64949599972897,2299.999999999997,0.0,4.472861000067496,7202.889586042515
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,468,0,,606.2267059919577,1.295356209384525,3433.333333333326,624.9336989999392,5.493916136747909,206,0,0,0,12878.180226426794,9288.917460542423,59.02480867702756,59.6113373662168,1.403597586206672,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,149,0,13.58379299972512,4.905971999960457,3433.333333333326,250.0,4.690481000125146,7202.889586042515
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,375,0,,34.152838002228236,0.09107423467260863,2333.33333333333,47.045944000274176,49.59690751066089,140,0,0,0,12878.180226426794,8308.260061376352,59.062990222362224,59.893488445801616,2.415255589259999,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,0,13.536278000628954,4.625347000001057,2333.33333333333,0.0,0.0501710001117317,7202.889586042515
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,502,0,,49.353285005054204,0.09831331674313587,3866.666666666658,67.84788999993907,56.99022720780455,232,0,0,0,12878.180226426794,9735.253509585986,58.2080021588705,58.44247038513924,1.078063144973413,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,30,0,13.645880999774818,4.737075000321056,3866.666666666658,250.0,0.05666399965775781,7202.889586042515
22.11.24.08.2026,prm,1,0,completed,True,False,3,3,0,,28.137434999734978,9.37914499991166,3140.0000000000023,31.171714999800315,100.73234661680043,157,1,0,1,11717.760041041183,11142.973878937613,58.62599909399646,59.46315924767794,-56.192951325806206,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,28.137434999734978,15.40624300014315,3140.0000000000023,0.0,15.40624300014315,7202.889586042515
22.11.24.08.2026,prm,1,0,completed,True,False,3,400,0,,724.0717000036057,1.8101792500090141,2466.666666666663,742.1535500002392,3.3236608066698166,148,0,0,0,11717.760041041183,9574.007521456722,58.547979789408146,59.02664336442985,1.139371793012117,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,105,8,19.45920300022408,11.311789000046701,2466.666666666663,0.0,6.555211999966559,7202.889586042515
22.11.24.08.2026,prm,1,0,completed,True,False,3,417,0,,372.3950350058658,0.8930336570884072,2533.3333333333294,389.21189099983167,6.508879589535524,152,0,0,0,11717.760041041183,10197.618922580272,58.251795004819236,58.580781083002535,6.024954612149031,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,56,58,18.539339000199107,7.439266999881511,2533.3333333333294,250.0,5.663073000050645,7202.889586042515
22.11.24.08.2026,prm,1,0,completed,True,False,3,480,0,,41.04047299142621,0.08550098539880462,3483.3333333333258,57.925192000311654,60.13503301490282,209,0,0,0,11717.760041041183,10684.078064780235,58.54916259159706,58.97619530828717,3.2735559762104174,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,0,19.14150900029199,6.6786570000658685,3483.3333333333258,0.0,0.026669999897421803,7202.889586042515
22.11.24.08.2026,prm,1,0,completed,True,False,3,467,0,,41.45698100546724,0.08877297859843092,2983.3333333333276,57.43769400032761,51.94033961941981,179,0,0,0,11717.760041041183,10695.124846976974,59.19986428344564,59.84751856694152,0.3702171848865419,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,54,18.770501999824774,6.380347999765945,2983.3333333333276,250.0,0.05938799995419686,7202.889586042515
22.11.24.08.2026,visibility,1,0,completed,True,False,3,3,0,,33.82569199993668,11.27523066664556,3780.0000000000027,37.32335399990916,101.27707172322195,189,0,4,4,7326.983218079929,7122.124084455163,58.58848050454113,59.55364360653534,-18.849065154575925,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,33.82569199993668,11.47304999994958,3780.0000000000027,0.0,11.47304999994958,7202.889586042515
22.11.24.08.2026,visibility,1,0,completed,True,False,3,574,0,,3218.920052989233,5.607874656775667,3799.9999999999914,3244.85385700018,1.1710850988873305,228,0,5,5,7326.983218079929,7243.049143615837,59.11626722970343,59.58317141157282,-36.03397531216211,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,278,45,33.428980999815394,35.73063600015303,3799.9999999999914,0.0,11.232242999994924,7202.889586042515
22.11.24.08.2026,visibility,1,0,completed,True,False,3,621,0,,2876.2408619945745,4.631627797092713,3799.9999999999914,2903.0803300001935,1.3089544787070146,228,0,4,4,7326.983218079929,7634.9383795658,59.100204264543926,59.54081183242964,-63.42870780639548,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,257,115,34.0447800003858,29.017987999850448,3799.9999999999914,250.0,11.352848999649723,7202.889586042515
22.11.24.08.2026,visibility,1,0,completed,True,False,3,549,0,,450.79179899903465,0.8211143879763837,3799.9999999999914,470.12379500029056,8.08297737832573,228,0,3,3,7326.983218079929,7130.855831763733,58.50292129608679,58.714270135600884,-19.047689556640023,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,38,26,33.508570999401854,11.387747999833664,3799.9999999999914,0.0,10.635087000082422,7202.889586042515
22.11.24.08.2026,visibility,1,0,completed,True,False,3,549,0,,515.0383420009348,0.9381390564680051,3799.9999999999914,535.5402340001092,7.095638681741354,228,0,3,3,7326.983218079929,7130.855831763733,58.50292129608679,58.714270135600884,-19.047689556640023,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,38,26,34.03106499990827,21.40820899967366,3799.9999999999914,250.0,10.852791000161233,7202.889586042515
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,3,0,,14.209719999598747,4.7365733331995825,5379.999999999974,19.17881800000032,280.5178087617226,269,0,0,0,13319.632445227217,12514.218830929327,58.20275999557037,58.62287373010217,63.78525386085195,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,14.209719999598747,4.811624000012671,5379.999999999974,0.0,4.811624000012671,7268.242982766738
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,471,0,,685.6658559968309,1.4557661486132292,3766.6666666666583,706.1398740002005,5.3341650929991085,226,0,0,0,13319.632445227217,9150.92777842528,58.737309342677406,59.09602339105919,0.6200923780493213,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,143,0,13.590160000603646,10.402752999652876,3766.6666666666583,0.0,4.685578999669815,7268.242982766738
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,393,0,,243.3842390000791,0.619298318066359,2433.3333333333294,258.2114870001533,9.423799698469205,146,0,0,0,13319.632445227217,8401.176251882816,58.77068693883175,59.09602339105919,2.4690066004114897,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,69,0,13.557257999309513,10.44470100032413,2433.3333333333294,250.0,4.792157000338193,7268.242982766738
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,443,0,,33.554057001765614,0.07574279232904202,3299.999999999993,51.177661000110675,64.48125872717897,198,0,0,0,13319.632445227217,8961.557007701835,58.86923586537332,59.226333913089505,0.8241390088215894,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,1,0,13.494425000772026,5.447408000236464,3299.999999999993,0.0,0.04935400011163438,7268.242982766738
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,441,0,,38.430388994584064,0.08714373921674391,3199.9999999999936,54.659662999711145,58.54408579169075,192,0,0,0,13319.632445227217,8876.066534614003,58.966346335724644,59.26453965645001,5.204900389552705,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,26,0,13.49458599997888,4.832718999750796,3199.9999999999936,250.0,0.060337999912007945,7268.242982766738
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,3,0,,19.37436800017167,6.458122666723891,4219.999999999998,23.337448999882326,180.8252478675487,211,0,0,0,13533.021845406074,12660.998126030454,58.59153008956133,59.565378226457746,19.554558205551416,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,19.37436800017167,6.695694999962143,4219.999999999998,0.0,6.695694999962143,7268.242982766738
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,418,0,,509.910823001519,1.219882351678275,2899.9999999999945,528.0844499998238,5.491545907100582,174,1,0,1,13533.021845406074,10602.726634813513,59.682906313884466,59.84914906861402,-62.84177412465375,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,72,10,20.043903999976465,7.030876000044373,2899.9999999999945,0.0,6.225984000138851,7268.242982766738
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,432,0,,510.4938569957085,1.1816987430456214,2949.9999999999945,528.4313679999286,5.582560344904417,177,0,0,0,13533.021845406074,12232.092590682829,59.40461209553655,59.97482040962219,0.8821225008213673,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,73,76,18.56355099926077,29.086086000006617,2949.9999999999945,250.0,6.0867309998684505,7268.242982766738
