scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
22.11.24.08.2026,voronoi,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,16.248438999809878,16.248438999809878,16.248438999809878,5.4161463332699595,7.093160999829706,5019.999999999981,5019.999999999981,21.18109100001675,237.00384460819376,12878.180226426794,12033.337139118448,59.49473732355597,97.94324804543578,1.0,7.093160999829706,3.236740836615526,0.5985778926302228
22.11.24.08.2026,voronoi,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,370.0,59.0,0,280.80422300035934,280.80422300035934,280.80422300035934,0.7589303324334036,4.64949599972897,2299.999999999997,2299.999999999997,294.55698199990366,7.80833638498085,12878.180226426794,8190.277608364213,59.077591988479554,-1.073349719274347,0.0,4.472861000067496,122.08879260885206,0.8794438882861136
22.11.24.08.2026,voronoi,cycle+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,468.0,149.0,0,606.2267059919577,606.2267059919577,606.2267059919577,1.295356209384525,4.905971999960457,3433.333333333326,3433.333333333326,624.9336989999392,5.493916136747909,12878.180226426794,9288.917460542423,59.02480867702756,1.403597586206672,0.0,4.690481000125146,176.5708852403764,0.775428311925371
22.11.24.08.2026,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,375.0,2.0,0,34.152838002228236,34.152838002228236,34.152838002228236,0.09107423467260863,4.625347000001057,2333.33333333333,2333.33333333333,47.045944000274176,49.59690751066089,12878.180226426794,8308.260061376352,59.062990222362224,2.415255589259999,0.0,0.0501710001117317,14.636930572383552,0.8669552388625253
22.11.24.08.2026,voronoi,event+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,502.0,30.0,0,49.353285005054204,49.353285005054204,49.353285005054204,0.09831331674313587,4.737075000321056,3866.666666666658,3866.666666666658,67.84788999993907,56.99022720780455,12878.180226426794,9735.253509585986,58.2080021588705,1.078063144973413,0.0,0.05666399965775781,12.763780604755427,0.739876940949721
22.11.24.08.2026,prm,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,28.137434999734978,28.137434999734978,28.137434999734978,9.37914499991166,15.40624300014315,3140.0000000000023,3140.0000000000023,31.171714999800315,100.73234661680043,11717.760041041183,11142.973878937613,58.62599909399646,-56.192951325806206,0.0,15.40624300014315,8.960966560425145,0.6464063960212072
22.11.24.08.2026,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,400.0,105.0,8,724.0717000036057,724.0717000036057,724.0717000036057,1.8101792500090141,11.311789000046701,2466.666666666663,2466.666666666663,742.1535500002392,3.3236608066698166,11717.760041041183,9574.007521456722,58.547979789408146,1.139371793012117,0.0,6.555211999966559,293.5425810825433,0.7523379911598991
22.11.24.08.2026,prm,cycle+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,417.0,56.0,58,372.3950350058658,372.3950350058658,372.3950350058658,0.8930336570884072,7.439266999881511,2533.3333333333294,2533.3333333333294,389.21189099983167,6.508879589535524,11717.760041041183,10197.618922580272,58.251795004819236,6.024954612149031,0.0,5.663073000050645,146.99804013389462,0.7063305307568789
22.11.24.08.2026,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,480.0,2.0,0,41.04047299142621,41.04047299142621,41.04047299142621,0.08550098539880462,6.6786570000658685,3483.3333333333258,3483.3333333333258,57.925192000311654,60.13503301490282,11717.760041041183,10684.078064780235,58.54916259159706,3.2735559762104174,0.0,0.026669999897421803,11.781953968830518,0.6741704377644562
22.11.24.08.2026,prm,event+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,467.0,2.0,54,41.45698100546724,41.45698100546724,41.45698100546724,0.08877297859843092,6.380347999765945,2983.3333333333276,2983.3333333333276,57.43769400032761,51.94033961941981,11717.760041041183,10695.124846976974,59.19986428344564,0.3702171848865419,0.0,0.05938799995419686,13.896194750435974,0.6734741004990179
22.11.24.08.2026,visibility,once,kinematic,0,1,1,1,1.0,0,4,0.0,3.0,0.0,0,33.82569199993668,33.82569199993668,33.82569199993668,11.27523066664556,11.47304999994958,3780.0000000000027,3780.0000000000027,37.32335399990916,101.27707172322195,7326.983218079929,7122.124084455163,58.58848050454113,-18.849065154575925,0.0,11.47304999994958,8.94859576717901,1.0113400862761759
22.11.24.08.2026,visibility,cycle,kinematic,0,1,1,1,1.0,0,5,0.0,574.0,278.0,45,3218.920052989233,3218.920052989233,3218.920052989233,5.607874656775667,35.73063600015303,3799.9999999999914,3799.9999999999914,3244.85385700018,1.1710850988873305,7326.983218079929,7243.049143615837,59.11626722970343,-36.03397531216211,0.0,11.232242999994924,847.0842244708527,0.9944554348897771
22.11.24.08.2026,visibility,cycle+pred250,kinematic,0,1,1,1,1.0,0,4,0.0,621.0,257.0,115,2876.2408619945745,2876.2408619945745,2876.2408619945745,4.631627797092713,29.017987999850448,3799.9999999999914,3799.9999999999914,2903.0803300001935,1.3089544787070146,7326.983218079929,7634.9383795658,59.100204264543926,-63.42870780639548,0.0,11.352848999649723,756.905489998574,0.9434116201016601
22.11.24.08.2026,visibility,event,kinematic,0,1,1,1,1.0,0,3,0.0,549.0,38.0,26,450.79179899903465,450.79179899903465,450.79179899903465,0.8211143879763837,11.387747999833664,3799.9999999999914,3799.9999999999914,470.12379500029056,8.08297737832573,7326.983218079929,7130.855831763733,58.50292129608679,-19.047689556640023,0.0,10.635087000082422,118.62942078921992,1.010101698306382
22.11.24.08.2026,visibility,event+pred250,kinematic,0,1,1,1,1.0,0,3,0.0,549.0,38.0,26,515.0383420009348,515.0383420009348,515.0383420009348,0.9381390564680051,21.40820899967366,3799.9999999999914,3799.9999999999914,535.5402340001092,7.095638681741354,7326.983218079929,7130.855831763733,58.50292129608679,-19.047689556640023,0.0,10.852791000161233,135.53640578972,1.010101698306382
22.11.24.08.2026~perturbed,voronoi,once,kinematic,0,20,20,19,0.95,1,7,0.75,3.0,0.0,0,13.908340999932989,16.444929000499542,14.096977450094528,4.636113666644329,6.92919500033895,5157.894736842083,5170.999999999977,18.882388700012598,273.98307798086506,11607.036766486486,10873.246147719723,93.8308021900122,-114.27962275191547,0.6,4.755229000238614,2.7353370151470306,0.6690813764109732
22.11.24.08.2026~perturbed,voronoi,cycle,kinematic,0,20,20,15,0.75,1,425,0.9,745.85,389.6,10,537.6958165004453,8816.884227005175,1724.5340454004465,1.2811713376145348,20.952346000285615,2881.1111111111054,8283.333333333328,1760.9635769499619,7.91029105807296,11607.036766486486,10326.01219023643,181.64743381248613,-2.686527105489205,0.0,4.598588999897402,187.99705267878204,0.7825428413534921
22.11.24.08.2026~perturbed,voronoi,cycle+pred250,kinematic,0,20,20,13,0.65,1,427,0.9,920.4,566.0,90,548.8490369932606,8744.305291991168,2471.546809247752,1.2620800339038092,21.054973999980575,2924.358974358969,11008.33333333333,2517.731288499999,9.284951256784584,11607.036766486486,11922.542097516587,211.65147666658677,-3.8301326229934034,0.0,4.783848499982923,183.79824816297813,0.7018603538896622
22.11.24.08.2026~perturbed,voronoi,event,kinematic,0,20,20,18,0.9,1,426,0.95,502.4,23.8,9,41.22448799898848,107.82542301785725,45.075238851268296,0.08664632229350924,6.352640999921277,2883.333333333328,4209.9999999999945,64.34236525001324,56.86897402906244,11607.036766486486,8629.09846334154,94.43507816905134,-2.686114832615033,0.0,0.051838499757650425,14.711022797390152,0.8556687750331656
22.11.24.08.2026~perturbed,voronoi,event+pred250,kinematic,0,20,20,18,0.9,1,427,0.9,539.45,42.7,12,50.96010099828163,137.75083800192078,52.22244604951811,0.10117092070589889,7.958415000302921,3421.2962962962893,4686.66666666666,73.53849005003212,56.12032071528101,11607.036766486486,9124.203623313031,93.86538992901409,-2.6855115888101864,0.0,0.05889599992769945,13.976059899208042,0.8143743766064524
