scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,3,0,,17.263834000004863,5.754611333334954,5019.999999999981,22.063065999986975,227.5295736323748,251,0,0,0,12878.180226426794,12033.337139118448,59.49473732355597,59.670131773265595,97.94324804543578,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,17.263834000004863,8.029009999972914,5019.999999999981
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,370,0,,298.2608780009741,0.8061104810837139,2299.999999999997,310.45006500005456,7.408598867581466,138,0,1,1,12878.180226426794,8190.277608364213,59.077591988479554,59.520867857719146,-1.073349719274347,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,59,0,14.923695999982556,7.185241999991376,2299.999999999997
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,375,0,,34.125565999715946,0.09100150933257585,2333.33333333333,45.692912999925284,51.06554124349974,140,0,0,0,12878.180226426794,8308.260061376352,59.062990222362224,59.893488445801616,2.415255589259999,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,0,13.389592999942579,4.622498000003361,2333.33333333333
22.11.24.08.2026,prm,1,0,completed,True,False,3,3,0,,28.644273000054454,9.548091000018152,3140.0000000000023,31.51615000001584,99.63145879171232,157,1,0,1,11717.760041041183,11142.973878937613,58.62599909399646,59.46315924767794,-56.192951325806206,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,28.644273000054454,14.987025000095855,3140.0000000000023
22.11.24.08.2026,prm,1,0,completed,True,False,3,400,0,,727.4616649991685,1.8186541624979213,2466.666666666663,742.8341239999554,3.3206157161767798,148,0,0,0,11717.760041041183,9574.007521456722,58.547979789408146,59.02664336442985,1.139371793012117,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,105,8,20.515963999969244,11.422667999909208,2466.666666666663
22.11.24.08.2026,prm,1,0,completed,True,False,3,480,0,,41.921583999851464,0.08733663333302388,3483.3333333333258,57.05246000002262,61.05491916267843,209,0,0,0,11717.760041041183,10684.078064780235,58.54916259159706,58.97619530828717,3.2735559762104174,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,0,19.573845000081747,6.9896700000526835,3483.3333333333258
22.11.24.08.2026,visibility,1,0,completed,True,False,3,3,0,,34.58609000006163,11.52869666668721,3780.0000000000027,38.14314999999624,99.10036271258078,189,0,4,4,7326.983218079929,7122.124084455163,58.58848050454113,59.55364360653534,-18.849065154575925,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,34.58609000006163,12.038501999995788,3780.0000000000027
22.11.24.08.2026,visibility,1,0,completed,True,False,3,574,0,,3076.671860000147,5.360055505226737,3799.9999999999914,3100.1679239999476,1.2257400544603712,228,0,5,5,7326.983218079929,7243.049143615837,59.11626722970343,59.58317141157282,-36.03397531216211,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,278,45,33.340013000042745,13.130182999930184,3799.9999999999914
22.11.24.08.2026,visibility,1,0,completed,True,False,3,549,0,,454.07775799947103,0.8270997413469418,3799.9999999999914,471.34061000008387,8.06211032823867,228,0,3,3,7326.983218079929,7130.855831763733,58.50292129608679,58.714270135600884,-19.047689556640023,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,38,26,33.60229499992329,12.02022399991165,3799.9999999999914
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,3,0,,13.890818999925614,4.630272999975205,5379.999999999974,18.85842700005469,285.2836029210905,269,0,0,0,13319.632445227217,12514.218830929327,58.20275999557037,58.62287373010217,63.78525386085195,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.890818999925614,4.806584999982988,5379.999999999974
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,471,0,,658.3116999984213,1.3976893842853957,3766.6666666666583,675.9256860000278,5.5726047177714495,226,0,0,0,13319.632445227217,9150.92777842528,58.737309342677406,59.09602339105919,0.6200923780493213,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,143,0,13.596960000086256,6.246417999932419,3766.6666666666583
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,443,0,,32.022986000811215,0.07228665011469801,3299.999999999993,46.12595000003239,71.54324192775815,198,0,0,0,13319.632445227217,8961.557007701835,58.86923586537332,59.226333913089505,0.8241390088215894,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,1,0,13.51430099987283,4.633638999962386,3299.999999999993
