scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
22.11.24.08.2026,voronoi,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,17.263834000004863,17.263834000004863,17.263834000004863,5.754611333334954,8.029009999972914,5019.999999999981,5019.999999999981,22.063065999986975,227.5295736323748,12878.180226426794,12033.337139118448,59.49473732355597,97.94324804543578
22.11.24.08.2026,voronoi,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,370.0,59.0,0,298.2608780009741,298.2608780009741,298.2608780009741,0.8061104810837139,7.185241999991376,2299.999999999997,2299.999999999997,310.45006500005456,7.408598867581466,12878.180226426794,8190.277608364213,59.077591988479554,-1.073349719274347
22.11.24.08.2026,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,375.0,2.0,0,34.125565999715946,34.125565999715946,34.125565999715946,0.09100150933257585,4.622498000003361,2333.33333333333,2333.33333333333,45.692912999925284,51.06554124349974,12878.180226426794,8308.260061376352,59.062990222362224,2.415255589259999
22.11.24.08.2026,prm,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,28.644273000054454,28.644273000054454,28.644273000054454,9.548091000018152,14.987025000095855,3140.0000000000023,3140.0000000000023,31.51615000001584,99.63145879171232,11717.760041041183,11142.973878937613,58.62599909399646,-56.192951325806206
22.11.24.08.2026,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,400.0,105.0,8,727.4616649991685,727.4616649991685,727.4616649991685,1.8186541624979213,11.422667999909208,2466.666666666663,2466.666666666663,742.8341239999554,3.3206157161767798,11717.760041041183,9574.007521456722,58.547979789408146,1.139371793012117
22.11.24.08.2026,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,480.0,2.0,0,41.921583999851464,41.921583999851464,41.921583999851464,0.08733663333302388,6.9896700000526835,3483.3333333333258,3483.3333333333258,57.05246000002262,61.05491916267843,11717.760041041183,10684.078064780235,58.54916259159706,3.2735559762104174
22.11.24.08.2026,visibility,once,kinematic,0,1,1,1,1.0,0,4,0.0,3.0,0.0,0,34.58609000006163,34.58609000006163,34.58609000006163,11.52869666668721,12.038501999995788,3780.0000000000027,3780.0000000000027,38.14314999999624,99.10036271258078,7326.983218079929,7122.124084455163,58.58848050454113,-18.849065154575925
22.11.24.08.2026,visibility,cycle,kinematic,0,1,1,1,1.0,0,5,0.0,574.0,278.0,45,3076.671860000147,3076.671860000147,3076.671860000147,5.360055505226737,13.130182999930184,3799.9999999999914,3799.9999999999914,3100.1679239999476,1.2257400544603712,7326.983218079929,7243.049143615837,59.11626722970343,-36.03397531216211
22.11.24.08.2026,visibility,event,kinematic,0,1,1,1,1.0,0,3,0.0,549.0,38.0,26,454.07775799947103,454.07775799947103,454.07775799947103,0.8270997413469418,12.02022399991165,3799.9999999999914,3799.9999999999914,471.34061000008387,8.06211032823867,7326.983218079929,7130.855831763733,58.50292129608679,-19.047689556640023
22.11.24.08.2026~perturbed,voronoi,once,kinematic,0,20,20,19,0.95,1,7,0.75,3.0,0.0,0,13.76421599997002,14.529282000012245,13.805010900017578,4.588071999990007,5.08611700001893,5157.894736842083,5170.999999999977,18.431872649983916,280.4076656350906,11607.036766486486,10873.246147719723,93.8308021900122,-114.27962275191547
22.11.24.08.2026~perturbed,voronoi,cycle,kinematic,0,20,20,15,0.75,1,425,0.9,745.85,389.6,10,513.7834975000146,8482.911078000143,1683.3115591494104,1.2228806300361188,11.78328599996803,2881.1111111111054,8283.333333333328,1715.8225188499957,8.17403780136489,11607.036766486486,10326.01219023643,181.64743381248613,-2.686527105489205
22.11.24.08.2026~perturbed,voronoi,event,kinematic,0,20,20,18,0.9,1,426,0.95,502.4,23.8,9,40.22166300029539,106.98444599950108,44.738910249941455,0.0883585072198865,7.860497000024225,2883.333333333328,4209.9999999999945,62.04924154999958,59.54517013267527,11607.036766486486,8629.09846334154,94.43507816905134,-2.686114832615033
22.11.24.08.2026~perturbed,prm,once,kinematic,0,20,20,16,0.8,4,5,0.75,3.0,0.0,0,19.03089750004483,34.209797000016806,19.067626799989057,6.343632500014944,19.920635000062248,4137.499999999995,4100.999999999997,22.761607900008585,185.8096877154616,11367.15029164275,10747.556746833734,205.17294887406865,-122.70975134408494
22.11.24.08.2026~perturbed,prm,cycle,kinematic,0,20,20,16,0.8,4,2,0.9,363.8,76.0,124,502.52358650078577,927.1509159996185,539.7891446002802,1.3775509624037707,18.80200599998716,2568.749999999996,2549.999999999996,554.0463951000106,5.326112336364781,11367.15029164275,8348.292732844393,205.39085614081873,-62.84177412465375
