planner,prediction_horizon_ms,replan_period_ms,scenarios,cycle_over_event_planning_time_median,collision_free_event_%,collision_free_cycle_%,only_event_safe,only_cycle_safe,mcnemar_exact_p,planning_time_wilcoxon_p
prm,0.0,20.0,167,7.7421003770377945,71.25748502994011,70.05988023952095,9,7,0.803619384765625,3.7164990730030134e-29
prm,0.0,50.0,167,4.66993672378982,68.26347305389223,68.26347305389223,8,8,1.0,3.7164990730030134e-29
prm,0.0,100.0,167,2.9984192211142795,64.07185628742515,64.67065868263472,8,9,1.0,3.7164990730030134e-29
prm,0.0,200.0,167,2.110612317258827,60.47904191616767,60.47904191616767,5,5,1.0,3.7164990730030134e-29
prm,20.0,20.0,167,7.992321524888473,84.4311377245509,83.23353293413174,5,3,0.7265625,3.7164990730030134e-29
prm,20.0,50.0,167,4.722958371241048,79.04191616766467,79.64071856287424,5,6,1.0,3.7164990730030134e-29
prm,20.0,100.0,167,3.213687818261195,71.25748502994011,71.8562874251497,5,6,1.0,3.923261088368934e-29
prm,20.0,200.0,167,2.252912547827912,63.47305389221557,63.47305389221557,8,8,1.0,3.923261088368934e-29
prm,50.0,20.0,167,7.996617132403711,83.8323353293413,85.62874251497006,2,5,0.453125,3.7164990730030134e-29
prm,50.0,50.0,167,5.275132989651487,80.83832335329342,83.8323353293413,3,8,0.2265625,3.923261088368934e-29
prm,50.0,100.0,167,3.1653807587732183,80.83832335329342,81.437125748503,4,5,1.0,7.234986307048247e-29
prm,50.0,200.0,167,2.202032594185335,67.66467065868264,69.46107784431138,5,8,0.5810546875,4.432602582058584e-27
prm,100.0,20.0,167,7.8789596338384005,77.84431137724552,80.23952095808383,4,8,0.3876953125,3.7164990730030134e-29
prm,100.0,50.0,167,5.527666002689998,78.44311377245509,79.04191616766467,5,6,1.0,3.7164990730030134e-29
prm,100.0,100.0,167,3.512317806918812,76.04790419161677,79.64071856287424,3,9,0.14599609375,3.7164990730030134e-29
prm,100.0,200.0,167,2.4343338741976295,68.8622754491018,71.8562874251497,4,9,0.266845703125,5.329684306168448e-29
prm,150.0,20.0,167,8.332165528357168,79.64071856287424,78.44311377245509,11,9,0.8238029479980469,3.7164990730030134e-29
prm,150.0,50.0,167,5.33816663522246,79.04191616766467,79.64071856287424,7,8,1.0,3.7164990730030134e-29
prm,150.0,100.0,167,3.569518270583038,72.45508982035929,79.04191616766467,4,15,0.0192108154296875,3.7164990730030134e-29
prm,150.0,200.0,167,2.444934634280298,69.46107784431138,70.05988023952095,9,10,1.0,3.6690998744936524e-28
prm,200.0,20.0,167,8.159552569576523,73.65269461077844,75.44910179640718,8,11,0.6476058959960938,3.7164990730030134e-29
prm,200.0,50.0,167,4.8721165750816136,71.8562874251497,75.44910179640718,6,12,0.237884521484375,3.7164990730030134e-29
prm,200.0,100.0,167,3.3606128857115323,71.8562874251497,75.44910179640718,4,10,0.1795654296875,9.991606201475435e-29
prm,200.0,200.0,167,2.408463053685294,64.67065868263472,71.25748502994011,6,17,0.03468966484069824,1.1756175879148394e-27
visibility,0.0,20.0,167,3.4653738430991003,64.07185628742515,60.47904191616767,10,4,0.1795654296875,3.7164990730030134e-29
visibility,0.0,50.0,167,2.610028958030443,62.874251497005986,58.08383233532935,10,2,0.03857421875,9.861702876217873e-28
visibility,0.0,100.0,167,1.9488354392219438,59.88023952095808,56.886227544910184,7,2,0.1796875,2.713473536321101e-28
visibility,0.0,200.0,167,1.5077744396124406,53.293413173652695,51.49700598802395,5,2,0.453125,7.612070056529949e-25
visibility,20.0,20.0,167,3.790934882095716,67.66467065868264,63.47305389221557,12,5,0.143463134765625,3.784189328996568e-29
visibility,20.0,50.0,167,2.7530182996504933,68.8622754491018,63.47305389221557,11,2,0.0224609375,1.9350829631830346e-28
visibility,20.0,100.0,167,2.040191655017833,65.26946107784431,60.47904191616767,8,0,0.0078125,2.8116279540000027e-28
visibility,20.0,200.0,167,1.5058953131730608,61.67664670658682,58.08383233532935,7,1,0.0703125,1.5218814512154804e-23
visibility,50.0,20.0,167,4.095430905589404,66.46706586826348,64.67065868263472,11,8,0.6476058959960938,3.7164990730030134e-29
visibility,50.0,50.0,167,2.933371504986364,68.26347305389223,64.67065868263472,12,6,0.237884521484375,3.7164990730030134e-29
visibility,50.0,100.0,167,2.3200776081622307,65.26946107784431,60.47904191616767,12,4,0.076812744140625,7.106217632629751e-29
visibility,50.0,200.0,167,1.5678164347849577,63.47305389221557,63.47305389221557,7,7,1.0,8.413402003578089e-27
visibility,100.0,20.0,167,4.946833031753339,68.8622754491018,68.26347305389223,10,9,1.0,3.7164990730030134e-29
visibility,100.0,50.0,167,3.066171619968902,69.46107784431138,67.06586826347305,15,11,0.557197093963623,3.7164990730030134e-29
visibility,100.0,100.0,167,2.315523024422915,70.65868263473054,69.46107784431138,8,6,0.79052734375,3.3577870246459286e-28
visibility,100.0,200.0,167,1.8618570685612148,64.07185628742515,62.874251497005986,9,7,0.803619384765625,3.475030145596718e-27
visibility,150.0,20.0,167,5.484177253034454,68.26347305389223,64.67065868263472,16,10,0.32693958282470703,3.7164990730030134e-29
visibility,150.0,50.0,167,3.1649522404922905,66.46706586826348,66.46706586826348,13,13,1.0,3.7164990730030134e-29
visibility,150.0,100.0,167,2.50746926833466,64.67065868263472,66.46706586826348,9,12,0.6636238098144531,1.4288684751048264e-28
visibility,150.0,200.0,167,1.7891451333340285,60.47904191616767,62.874251497005986,7,11,0.480682373046875,8.973097629558357e-29
visibility,200.0,20.0,167,5.31147139561315,59.88023952095808,59.88023952095808,15,15,1.0,3.784189328996568e-29
visibility,200.0,50.0,167,2.9462937622662735,61.07784431137725,61.07784431137725,12,12,1.0,6.979723103897637e-29
visibility,200.0,100.0,167,2.2494563324333527,59.88023952095808,59.88023952095808,12,12,1.0,2.395951450297021e-28
visibility,200.0,200.0,167,1.6804582585176036,60.47904191616767,56.886227544910184,11,5,0.210113525390625,1.091047537048007e-25
voronoi,0.0,20.0,191,3.999482754527312,77.4869109947644,75.91623036649214,16,13,0.711071103811264,9.289680206475165e-32
voronoi,0.0,50.0,191,2.765623391293622,74.86910994764398,73.82198952879581,15,13,0.8505540192127228,6.361333202482327e-30
