scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,kinematic,0,200,200,199,0.995,1,260,0.33,3.0,0.0,0,3.9551289996779815,8.19095500014555,3.2784294949919968,1.3183763332259937,7.370828999910373,4481.507537688418,4470.199999999976,20.011113819996353,235.38292002453926,13326.580524011995,13005.163444065736,69.19651347675482,-179.50173948995513,0.25,3.8768845000731744,0.5759016684566809,0.9417179633513676
random,voronoi,cycle,0.0,20.0,kinematic,0,200,200,199,0.995,1,90,0.76,355.605,42.645,297,117.17205499951433,510.9117730046364,169.4449450898327,0.3271361882353828,15.93992799996613,2862.613065326634,2859.6000000000013,205.70566228000587,23.18465655292191,13326.580524011995,12612.797404860245,69.09040133458652,-144.4658675284077,0.415,3.7926509999692826,52.67612170535198,0.9624232873982186
random,voronoi,cycle,0.0,50.0,kinematic,0,200,200,199,0.995,1,85,0.74,143.955,17.165,99,44.8585855009469,211.77132400043774,70.51652676982599,0.3310911507929751,8.259944000201358,2878.693467336681,2875.399999999998,93.81637681499684,46.36598114287036,13326.580524011995,12648.68970070326,69.30618568083773,-169.97841247313687,0.43,3.7886710000520907,21.718161138245687,0.9599375478530705
random,voronoi,cycle,0.0,100.0,kinematic,0,200,200,199,0.995,1,89,0.705,72.62,8.375,48,23.55050600033337,104.83892400111472,34.948150245013494,0.326672270491949,12.347759000022052,2872.5628140703525,2869.3000000000006,51.029867914990064,77.61277109107571,13326.580524011995,12647.845126458602,69.07960678746889,-166.4308403496638,0.485,3.8104890001022795,10.949149388032422,0.9604470176511499
random,voronoi,cycle,0.0,200.0,kinematic,0,200,200,199,0.995,1,100,0.63,37.25,3.94,30,12.423289999560438,61.36013499872206,18.396175704942266,0.35337089127335186,11.931387999993603,2896.984924623115,2893.5999999999995,32.01759361999393,114.76903461816941,13326.580524011995,12670.266754667344,69.22314507933811,-168.13310541662798,0.48,3.8320199999475335,5.632991894941381,0.9606605485219191
random,voronoi,cycle+pred20,20.0,20.0,kinematic,0,200,200,199,0.995,1,43,0.855,360.415,48.77,312,135.50907749993257,562.1259210020071,192.3060777151028,0.3780308811368983,18.57587900008184,2916.180904522614,2913.1000000000013,229.05889468999192,21.445147104839467,13389.983026537115,12725.631079812569,69.19753212065336,-147.2710531538007,0.46,3.8098034998483854,58.89741349168357,0.9542604027762533
random,voronoi,cycle+pred20,20.0,50.0,kinematic,0,200,200,199,0.995,1,48,0.825,145.42,19.095,126,54.13569899997128,257.1022910017291,77.43610035003258,0.38826280731434576,12.384518999965621,2914.120603015073,2910.899999999998,101.14696136000305,42.81164682620529,13389.983026537115,12743.968719892722,69.27998672853933,-168.86432684526747,0.475,3.829833999816401,23.71397783785704,0.9536166999188402
random,voronoi,cycle+pred20,20.0,100.0,kinematic,0,200,200,199,0.995,1,58,0.8,73.56,9.38,60,28.325147500368075,115.11599600021327,39.219674999960716,0.3928145180058201,10.679032999860283,2928.4422110552764,2925.4,55.67530647499836,73.11922710894669,13389.983026537115,12743.34724114238,69.17195168976961,-170.33755162488,0.545,3.831921500136559,11.926645214512437,0.9541899910638729
random,voronoi,cycle+pred20,20.0,200.0,kinematic,0,200,200,199,0.995,1,82,0.685,38.15,4.86,28,16.137592499376296,68.65526899991892,21.494940520033197,0.4246541973735044,19.659665999824938,3004.0201005025115,3000.099999999999,35.555148375013346,108.13864027632918,13389.983026537115,12835.459220242132,69.19405493093309,-168.56013696153497,0.525,3.8477195000155007,6.362280254560235,0.9484884344011968
random,voronoi,cycle+pred50,50.0,20.0,kinematic,0,200,200,199,0.995,1,29,0.9,363.785,54.22,293,161.4527735015372,594.6791870014749,209.85105899006442,0.4627402138956612,16.036140999858617,2937.7889447236194,2935.0000000000014,246.87719024999976,19.438833816154204,13521.776586178485,12790.23147863208,69.10552796459211,-152.44633351836043,0.665,3.8375365002139006,64.7992430225873,0.950140808574067
random,voronoi,cycle+pred50,50.0,50.0,kinematic,0,200,200,199,0.995,1,28,0.895,147.655,21.89,126,63.28869650008073,244.8663469967869,86.73695399503174,0.44969060989827325,12.184978000277624,2977.2864321608017,2974.3499999999976,110.84388543999921,39.39181495689375,13521.776586178485,12827.132267900832,69.2309167920517,-153.0879533851429,0.66,3.8492100002258667,26.449161868054393,0.9479374632722544
random,voronoi,cycle+pred50,50.0,100.0,kinematic,0,200,200,199,0.995,1,36,0.86,74.89,10.885,58,33.515816999965864,124.19461299850809,45.02869368498182,0.4741851992661556,13.8295219999236,2998.592964824121,2995.6000000000004,61.71113055999513,67.42279860174483,13521.776586178485,12882.102591153414,69.13966218321198,-152.44633351836052,0.66,3.8561260000733455,13.516646327658165,0.9447201884304769
random,voronoi,cycle+pred50,50.0,200.0,kinematic,0,200,200,199,0.995,1,53,0.79,38.815,5.515,26,16.98721500042666,65.88228800001161,24.06368889999726,0.46665912461960674,11.151615000017046,3098.190954773868,3094.6999999999985,38.433521035009335,101.07840643548663,13521.776586178485,12908.464983943362,69.1811609745283,-170.7343336730831,0.64,3.876948000026914,6.952507098164979,0.9427369102575861
random,voronoi,cycle+pred100,100.0,20.0,kinematic,0,200,200,194,0.97,6,22,0.915,376.79,69.4,425,200.68525149781635,608.2824569948571,250.09780250013478,0.5552288755125492,17.161242999918613,3160.927835051547,3139.2000000000007,289.04082148499583,17.823879365803208,13626.427210589347,12947.097996042932,102.5098177834384,-115.64358684717774,0.835,3.8654164999343266,72.885635592921,0.9457686480193219
random,voronoi,cycle+pred100,100.0,50.0,kinematic,0,200,200,194,0.97,6,27,0.89,152.475,27.675,166,82.33208649926382,237.07185499847583,101.45608625008096,0.561191888888191,24.18539400014197,3157.6288659793786,3139.4999999999973,126.46201595499576,36.84393641352207,13626.427210589347,12990.110446882465,102.61735352487376,-118.74539349648667,0.79,3.8799124999968626,29.70818426010702,0.9425761323547215
random,voronoi,cycle+pred100,100.0,100.0,kinematic,0,200,200,194,0.97,6,30,0.895,76.99,13.49,89,41.129940499786244,145.19520899989402,53.07934790985655,0.5500917051512205,8.980105000091498,3159.587628865979,3142.0999999999995,70.38195492000625,63.00883440179649,13626.427210589347,12977.256315146595,102.52784264690744,-151.15378820632398,0.815,3.8812055000221335,15.308045216943727,0.9430246001369025
random,voronoi,cycle+pred100,100.0,200.0,kinematic,0,200,200,194,0.97,6,50,0.805,39.975,6.895,43,21.08994849947976,78.63527900099143,28.111517574984077,0.5613459815843856,11.669362000020556,3267.9381443298944,3247.5999999999976,43.21697606500209,96.61622502780618,13626.427210589347,13026.964021403146,102.52174375641212,-169.17531236988802,0.67,3.890527500004737,7.786128428165612,0.9409123372086345
random,voronoi,cycle+pred150,150.0,20.0,kinematic,0,200,200,199,0.995,1,9,0.96,394.12,85.2,543,221.9610499986402,748.3554439977524,297.5413641447818,0.5985826995122652,13.56233000001339,3289.4472361809044,3285.2,338.2852207050081,15.748828633113629,13979.283152951055,13363.940197609714,69.12409634127125,-131.90834420035742,0.88,3.9074164998282868,82.3225030752569,0.9132619394015058
random,voronoi,cycle+pred150,150.0,50.0,kinematic,0,200,200,199,0.995,1,12,0.945,159.265,33.415,217,90.00338149911613,291.7390130012336,120.5668575601527,0.590160638306912,12.606067999968218,3316.7839195979864,3312.3999999999965,146.8974965000143,32.971056602716075,13979.283152951055,13385.790490658736,69.17476615561453,-170.99555571210777,0.89,3.919969999969908,33.269062524853425,0.9114851359565267
random,voronoi,cycle+pred150,150.0,100.0,kinematic,0,200,200,199,0.995,1,17,0.915,80.975,16.84,99,49.98346900026718,152.0320320000792,61.338966085044724,0.645858891024244,12.089179999975386,3344.6231155778883,3340.599999999999,79.63092020499687,58.07883467318274,13979.283152951055,13433.579291668437,69.01661854443631,-155.31965423240342,0.83,3.9225115000363076,16.815796518505202,0.9076149875682782
