[Multicast] joining 224.5.23.2 on 0.0.0.0
[Multicast] joined 224.5.23.2 on 0.0.0.0

visibility planner, scenario 1 (7 obstacles at 1.0 m/s), emma trigger, robot 1.5 m/s
Running 60 discrete trials, seed 0, 30s timeout each.

  sample 1/60: arrived=True  replans= 66 nav_s= 5.11 collisions=4 reversals=0
  sample 2/60: arrived=True  replans= 11 nav_s= 3.07 collisions=1 reversals=0
  sample 3/60: arrived=True  replans= 11 nav_s= 4.40 collisions=0 reversals=2
  sample 4/60: arrived=True  replans= 38 nav_s= 3.98 collisions=2 reversals=0
  sample 5/60: arrived=True  replans= 11 nav_s= 4.08 collisions=1 reversals=0
  sample 6/60: arrived=True  replans= 45 nav_s= 3.96 collisions=2 reversals=1
  sample 7/60: arrived=True  replans= 32 nav_s= 3.49 collisions=2 reversals=0
  sample 8/60: arrived=True  replans= 27 nav_s= 3.73 collisions=2 reversals=0
  sample 9/60: arrived=True  replans= 29 nav_s= 3.38 collisions=2 reversals=0
  sample 10/60: arrived=True  replans= 14 nav_s= 3.31 collisions=1 reversals=0
  sample 11/60: arrived=True  replans= 54 nav_s= 4.69 collisions=3 reversals=0
  sample 12/60: arrived=True  replans= 23 nav_s= 3.33 collisions=1 reversals=0
  sample 13/60: arrived=True  replans= 20 nav_s= 4.00 collisions=1 reversals=0
  sample 14/60: arrived=True  replans= 26 nav_s= 4.61 collisions=1 reversals=1
  sample 15/60: arrived=True  replans= 17 nav_s= 4.60 collisions=0 reversals=1
  sample 16/60: arrived=True  replans= 20 nav_s= 3.62 collisions=1 reversals=0
  sample 17/60: arrived=True  replans= 27 nav_s= 3.58 collisions=1 reversals=0
  sample 18/60: arrived=True  replans= 13 nav_s= 3.33 collisions=1 reversals=0
  sample 19/60: arrived=True  replans= 38 nav_s= 3.98 collisions=1 reversals=0
  sample 20/60: arrived=True  replans= 48 nav_s= 4.12 collisions=3 reversals=0
  sample 21/60: arrived=True  replans= 22 nav_s= 3.53 collisions=2 reversals=0
  sample 22/60: arrived=True  replans= 25 nav_s= 3.40 collisions=1 reversals=0
  sample 23/60: arrived=True  replans= 58 nav_s= 3.94 collisions=4 reversals=0
  sample 24/60: arrived=True  replans= 13 nav_s= 3.83 collisions=0 reversals=1
  sample 25/60: arrived=True  replans= 22 nav_s= 4.33 collisions=2 reversals=0
  sample 26/60: arrived=True  replans= 43 nav_s= 3.94 collisions=2 reversals=0
  sample 27/60: arrived=True  replans=  8 nav_s= 3.36 collisions=0 reversals=0
  sample 28/60: arrived=True  replans= 52 nav_s= 5.37 collisions=2 reversals=0
  sample 29/60: arrived=True  replans= 24 nav_s= 3.57 collisions=2 reversals=0
  sample 30/60: arrived=True  replans= 23 nav_s= 3.19 collisions=1 reversals=0
  sample 31/60: arrived=True  replans= 11 nav_s= 3.26 collisions=1 reversals=0
  sample 32/60: arrived=True  replans= 66 nav_s= 4.98 collisions=4 reversals=0
  sample 33/60: arrived=True  replans= 31 nav_s= 3.63 collisions=2 reversals=0
  sample 34/60: arrived=True  replans= 63 nav_s= 4.91 collisions=3 reversals=0
  sample 35/60: arrived=True  replans= 10 nav_s= 3.56 collisions=0 reversals=0
  sample 36/60: arrived=True  replans= 29 nav_s= 4.00 collisions=2 reversals=0
  sample 37/60: arrived=True  replans= 37 nav_s= 4.52 collisions=1 reversals=0
  sample 38/60: arrived=True  replans= 22 nav_s= 3.05 collisions=2 reversals=0
  sample 39/60: arrived=True  replans= 45 nav_s= 4.28 collisions=3 reversals=0
  sample 40/60: arrived=True  replans= 22 nav_s= 3.20 collisions=2 reversals=0
  sample 41/60: arrived=True  replans= 40 nav_s= 4.84 collisions=1 reversals=2
  sample 42/60: arrived=True  replans= 11 nav_s= 3.84 collisions=1 reversals=0
  sample 43/60: arrived=True  replans= 58 nav_s= 5.24 collisions=4 reversals=0
  sample 44/60: arrived=True  replans= 51 nav_s= 4.61 collisions=5 reversals=0
  sample 45/60: arrived=True  replans= 33 nav_s= 3.57 collisions=2 reversals=0
  sample 46/60: arrived=True  replans= 61 nav_s= 4.39 collisions=3 reversals=0
  sample 47/60: arrived=True  replans= 21 nav_s= 4.77 collisions=1 reversals=1
  sample 48/60: arrived=True  replans= 13 nav_s= 3.47 collisions=1 reversals=0
  sample 49/60: arrived=True  replans= 27 nav_s= 3.72 collisions=1 reversals=0
  sample 50/60: arrived=True  replans= 74 nav_s= 5.38 collisions=3 reversals=0
  sample 51/60: arrived=True  replans= 17 nav_s= 3.21 collisions=1 reversals=0
  sample 52/60: arrived=True  replans= 33 nav_s= 3.83 collisions=3 reversals=0
  sample 53/60: arrived=True  replans=118 nav_s= 8.57 collisions=3 reversals=0
  sample 54/60: arrived=True  replans= 44 nav_s= 4.14 collisions=2 reversals=1
  sample 55/60: arrived=True  replans= 30 nav_s= 3.52 collisions=3 reversals=0
  sample 56/60: arrived=True  replans= 42 nav_s= 4.88 collisions=2 reversals=0
  sample 57/60: arrived=True  replans= 33 nav_s= 3.66 collisions=3 reversals=0
  sample 58/60: arrived=True  replans= 59 nav_s= 4.22 collisions=4 reversals=0
  sample 59/60: arrived=True  replans= 27 nav_s= 3.22 collisions=2 reversals=0
  sample 60/60: arrived=True  replans= 51 nav_s= 4.45 collisions=4 reversals=1

=== live grSim, scenario 1, visibility planner, emma trigger ===
  n = 60 trials (60 requested), obstacles 1.0 m/s, robot 1.5 m/s
  arrived 60/60
  replans    mean  33.98  sd  20.09  min   8.00  max 118.00
  nav s      mean   4.06  sd   0.85  min   3.05  max   8.57
  collisions mean   1.92  sd   1.17  min   0.00  max   5.00
  reversals  mean   0.18  sd   0.47  min   0.00  max   2.00

Saved 60 trial results to results/grsim_eventtrigger_visibility_s1_n60.json
