[Multicast] joining 224.5.23.2 on 0.0.0.0
[Multicast] joined 224.5.23.2 on 0.0.0.0

visibility planner, scenario 2 (5 obstacles at 1.0 m/s), geometric trigger, robot 1.5 m/s
Running 60 discrete trials, seed 0, 30s timeout each.

  sample 1/60: arrived=True  replans= 46 nav_s= 6.43 collisions=1 reversals=0
  sample 2/60: arrived=True  replans= 20 nav_s= 4.07 collisions=0 reversals=0
  sample 3/60: arrived=True  replans= 30 nav_s= 3.63 collisions=2 reversals=0
  sample 4/60: arrived=True  replans= 19 nav_s= 4.77 collisions=0 reversals=1
  sample 5/60: arrived=True  replans= 24 nav_s= 3.31 collisions=2 reversals=1
  sample 6/60: arrived=True  replans= 17 nav_s= 2.98 collisions=1 reversals=0
  sample 7/60: arrived=True  replans= 64 nav_s= 5.75 collisions=1 reversals=0
  sample 8/60: arrived=True  replans= 25 nav_s= 4.29 collisions=1 reversals=1
  sample 9/60: arrived=True  replans= 28 nav_s= 3.79 collisions=1 reversals=0
  sample 10/60: arrived=True  replans= 53 nav_s= 5.45 collisions=1 reversals=0
  sample 11/60: arrived=True  replans= 44 nav_s= 4.66 collisions=2 reversals=0
  sample 12/60: arrived=True  replans= 50 nav_s= 4.99 collisions=2 reversals=0
  sample 13/60: arrived=True  replans= 63 nav_s= 4.81 collisions=2 reversals=1
  sample 14/60: arrived=True  replans= 23 nav_s= 4.33 collisions=1 reversals=0
  sample 15/60: arrived=True  replans= 48 nav_s= 4.33 collisions=2 reversals=0
  sample 16/60: arrived=True  replans= 27 nav_s= 4.23 collisions=1 reversals=1
  sample 17/60: arrived=True  replans= 35 nav_s= 3.28 collisions=3 reversals=0
  sample 18/60: arrived=True  replans= 24 nav_s= 4.34 collisions=1 reversals=0
  sample 19/60: arrived=True  replans= 16 nav_s= 3.45 collisions=0 reversals=0
  sample 20/60: arrived=True  replans= 22 nav_s= 4.95 collisions=0 reversals=0
  sample 21/60: arrived=True  replans= 16 nav_s= 3.04 collisions=0 reversals=0
  sample 22/60: arrived=True  replans= 76 nav_s= 5.76 collisions=3 reversals=0
  sample 23/60: arrived=True  replans= 34 nav_s= 3.62 collisions=3 reversals=0
  sample 24/60: arrived=True  replans= 50 nav_s= 4.47 collisions=2 reversals=0
  sample 25/60: arrived=True  replans= 23 nav_s= 3.25 collisions=1 reversals=0
  sample 26/60: arrived=True  replans= 45 nav_s= 4.60 collisions=1 reversals=0
  sample 27/60: arrived=True  replans= 66 nav_s= 4.39 collisions=4 reversals=0
  sample 28/60: arrived=True  replans= 37 nav_s= 5.24 collisions=1 reversals=1
  sample 29/60: arrived=True  replans= 46 nav_s= 4.87 collisions=1 reversals=0
  sample 30/60: arrived=True  replans= 40 nav_s= 3.84 collisions=2 reversals=0
  sample 31/60: arrived=True  replans= 62 nav_s= 5.26 collisions=4 reversals=0
  sample 32/60: arrived=True  replans= 75 nav_s= 6.93 collisions=2 reversals=0
  sample 33/60: arrived=True  replans= 27 nav_s= 4.12 collisions=2 reversals=0
  sample 34/60: arrived=True  replans= 23 nav_s= 3.68 collisions=1 reversals=0
  sample 35/60: arrived=True  replans= 33 nav_s= 3.26 collisions=1 reversals=0
  sample 36/60: arrived=True  replans= 13 nav_s= 3.77 collisions=0 reversals=0
  sample 37/60: arrived=True  replans= 22 nav_s= 3.81 collisions=1 reversals=0
  sample 38/60: arrived=True  replans= 26 nav_s= 3.70 collisions=1 reversals=0
  sample 39/60: arrived=True  replans= 16 nav_s= 3.65 collisions=0 reversals=0
  sample 40/60: arrived=True  replans= 22 nav_s= 4.41 collisions=1 reversals=0
